3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-74.532402,20220825-073542,20220825,073542,-52.848373,0.0,0.0,0.0,0.0,14.0,234.661148,1.340613,53.0,12.168472,2.613388,2.613388,46.122932,1.0,0.0,0.496054,0.0,-99900.0,0.0,0.0,0.0,2.613388,1.746947,1.97244,24.597727,121.033409,-74.658043,-52.82531,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,91.367554,1.0,53.0,-1.0,0.0,80.914734,-99900.0,0.0,-99900.0,1.45423,1.45423,-99900.0
-73.087982,20220825-074140,20220825,074140,-52.508911,0.0,2.0,59.0,1.0,14.0,234.305542,1.314537,53.0,56.384552,4.319905,4.319905,63.898132,1.0,0.0,1.506876,0.0,-99900.0,1.694182,0.254,0.254,4.319905,2.173656,1.933068,24.60078,121.047714,-73.157593,-52.738373,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,89.994659,1.0,53.0,0.0,0.329529,256.774567,4.14466,0.0,0.004035,7.072763,7.072763,0.000948
-72.553207,20220825-074739,20220825,074739,-51.141464,0.0,8.0,0.0,2.0,11.0,234.820969,1.28193,53.0,44.729736,5.292665,5.292665,83.210739,1.0,0.0,1.898901,0.0,-99900.0,1.374642,0.508,0.508,5.292665,2.473188,3.313295,24.613077,121.052979,-72.43119,-50.992714,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,88.766083,1.022727,53.0,1.0,0.50247,229.210632,3.645158,0.0,0.00276,6.061654,6.061654,0.002381
-71.740685,20220825-075338,20220825,075338,-49.905113,0.0,14.0,0.0,3.0,11.0,235.176575,1.266273,53.0,44.758511,4.100423,4.100423,72.99295,1.0,0.0,1.231076,0.0,-99900.0,0.421052,0.762,0.762,4.100423,2.36107,3.223297,24.624195,121.060997,-72.069969,-50.1549,45.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,87.391342,1.044444,53.0,2.0,0.97222,221.13739,3.775266,0.0,0.002484,6.184639,6.184639,0.002843
-70.722984,20220825-075937,20220825,075937,-48.466877,0.0,20.0,59.0,4.0,12.0,235.577225,1.234174,53.0,40.277725,5.069462,5.069462,65.886368,1.0,0.0,2.100673,0.0,-99900.0,0.436123,0.0,0.0,5.069462,2.164453,1.825495,24.637131,121.071045,-71.075584,-48.772526,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,85.736687,1.0,53.0,3.0,0.050294,218.261841,4.035112,0.0,0.002499,5.077953,5.077953,0.003168
-67.304008,20220825-080536,20220825,080536,-45.9561,0.0,26.0,59.0,5.0,11.0,235.6745,1.142365,53.0,46.959217,4.834699,4.834699,85.500351,1.0,0.0,1.934129,0.0,-99900.0,2.871613,0.508,0.508,4.834699,2.474248,1.710339,24.65971,121.104874,-67.432922,-45.802528,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,81.497192,1.0,53.0,4.0,0.411473,222.646149,5.176997,0.0,0.003507,6.099207,6.099207,0.003808
-69.504776,20220825-083532,20220825,083532,-51.864956,0.0,0.0,0.0,10.0,15.0,233.269745,1.24732,77.0,8.37509,2.443902,2.443902,32.413227,1.0,0.0,0.652681,0.0,-99900.0,0.0,0.0,0.0,2.443902,1.736954,1.852839,24.606571,121.083206,-69.515038,-52.078671,38.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,86.723053,1.026316,77.0,9.0,0.0,210.010956,-99900.0,0.0,-99900.0,1.4912,1.4912,-99900.0
-69.614731,20220825-084730,20220825,084730,-50.704102,0.0,2.0,59.0,1.0,11.0,233.932465,1.832875,81.0,18.668558,3.191868,3.191868,44.169399,1.0,0.0,0.743114,0.0,-99900.0,0.0,0.0,0.0,3.191868,2.231506,2.434093,24.61701,121.082085,-69.718292,-50.501362,41.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,86.122688,1.04878,81.0,0.0,0.0,231.942322,-99900.0,0.0,-99900.0,1.545401,1.545401,-99900.0
-68.849075,20220825-085330,20220825,085330,-50.920818,0.0,8.0,59.0,2.0,11.0,233.513641,1.226496,81.0,30.161819,5.091668,5.091668,74.902954,1.0,0.0,2.117042,0.0,-99900.0,0.851582,0.0,0.0,5.091668,2.676729,2.419611,24.615061,121.089684,-69.062737,-50.935368,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,85.633667,1.0,81.0,1.0,0.052212,285.804016,2.210409,0.0,0.002127,4.723884,4.723884,-0.000602
-68.338013,20220825-085929,20220825,085929,-50.115658,0.0,14.0,59.0,3.0,13.0,233.74585,1.205069,81.0,31.138021,6.37881,6.37881,86.275513,1.0,0.0,2.509633,0.0,-99900.0,1.052024,0.0,0.0,6.37881,2.524975,2.387078,24.622303,121.094727,-68.168861,-50.323055,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,84.74469,1.0,81.0,2.0,0.0,245.2742,1.955089,0.0,0.001776,3.80392,3.80392,0.000818
