3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-38.296677,20220825-064152,20220825,064152,-14.302554,0.0,2.0,59.0,1.0,9.0,249.52124,1.043795,31.0,20.174534,3.762625,3.762625,52.164558,1.0,0.0,1.274607,0.0,-99900.0,0.0,0.0,0.0,3.762625,2.384462,2.295518,24.944376,121.39196,-38.794044,-13.764927,40.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,40.880295,1.125,31.0,0.0,0.078591,190.422058,-99900.0,0.0,-99900.0,3.024467,3.024467,-99900.0
-36.811607,20220825-064750,20220825,064750,-14.712723,0.0,8.0,0.0,2.0,5.0,248.214844,0.461528,31.0,86.93338,4.50214,4.50214,63.236103,1.0,0.0,1.92144,0.0,-99900.0,1.726638,1.524,1.524,4.50214,2.337626,2.849414,24.940687,121.4067,-38.076088,-14.15667,46.0,0.0,51.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,39.642891,1.108696,31.0,1.0,4.242242,285.43988,4.303513,0.0,0.004148,11.06719,11.06719,-0.001146
-35.997929,20220825-065349,20220825,065349,-15.206205,0.0,14.0,59.0,3.0,6.0,247.100143,0.448064,31.0,120.779045,5.526333,5.526333,94.431915,1.0,0.0,2.303286,0.0,-99900.0,0.680505,1.778,1.778,5.526333,2.465182,0.724285,24.936249,121.414787,-36.81868,-14.731368,51.0,0.0,52.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,39.077866,1.019608,31.0,2.0,5.213841,291.463531,3.444493,0.0,0.003206,13.628916,13.628916,-0.00126
-35.389362,20220825-065949,20220825,065949,-15.580301,0.0,20.0,59.0,4.0,8.0,246.238586,0.440713,31.0,102.087166,5.513307,5.513307,107.346931,1.0,0.0,2.286385,0.0,-99900.0,0.551239,1.778,1.778,5.513307,2.355182,3.497463,24.932884,121.42083,-36.157642,-14.946501,49.0,0.0,50.0,0.0,0.0,-99900.0,-99900.0,-99900.0,20.0,20.0,0.0,0.0,38.667206,1.020408,31.0,3.0,4.926886,294.410858,2.916161,0.0,0.002655,11.082749,11.082749,-0.001205
-34.598747,20220825-070549,20220825,070549,-17.250818,0.0,26.0,0.0,5.0,3.0,243.499573,0.437644,31.0,195.493103,5.401089,5.401089,101.053535,1.0,0.0,1.984496,0.0,-99900.0,1.247657,3.302,3.302,5.401089,3.001671,3.533506,24.917862,121.428696,-35.673523,-15.517805,50.0,0.0,53.0,0.0,0.0,-99900.0,-99900.0,-99900.0,60.0,60.0,10.0,10.0,38.660885,1.06,31.0,4.0,17.315187,307.504578,3.093047,0.0,0.002454,18.361139,18.361139,-0.001883
-35.982101,20220825-071147,20220825,071147,-19.856312,0.0,32.0,0.0,6.0,1.0,241.108673,1.275432,31.0,341.97937,9.10934,9.10934,184.045135,1.0,0.0,4.294388,0.0,-99900.0,2.974179,5.08,5.08,9.10934,3.496773,5.609564,24.89443,121.415001,-40.343937,-28.293236,50.0,0.0,54.0,0.0,0.0,-99900.0,-99900.0,-99900.0,90.0,90.0,30.0,30.0,41.09726,1.08,31.0,5.0,38.557465,332.239441,3.214077,0.0,0.001497,24.291077,24.291077,-0.002844
-35.244236,20220825-071745,20220825,071745,-18.061653,0.0,38.0,59.0,7.0,2.0,242.866455,0.430996,31.0,292.575043,11.453959,11.453959,198.466644,1.0,0.0,4.330971,0.0,-99900.0,2.820101,5.334,5.334,11.453959,4.167366,4.569818,24.91057,121.422302,-34.938019,-15.979124,49.0,0.0,55.0,0.0,0.0,-99900.0,-99900.0,-99900.0,90.0,90.0,30.0,30.0,39.602772,1.122449,31.0,6.0,40.31377,344.983124,2.666514,0.0,0.000691,24.478695,24.478695,-0.002575
-36.412621,20220825-072344,20220825,072344,-21.947323,0.0,44.0,0.0,8.0,3.0,238.921265,0.568913,31.0,300.745819,4.761321,4.761321,122.1987,1.0,0.0,2.186104,0.0,-99900.0,3.282416,3.556,3.556,4.761321,2.389441,3.77205,24.875626,121.410759,-39.420296,-27.457218,53.0,0.0,54.0,0.0,0.0,-99900.0,-99900.0,-99900.0,40.0,40.0,10.0,10.0,42.515453,1.018868,31.0,7.0,18.04995,3.937744,3.49187,0.0,-0.00024,18.39394,18.39394,-0.003484
-36.181309,20220825-072943,20220825,072943,-23.689375,0.0,50.0,0.0,9.0,3.0,236.785889,0.544763,31.0,463.66272,9.381986,9.381986,352.708496,1.0,0.0,1.8189,0.0,-99900.0,0.585017,3.556,3.556,9.381986,3.33075,3.939883,24.859959,121.413078,-37.937988,-26.739239,49.0,0.0,53.0,0.0,0.0,-99900.0,-99900.0,-99900.0,60.0,60.0,10.0,10.0,43.246662,1.081633,31.0,8.0,19.400915,9.306946,4.266151,0.0,-0.00069,12.343256,12.343256,-0.00421
-33.13356,20220825-073542,20220825,073542,-22.74509,0.0,56.0,59.0,10.0,8.0,235.531982,8.458294,31.0,62.937958,9.878643,9.878643,194.85582,1.0,0.0,0.57587,0.0,-99900.0,4.109772,1.016,1.016,9.878643,8.533631,8.458294,24.86845,121.443298,-33.090252,-22.789118,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,40.189201,1.0,31.0,9.0,1.721335,352.596527,3.443229,0.0,0.000444,1.960357,1.960357,-0.003415
-31.397512,20220825-074140,20220825,074140,-23.135382,1.0,2.0,0.0,11.0,3.0,233.615509,0.401749,31.0,182.333221,4.711124,4.711124,74.931953,1.0,0.0,1.913442,0.0,-99900.0,1.783256,3.048,3.048,4.711124,2.861212,3.621965,24.864941,121.460526,-29.955833,-20.437378,49.0,0.0,53.0,0.0,0.0,-99900.0,-99900.0,-99900.0,40.0,40.0,0.0,0.0,39.000637,1.081633,31.0,10.0,13.308781,317.51651,3.477166,0.0,0.002348,10.306159,10.306159,-0.002564
