3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-53.317204,20220825-050008,20220825,050008,-47.463963,0.0,0.0,0.0,1.0,1.0,228.324234,2.56942,1.0,26.528721,3.340107,3.340107,42.855797,1.0,0.0,0.386149,0.0,-99900.0,0.0,0.254,0.254,3.340107,2.698897,3.340107,24.646149,121.243538,-53.27808,-47.387024,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,71.383133,1.0,1.0,0.0,0.119671,-99900.0,-99900.0,0.0,-99900.0,1.479447,1.479447,-99900.0
-54.423042,20220825-051206,20220825,051206,-50.394169,0.0,2.0,59.0,1.0,2.0,227.201523,2.685618,3.0,51.173634,4.391094,4.391094,59.118404,1.0,0.0,0.939624,0.0,-99900.0,0.0,0.508,0.508,4.391094,2.974316,2.685618,24.619797,121.232635,-54.347149,-50.440697,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,74.171692,1.0,3.0,0.0,0.540467,130.396118,-99900.0,0.0,-99900.0,3.059615,3.059615,-99900.0
-54.671932,20220825-051804,20220825,051804,-49.882648,0.0,8.0,59.0,2.0,3.0,227.622986,2.679072,3.0,21.852785,3.458714,3.458714,47.928032,1.0,0.0,0.42954,0.0,-99900.0,0.83354,0.0,0.0,3.458714,2.836493,2.679072,24.624397,121.230164,-54.716724,-49.802753,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,74.008774,1.0,3.0,1.0,0.039094,154.053894,1.588974,0.0,-0.000695,1.252325,1.252325,0.001429
-52.197727,20220825-053601,20220825,053601,-51.653885,0.0,3.0,0.0,1.0,5.0,225.300354,2.655704,8.0,16.20808,3.429769,3.429769,46.152309,1.0,0.0,0.403326,0.0,-99900.0,0.0,0.0,0.0,3.429769,2.777363,2.655704,24.608467,121.254715,-52.161774,-51.665379,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,73.435188,1.0,8.0,0.0,0.0,136.001892,-99900.0,0.0,-99900.0,0.842613,0.842613,-99900.0
-50.874657,20220825-054801,20220825,054801,-58.058853,0.0,3.0,0.0,1.0,6.0,221.227112,2.81114,14.0,22.302414,3.620238,3.620238,91.888962,1.0,0.0,0.29799,0.0,-99900.0,0.0,0.0,0.0,3.620238,2.937909,2.81114,24.550867,121.267944,-50.733543,-58.178741,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,77.194954,1.0,14.0,0.0,0.016947,144.007889,-99900.0,0.0,-99900.0,1.152008,1.152008,-99900.0
-49.083138,20220825-055359,20220825,055359,-56.721626,0.0,8.0,0.0,2.0,8.0,220.871063,2.715183,14.0,25.835569,4.401258,4.401258,70.321396,1.0,0.0,0.872627,0.0,-99900.0,4.394138,0.508,0.508,4.401258,3.316623,4.401258,24.562893,121.285667,-49.096756,-56.521141,39.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,75.009979,1.102564,14.0,1.0,0.504596,233.261581,6.244517,0.0,0.005004,1.790274,1.790274,0.003735
-47.882847,20220825-055959,20220825,055959,-57.179714,0.0,14.0,0.0,3.0,8.0,219.943466,2.700061,14.0,65.206497,4.401141,4.401141,63.314407,1.0,0.0,0.795055,0.0,-99900.0,1.900382,1.016,1.016,4.401141,3.208993,4.401141,24.558773,121.297569,-48.166161,-56.834793,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,74.580742,1.0,14.0,2.0,1.691079,253.651093,4.34166,0.0,0.004166,3.667423,3.667423,0.001222
-47.652058,20220825-060558,20220825,060558,-57.339531,0.0,20.0,0.0,4.0,6.0,219.728622,2.697864,14.0,131.036697,7.028395,7.028395,101.662239,1.0,0.0,2.02771,0.0,-99900.0,1.39932,1.524,1.524,7.028395,3.342772,3.49007,24.557335,121.299858,-47.175529,-57.59058,51.0,0.0,51.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,74.555618,1.0,14.0,3.0,3.349075,261.128601,3.062591,0.0,0.003026,7.151189,7.151189,0.000472
-47.472366,20220825-061157,20220825,061157,-56.746483,0.0,26.0,0.0,5.0,5.0,219.915146,2.681073,14.0,130.689636,7.025456,7.025456,139.249146,1.0,0.0,2.14119,0.0,-99900.0,1.000656,1.27,1.27,7.025456,3.528919,2.681073,24.56267,121.301628,-47.57135,-56.731144,49.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,73.985062,1.0,14.0,4.0,3.064084,256.316345,2.360142,0.0,0.002293,4.968509,4.968509,0.000558
-46.076488,20220825-061755,20220825,061755,-56.41267,0.0,32.0,59.0,6.0,2.0,219.24144,2.614223,14.0,312.319275,8.466514,8.466514,211.68399,1.0,0.0,1.770353,0.0,-99900.0,0.590323,2.794,2.794,8.466514,3.392401,2.614223,24.565672,121.315453,-45.807796,-56.069622,53.0,0.0,53.0,0.0,0.0,-99900.0,-99900.0,-99900.0,80.0,80.0,0.0,0.0,72.838394,1.0,14.0,5.0,12.040483,254.61853,2.398408,0.0,0.002312,11.445285,11.445285,0.000636
