3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-11.357465,20220825-055359,20220825,055359,-25.021524,0.0,2.0,59.0,1.0,9.0,204.414032,0.93373,19.0,34.066021,3.75059,3.75059,55.752953,1.0,0.0,1.498556,0.0,-99900.0,0.0,0.0,0.0,3.75059,1.95354,1.213732,24.847977,121.65934,-11.647066,-25.568684,44.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,27.478514,1.090909,19.0,0.0,0.029788,80.888672,-99900.0,0.0,-99900.0,4.123616,4.123616,-99900.0
-11.961153,20220825-055959,20220825,055959,-24.580299,0.0,8.0,59.0,2.0,7.0,205.948624,0.678985,19.0,67.003639,4.708265,4.708265,67.693062,1.0,0.0,1.733034,0.0,-99900.0,0.378345,1.016,1.016,4.708265,2.215071,1.523995,24.851944,121.653351,-12.695201,-24.652979,46.0,0.0,53.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,27.336061,1.152174,19.0,1.0,1.880169,126.162415,2.077095,0.0,-0.001677,8.741165,8.741165,0.001226
-14.973586,20220825-060558,20220825,060558,-23.207462,0.0,14.0,0.0,3.0,4.0,212.830688,0.499926,19.0,176.996277,5.654145,5.654145,131.329803,1.0,0.0,1.521735,0.0,-99900.0,2.58462,1.524,1.524,5.654145,2.620916,1.553747,24.86429,121.623459,-17.270693,-22.644184,49.0,0.0,52.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,27.618736,1.061224,19.0,2.0,4.034253,116.642685,5.625108,0.0,-0.005028,12.471992,12.471992,0.002522
-14.968937,20220825-061157,20220825,061157,-23.322245,0.0,20.0,0.0,4.0,1.0,212.693939,0.477164,19.0,162.510254,8.769554,8.769554,129.891403,1.0,0.0,4.311008,0.0,-99900.0,2.077474,2.54,2.54,8.769554,3.285463,3.907797,24.863258,121.623505,-12.548629,-24.245995,47.0,0.0,51.0,0.0,0.0,-99900.0,-99900.0,-99900.0,70.0,70.0,0.0,0.0,27.712744,1.085106,19.0,3.0,10.836529,115.048233,4.253711,0.0,-0.003854,16.44272,16.44272,0.001801
-15.7275,20220825-061755,20220825,061755,-22.868263,0.0,26.0,0.0,5.0,1.0,214.518341,0.238372,19.0,241.982346,9.245766,9.245766,184.459183,1.0,0.0,3.465521,0.0,-99900.0,0.649682,3.556,3.556,9.245766,3.543368,2.576466,24.867342,121.615974,-13.9835,-18.619413,47.0,0.0,52.0,0.0,0.0,-99900.0,-99900.0,-99900.0,90.0,90.0,10.0,10.0,27.75449,1.106383,19.0,4.0,19.497082,115.345932,3.621379,0.0,-0.003273,20.66905,20.66905,0.00155
-15.096601,20220825-062355,20220825,062355,-20.526758,0.0,32.0,0.0,6.0,4.0,216.333313,0.216734,19.0,329.455475,9.478345,9.478345,256.85553,1.0,0.0,2.651592,0.0,-99900.0,2.540358,3.048,3.048,9.478345,3.210655,1.55825,24.888399,121.622223,-9.972733,-18.96195,49.0,0.0,55.0,0.0,0.0,-99900.0,-99900.0,-99900.0,70.0,70.0,0.0,0.0,25.480486,1.122449,19.0,5.0,15.147257,132.517853,3.237774,0.0,-0.002386,22.289766,22.289766,0.002188
-14.768709,20220825-062954,20220825,062954,-19.608551,0.0,38.0,0.0,7.0,1.0,216.986557,0.219675,19.0,497.354645,6.371415,6.371415,262.964264,1.0,0.0,2.486242,0.0,-99900.0,1.192034,4.064,4.064,6.371415,2.42022,3.753443,24.896656,121.625473,-12.779959,-17.512495,50.0,0.0,56.0,0.0,0.0,-99900.0,-99900.0,-99900.0,70.0,70.0,20.0,20.0,24.548117,1.12,19.0,6.0,24.086279,155.561096,2.91655,0.0,-0.001207,27.269238,27.269238,0.002655
-15.797367,20220825-063553,20220825,063553,-19.348164,0.0,44.0,0.0,8.0,1.0,219.231232,0.239858,19.0,553.812561,7.089755,-7.089755,265.767181,-1.0,0.0,3.506243,0.0,-99900.0,0.913575,4.572,-4.572,7.089755,2.706911,1.562039,24.898998,121.615265,-14.382776,-18.4732,51.0,0.0,57.0,0.0,0.0,-99900.0,-99900.0,-99900.0,90.0,-90.0,20.0,-20.0,24.978155,1.117647,19.0,7.0,31.779613,174.972198,2.619038,0.0,-0.00023,28.94492,-28.94492,0.002609
-15.962181,20220825-064152,20220825,064152,-17.445919,0.0,50.0,0.0,9.0,4.0,222.457352,0.24948,19.0,286.52063,6.766068,6.766068,136.958572,1.0,0.0,2.935585,0.0,-99900.0,0.969138,3.048,3.048,6.766068,1.985204,1.571917,24.916105,121.613617,-16.201649,-18.011778,53.0,0.0,56.0,0.0,0.0,-99900.0,-99900.0,-99900.0,70.0,70.0,0.0,0.0,23.646379,1.056604,19.0,8.0,13.635596,173.238434,3.274163,0.0,-0.000385,12.732793,12.732793,0.003251
-19.688404,20220825-064750,20220825,064750,-18.200233,0.0,56.0,0.0,10.0,4.0,227.249588,0.292369,19.0,213.260254,7.210114,7.210114,130.190186,1.0,0.0,3.745558,0.0,-99900.0,4.068811,2.54,2.54,7.210114,1.666862,0.474766,24.909323,121.576653,-18.509832,-20.703255,53.0,0.0,54.0,0.0,0.0,-99900.0,-99900.0,-99900.0,60.0,60.0,0.0,0.0,26.811972,1.018868,19.0,9.0,9.701997,144.524048,3.210646,0.0,-0.001863,9.386065,9.386065,0.002615
