3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-83.675285,20220825-082933,20220825,082933,-102.539619,0.0,2.0,59.0,1.0,4.0,219.215759,5.291708,54.0,145.338684,6.719149,6.719149,148.368271,1.0,0.0,0.554233,0.0,-99900.0,10.344254,2.032,2.032,6.719149,5.352939,5.291708,24.150843,120.94429,-83.637024,-102.530891,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,50.0,50.0,0.0,0.0,132.347748,1.0,54.0,0.0,6.025119,261.653107,6.646452,0.0,0.006576,2.798044,2.798044,0.000965
-82.769318,20220825-083532,20220825,083532,-103.318817,0.0,8.0,59.0,2.0,1.0,218.698761,5.295196,54.0,396.000977,8.28994,8.28994,250.762054,1.0,0.0,0.933379,0.0,-99900.0,1.839417,3.048,3.048,8.28994,5.371322,5.295196,24.143835,120.953278,-82.771957,-103.322517,50.0,0.0,50.0,0.0,0.0,-99900.0,-99900.0,-99900.0,60.0,60.0,0.0,0.0,132.384064,1.0,54.0,1.0,15.209644,259.808075,8.213711,0.0,0.008084,4.85441,4.85441,0.001453
-79.599045,20220825-084131,20220825,084131,-104.133156,0.0,14.0,0.0,3.0,3.0,217.394501,5.2345,54.0,132.93721,6.554755,6.554755,97.514694,1.0,0.0,0.691579,0.0,-99900.0,1.362734,2.286,2.286,6.554755,5.331577,5.2345,24.136513,120.984657,-79.550339,-104.253105,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,60.0,60.0,0.0,0.0,131.071442,1.0,54.0,2.0,7.878122,259.302826,9.126852,0.0,0.008968,3.260046,3.260046,0.001694
-80.63726,20220825-084730,20220825,084730,-103.123108,0.0,20.0,59.0,4.0,2.0,218.024017,5.223525,54.0,359.274689,8.239403,8.239403,216.397934,1.0,0.0,1.067015,0.0,-99900.0,4.276735,4.064,4.064,8.239403,5.374334,5.223525,24.145596,120.974358,-80.626579,-103.135391,52.0,0.0,52.0,0.0,0.0,-99900.0,-99900.0,-99900.0,80.0,80.0,20.0,20.0,130.907379,1.0,54.0,3.0,23.710802,261.640137,8.802485,0.0,0.008709,6.680255,6.680255,0.00128
-78.352348,20220825-085330,20220825,085330,-100.760368,0.0,26.0,0.0,5.0,3.0,217.869354,5.039901,54.0,212.479797,8.268512,8.268512,230.233398,1.0,0.0,1.281235,0.0,-99900.0,2.083433,2.286,2.286,8.268512,5.363131,5.039901,24.166845,120.996895,-77.71492,-100.567963,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,60.0,60.0,0.0,0.0,127.639107,1.0,54.0,4.0,7.946467,258.984924,7.738834,0.0,0.007596,4.234949,4.234949,0.001479
-77.028809,20220825-085929,20220825,085929,-99.123451,0.0,32.0,59.0,6.0,1.0,217.851105,4.962521,54.0,277.316681,7.956313,7.956313,206.097916,1.0,0.0,1.034326,0.0,-99900.0,1.786979,3.302,3.302,7.956313,5.177036,4.962521,24.181566,121.009941,-76.907829,-99.145195,50.0,0.0,50.0,0.0,0.0,-99900.0,-99900.0,-99900.0,80.0,80.0,0.0,0.0,125.534447,1.0,54.0,5.0,15.621901,240.44014,4.155406,0.0,0.003615,6.113533,6.113533,0.00205
-75.927887,20220825-090529,20220825,090529,-97.696449,0.0,38.0,59.0,7.0,1.0,217.854034,4.869395,54.0,275.877686,7.92128,7.92128,342.324585,1.0,0.0,0.804242,0.0,-99900.0,0.717532,1.778,1.778,7.92128,5.055087,4.869395,24.194399,121.020798,-75.591225,-97.688286,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,50.0,50.0,0.0,0.0,123.732132,1.0,54.0,6.0,5.16156,224.165863,5.043609,0.0,0.003514,3.90743,3.90743,0.003618
-70.627129,20220825-091128,20220825,091128,-96.85276,0.0,44.0,59.0,8.0,3.0,216.100677,4.688748,54.0,274.365509,6.143616,6.143616,364.612976,1.0,0.0,0.343552,0.0,-99900.0,4.064769,1.524,1.524,6.143616,4.764917,4.688748,24.201986,121.073219,-70.303474,-96.867638,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,119.869301,1.0,54.0,7.0,4.195804,227.991348,6.451546,0.0,0.004794,2.545578,2.545578,0.004318
-71.534088,20220825-091726,20220825,091726,-92.079491,0.0,50.0,59.0,9.0,3.0,217.843002,4.54843,54.0,186.228058,5.731803,5.731803,264.763977,1.0,0.0,0.337114,0.0,-99900.0,4.159071,1.27,1.27,5.731803,4.705333,4.54843,24.244913,121.064125,-71.536232,-92.189392,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,116.600853,1.0,54.0,8.0,2.803255,225.597092,7.769574,0.0,0.005551,2.920419,2.920419,0.005436
-70.69957,20220825-092325,20220825,092325,-88.973541,0.0,56.0,59.0,10.0,2.0,218.471466,4.410993,54.0,160.007858,6.92776,6.92776,150.585648,1.0,0.0,0.910932,0.0,-99900.0,1.635214,1.778,1.778,6.92776,4.560453,4.410993,24.272846,121.072304,-70.720276,-89.060738,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,40.0,40.0,0.0,0.0,113.642952,1.0,54.0,9.0,4.861739,216.590729,8.018376,0.0,0.00478,4.150861,4.150861,0.006438
-70.005203,20220825-092925,20220825,092925,-87.72374,1.0,2.0,59.0,11.0,3.0,218.590851,4.345099,54.0,191.723328,6.869532,6.869532,198.362991,1.0,0.0,0.852873,0.0,-99900.0,1.481136,1.778,1.778,6.869532,4.562463,4.345099,24.284084,121.079147,-70.135689,-87.697701,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,50.0,50.0,0.0,0.0,112.232719,1.0,54.0,10.0,4.629313,209.575226,8.045514,0.0,0.003971,4.044811,4.044811,0.006997
-71.313522,20220825-093524,20220825,093524,-86.515823,1.0,8.0,0.0,12.0,4.0,219.498505,4.336654,54.0,180.579849,6.885051,6.885051,227.861267,1.0,0.0,0.760725,0.0,-99900.0,3.029009,1.27,1.27,6.885051,4.481926,4.336654,24.294949,121.066162,-71.392914,-86.439125,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,20.0,20.0,0.0,0.0,112.118713,1.0,54.0,11.0,2.746206,196.608414,7.174245,0.0,0.002051,3.306657,3.306657,0.006875
