3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-20.082916,20220825-072943,20220825,072943,-59.82719,0.0,20.0,59.0,4.0,7.0,198.556351,2.891991,41.0,100.858345,5.907764,5.907764,104.358398,1.0,0.0,1.363935,0.0,-99900.0,1.048038,1.27,1.27,5.907764,3.519668,3.662495,24.534962,121.573036,-20.140265,-59.617577,46.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,63.107971,1.021739,41.0,3.0,3.047408,151.895508,1.587202,0.0,-0.000748,4.837668,4.837668,0.0014
-20.29126,20220825-073542,20220825,073542,-59.501953,0.0,26.0,59.0,5.0,5.0,198.830704,4.639599,41.0,85.602692,5.873062,5.873062,73.11982,1.0,0.0,0.657749,0.0,-99900.0,0.187282,2.54,2.54,5.873062,4.744566,4.639599,24.537888,121.570969,-20.290293,-59.47369,50.0,0.0,50.0,0.0,0.0,-99900.0,-99900.0,-99900.0,40.0,40.0,0.0,0.0,62.866665,1.0,41.0,4.0,9.489261,151.242706,1.619955,0.0,-0.000779,3.615447,3.615447,0.00142
-24.34647,20220825-074140,20220825,074140,-58.131439,0.0,32.0,59.0,6.0,4.0,202.725174,0.808085,41.0,254.458008,9.022768,9.022768,243.572968,1.0,0.0,2.677752,0.0,-99900.0,3.873357,2.286,2.286,9.022768,3.262182,3.63995,24.550213,121.530777,-25.408936,-57.705864,46.0,0.0,51.0,0.0,0.0,-99900.0,-99900.0,-99900.0,60.0,60.0,0.0,0.0,63.023922,1.108696,41.0,5.0,8.274716,127.666031,2.895172,0.0,-0.002292,14.183381,14.183381,0.001769
-25.347178,20220825-074739,20220825,074739,-58.378544,0.0,38.0,59.0,7.0,6.0,203.4702,0.827333,41.0,287.836945,8.987969,8.987969,349.475433,1.0,0.0,2.057013,0.0,-99900.0,0.899987,1.778,1.778,8.987969,3.46019,2.233879,24.547991,121.520866,-25.633593,-58.845055,50.0,0.0,50.0,0.0,0.0,-99900.0,-99900.0,-99900.0,40.0,40.0,0.0,0.0,63.643806,1.0,41.0,6.0,5.242889,114.820541,3.870243,0.0,-0.003513,14.274824,14.274824,0.001625
-25.288168,20220825-075338,20220825,075338,-58.349266,0.0,44.0,59.0,8.0,6.0,203.431946,0.826997,41.0,261.201172,9.038568,9.038568,380.583923,1.0,0.0,3.054386,0.0,-99900.0,1.431606,1.778,1.778,9.038568,3.502397,1.299607,24.548254,121.521454,-25.942402,-58.688004,48.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,40.0,40.0,0.0,0.0,63.593464,1.020833,41.0,7.0,5.376376,111.611389,4.178667,0.0,-0.003885,12.653346,12.653346,0.001539
-22.391973,20220825-075937,20220825,075937,-57.394341,0.0,50.0,0.0,9.0,3.0,201.313248,0.818962,41.0,265.579132,7.056457,7.056457,209.239227,1.0,0.0,2.527791,0.0,-99900.0,4.309708,2.794,2.794,7.056457,3.211467,4.479615,24.556841,121.55014,-25.700142,-58.278927,47.0,0.0,50.0,0.0,0.0,-99900.0,-99900.0,-99900.0,60.0,60.0,0.0,0.0,61.607716,1.06383,41.0,8.0,11.281005,119.185425,2.51061,0.0,-0.002192,14.390607,14.390607,0.001224
-21.182606,20220825-080536,20220825,080536,-56.825718,0.0,56.0,0.0,10.0,3.0,200.444046,0.777165,41.0,289.646454,8.843955,8.843955,247.907867,1.0,0.0,2.1148,0.0,-99900.0,2.000423,3.048,3.048,8.843955,3.663142,2.14212,24.561954,121.562119,-24.486319,-56.099129,48.0,0.0,52.0,0.0,0.0,-99900.0,-99900.0,-99900.0,70.0,70.0,0.0,0.0,60.645405,1.083333,41.0,9.0,15.122587,185.421112,1.249231,0.0,0.000118,17.088587,17.088587,0.001244
-20.610743,20220825-081135,20220825,081135,-56.930962,1.0,2.0,59.0,11.0,2.0,199.902176,0.774761,41.0,320.003876,11.531054,11.531054,307.266907,1.0,0.0,2.913736,0.0,-99900.0,0.764689,3.048,3.048,11.531054,3.983417,2.729414,24.561008,121.567787,-24.195042,-56.068195,46.0,0.0,54.0,0.0,0.0,-99900.0,-99900.0,-99900.0,70.0,70.0,0.0,0.0,60.546982,1.173913,41.0,10.0,14.905914,251.173004,2.864657,0.0,0.002711,18.983269,18.983269,0.000924
-19.214966,20220825-081735,20220825,081735,-56.273643,1.0,8.0,0.0,12.0,3.0,198.853149,0.768328,41.0,207.925766,6.760981,6.760981,155.412842,1.0,0.0,2.824963,0.0,-99900.0,0.530506,2.54,2.54,6.760981,3.200106,4.222955,24.566919,121.581612,-23.647087,-55.88155,45.0,0.0,51.0,0.0,0.0,-99900.0,-99900.0,-99900.0,50.0,50.0,0.0,0.0,59.463753,1.133333,41.0,11.0,9.56873,251.511856,3.850417,0.0,0.003652,13.124541,13.124541,0.001221
-15.467845,20220825-082334,20220825,082334,-55.874882,1.0,14.0,59.0,13.0,5.0,195.474075,1.164082,41.0,182.2314,8.638254,8.638254,239.082108,1.0,0.0,2.749625,0.0,-99900.0,2.436484,2.032,2.032,8.638254,3.710759,2.627011,24.570505,121.618736,-14.136324,-57.790997,48.0,0.0,50.0,0.0,0.0,-99900.0,-99900.0,-99900.0,50.0,50.0,0.0,0.0,57.976345,1.041667,41.0,12.0,6.390557,255.212585,4.870132,0.0,0.004709,10.977762,10.977762,0.001243
-14.394227,20220825-082933,20220825,082933,-55.706211,1.0,20.0,59.0,14.0,9.0,194.488449,0.734104,41.0,143.28685,7.032518,7.032518,181.138077,1.0,0.0,2.318827,0.0,-99900.0,0.676427,1.016,1.016,7.032518,2.768869,2.023934,24.572023,121.629372,-13.338085,-57.061958,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,57.535866,1.0,41.0,13.0,1.604874,258.459351,4.750803,0.0,0.004655,9.157656,9.157656,0.00095
-13.178408,20220825-083532,20220825,083532,-54.976727,1.0,26.0,59.0,15.0,7.0,193.480347,0.715209,41.0,99.341957,5.107875,5.107875,143.477081,1.0,0.0,1.506672,0.0,-99900.0,0.598326,0.762,0.762,5.107875,2.42723,3.234794,24.578583,121.641418,-12.24827,-56.116367,44.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,56.534157,1.090909,41.0,14.0,1.411293,257.955261,5.076147,0.0,0.004964,6.935702,6.935702,0.001059
-11.563811,20220825-084131,20220825,084131,-53.939732,1.0,32.0,59.0,16.0,9.0,192.100525,0.687098,41.0,51.105785,3.988105,3.988105,78.262558,1.0,0.0,1.591887,0.0,-99900.0,0.677774,0.0,0.0,3.988105,2.004782,1.451761,24.58791,121.65741,-11.577795,-54.47068,47.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,55.165356,1.042553,41.0,15.0,0.086031,253.554459,5.343443,0.0,0.005125,5.662133,5.662133,0.001513
-10.75572,20220825-084730,20220825,084730,-53.714504,1.0,38.0,59.0,17.0,10.0,191.323471,0.675517,41.0,31.316639,3.978145,3.978145,73.953979,1.0,0.0,1.726049,0.0,-99900.0,1.079577,0.0,0.0,3.978145,1.818661,0.675517,24.589935,121.665421,-11.272998,-53.790783,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,54.780777,1.0,41.0,16.0,0.0,250.707932,4.656546,0.0,0.004395,3.523682,3.523682,0.001538
-9.593629,20220825-085330,20220825,085330,-53.836105,1.0,44.0,59.0,18.0,12.0,190.104477,0.67729,41.0,19.87467,3.911361,3.911361,78.939888,1.0,0.0,1.759681,0.0,-99900.0,0.795445,0.0,0.0,3.911361,1.777641,1.449952,24.58884,121.676933,-10.328384,-54.09391,39.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,54.684219,1.051282,41.0,17.0,0.0,247.677643,3.603415,0.0,0.003333,2.522123,2.522123,0.001369
-8.517566,20220825-085929,20220825,085929,-53.588333,1.0,47.0,0.0,19.0,15.0,189.031693,0.676114,41.0,10.307421,3.061374,3.061374,49.865051,1.0,0.0,1.170878,0.0,-99900.0,0.271799,0.0,0.0,3.061374,1.532288,2.428896,24.591068,121.687599,-8.812103,-54.286377,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,54.261021,1.0,41.0,18.0,0.0,250.830811,3.447751,0.0,0.003257,1.448692,1.448692,0.001132
