3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-55.722198,20220825-054801,20220825,054801,-45.353954,0.0,9.0,0.0,2.0,7.0,230.857132,2.581457,12.0,19.23867,3.38502,3.38502,49.325157,1.0,0.0,0.449987,0.0,-99900.0,8.583869,0.0,0.0,3.38502,2.770588,2.581457,24.665125,121.219658,-55.680073,-45.012211,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,71.846672,1.0,12.0,1.0,0.0,72.75,24.906902,0.0,-0.023787,0.942807,0.942807,-0.007386
-55.904198,20220825-055359,20220825,055359,-45.294056,0.0,14.0,0.0,3.0,11.0,230.985611,2.60369,12.0,32.785774,4.137689,4.137689,92.281235,1.0,0.0,0.604012,0.0,-99900.0,8.761328,0.0,0.0,4.137689,2.889957,2.60369,24.665663,121.217857,-55.919041,-45.583839,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,71.950195,1.0,12.0,2.0,0.0,73.44696,12.717738,0.0,-0.012191,1.643494,1.643494,-0.003623
-56.496029,20220825-055959,20220825,055959,-44.231159,0.0,20.0,59.0,4.0,9.0,231.942642,1.420773,12.0,40.431335,5.382589,5.382589,105.808563,1.0,0.0,1.397321,0.0,-99900.0,4.474353,0.254,0.254,5.382589,3.163452,2.590041,24.675222,121.211967,-56.164944,-42.011936,39.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,71.750938,1.153846,12.0,3.0,0.151505,80.834412,7.953133,0.0,-0.007852,3.665499,3.665499,-0.001267
-55.756641,20220825-060558,20220825,060558,-45.595814,0.0,26.0,59.0,5.0,7.0,230.72522,1.420052,12.0,66.092575,5.43531,5.43531,130.791504,1.0,0.0,2.232998,0.0,-99900.0,3.672599,0.508,0.508,5.43531,3.252797,3.400427,24.662951,121.219322,-56.516933,-41.488056,41.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,72.026253,1.146341,12.0,4.0,0.788212,75.40625,5.170716,0.0,-0.005004,4.638561,4.638561,-0.001303
-55.10146,20220825-061157,20220825,061157,-45.993351,0.0,32.0,0.0,6.0,3.0,230.148453,0.933871,12.0,99.645409,6.839201,6.839201,134.120575,1.0,0.0,2.700094,0.0,-99900.0,2.452584,1.778,1.778,6.839201,3.824702,3.339818,24.659374,121.22583,-56.7192,-41.519161,39.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,50.0,50.0,0.0,0.0,71.774368,1.25641,12.0,5.0,4.934903,68.212677,3.462649,0.0,-0.003215,8.714731,8.714731,-0.001285
-54.751045,20220825-061755,20220825,061755,-45.923786,0.0,38.0,0.0,7.0,5.0,230.01123,0.949451,12.0,127.18576,8.332033,8.332033,150.735229,1.0,0.0,3.921337,0.0,-99900.0,1.592176,2.54,2.54,8.332033,3.804583,4.161325,24.66,121.229301,-57.581413,-41.813934,42.0,0.0,51.0,0.0,0.0,-99900.0,-99900.0,-99900.0,50.0,50.0,0.0,0.0,71.460976,1.214286,12.0,6.0,9.098564,308.261536,0.811138,0.0,0.000637,11.321105,11.321105,-0.000502
-55.431309,20220825-062355,20220825,062355,-46.415195,0.0,44.0,0.0,8.0,5.0,230.059311,0.94253,12.0,135.53598,8.444632,8.444632,186.349838,1.0,0.0,2.52816,0.0,-99900.0,0.961111,1.778,1.778,8.444632,3.784858,3.353058,24.655581,121.222565,-57.193462,-41.691078,40.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,40.0,40.0,0.0,0.0,72.297997,1.225,12.0,7.0,4.785011,323.324951,1.099198,0.0,0.000657,9.798567,9.798567,-0.000882
-55.706776,20220825-062954,20220825,062954,-49.448627,0.0,50.0,0.0,9.0,3.0,228.406158,0.959848,12.0,306.711731,8.4768,8.4768,313.375977,1.0,0.0,1.665188,0.0,-99900.0,2.764604,2.794,2.794,8.4768,4.194932,3.508656,24.6283,121.219894,-57.401497,-43.030827,37.0,0.0,50.0,0.0,0.0,-99900.0,-99900.0,-99900.0,70.0,70.0,0.0,0.0,74.487663,1.351351,12.0,8.0,12.056911,349.518982,2.305267,0.0,0.000419,12.043498,12.043498,-0.002267
-55.406921,20220825-063553,20220825,063553,-48.318909,0.0,56.0,0.0,10.0,2.0,228.909485,0.94241,12.0,233.587769,10.363318,10.363318,264.193298,1.0,0.0,3.386519,0.0,-99900.0,1.949227,3.302,3.302,10.363318,4.744613,4.296311,24.63846,121.222847,-56.668556,-42.390617,39.0,0.0,52.0,0.0,0.0,-99900.0,-99900.0,-99900.0,70.0,70.0,0.0,0.0,73.516281,1.333333,12.0,9.0,15.540298,1.757294,1.948749,0.0,-6e-05,14.865725,14.865725,-0.001948
-53.0149,20220825-064152,20220825,064152,-53.137108,1.0,2.0,0.0,11.0,3.0,224.934357,2.712683,12.0,976.975769,8.605639,8.605639,670.231567,1.0,0.0,0.976301,0.0,-99900.0,4.773932,3.048,3.048,8.605639,3.441962,3.483768,24.595129,121.246643,-52.876045,-52.916481,51.0,0.0,51.0,0.0,0.0,-99900.0,-99900.0,-99900.0,70.0,70.0,0.0,0.0,75.060852,1.0,12.0,10.0,14.660558,349.895355,3.712849,0.0,0.000651,11.951571,11.951571,-0.003655
