3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
31.826567,20210530-064944,20210530,064944,-19.494287,0.0,3.0,0.0,1.0,4.0,121.487854,2.69528,35.0,42.650459,3.401069,3.401069,51.657677,1.0,0.0,0.337753,0.0,-99900.0,0.0,0.508,0.508,3.401069,2.839398,3.401069,24.897686,122.087776,31.875433,-19.451654,45.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,37.32235,1.022222,35.0,0.0,0.435427,266.592468,-99900.0,0.0,-99900.0,1.990728,1.990728,-99900.0
38.531273,20210530-065544,20210530,065544,-21.408936,0.0,6.0,0.0,2.0,60.0,119.057365,5.046393,35.0,10.377809,6.20181,6.20181,78.487274,1.0,0.0,0.601577,0.0,-99900.0,2.834968,0.0,0.0,6.20181,5.191424,5.046393,24.880466,122.154274,38.603447,-21.399525,34.0,0.0,34.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,44.079491,1.0,35.0,1.0,0.0,285.937622,19.368713,0.0,0.018624,0.626125,0.626125,-0.005318
41.31134,20210530-070145,20210530,070145,-19.961699,0.0,3.0,0.0,1.0,41.0,115.789635,2.130657,35.0,22.568363,2.971049,2.971049,67.270714,1.0,0.0,0.392546,0.0,-99900.0,5.185309,0.0,0.0,2.971049,2.280751,2.971049,24.893482,122.181877,42.281487,-21.425707,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,45.881329,1.025,35.0,0.0,0.009614,272.812439,13.168359,0.0,0.013152,1.233835,1.233835,-0.000646
40.959618,20210530-070746,20210530,070746,-15.580232,0.0,9.0,0.0,2.0,31.0,110.825569,1.114433,35.0,20.406525,1.531638,1.531638,63.711899,1.0,0.0,0.158129,0.0,-99900.0,6.87774,0.0,0.0,1.531638,1.180085,1.531638,24.932886,122.178452,40.787178,-15.602334,41.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,43.822758,1.02439,35.0,1.0,0.0,246.371857,9.129419,0.0,0.008364,0.630702,0.630702,0.003659
44.856358,20210530-071347,20210530,071347,-16.324003,0.0,15.0,0.0,3.0,32.0,109.997063,0.537804,35.0,16.05435,1.752699,1.752699,43.49844,1.0,0.0,0.525791,0.0,-99900.0,2.243353,0.0,0.0,1.752699,0.991272,1.752699,24.926197,122.21711,43.219719,-15.577715,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,47.734325,1.0,35.0,2.0,0.0,246.858109,8.58505,0.0,0.007894,1.372464,1.372464,0.003374
49.201843,20210530-071948,20210530,071948,-17.748722,0.0,21.0,0.0,4.0,38.0,109.835785,0.626475,35.0,7.507811,1.025181,1.025181,20.170404,1.0,0.0,0.175031,0.0,-99900.0,3.036619,0.0,0.0,1.025181,0.743057,0.626475,24.913383,122.260201,48.741627,-17.612774,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,52.305241,1.0,35.0,3.0,0.0,254.947632,8.649112,0.0,0.008352,0.829078,0.829078,0.002246
51.494694,20210530-072550,20210530,072550,-17.325802,0.0,27.0,0.0,5.0,15.0,108.595673,2.454079,35.0,49.150314,4.022049,4.022049,123.243042,1.0,0.0,0.500586,0.0,-99900.0,0.82836,0.254,0.254,4.022049,2.775345,2.454079,24.917187,122.282959,51.298916,-17.102114,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,54.331268,1.0,35.0,4.0,0.108493,254.107437,7.599672,0.0,0.007309,1.999084,1.999084,0.002081
56.032887,20210530-073151,20210530,073151,-18.131104,0.0,33.0,0.0,6.0,23.0,107.930275,0.703804,35.0,39.519581,4.409086,4.409086,95.734924,1.0,0.0,1.728641,0.0,-99900.0,2.455863,0.0,0.0,4.409086,2.196792,1.574338,24.909945,122.327972,54.205986,-16.735003,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,58.893303,1.0,35.0,5.0,0.04724,268.69931,8.667946,0.0,0.008666,4.059793,4.059793,0.000197
60.510555,20210530-073751,20210530,073751,-19.209154,0.0,39.0,0.0,7.0,27.0,107.611855,0.773065,35.0,53.694202,3.915925,3.915925,215.378571,1.0,0.0,0.917517,0.0,-99900.0,1.7788,0.0,0.0,3.915925,2.066484,0.773065,24.900249,122.372383,58.290573,-17.855433,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,63.48637,1.0,35.0,6.0,0.0,279.828217,10.725555,0.0,0.010568,3.045554,3.045554,-0.001831
65.840744,20210530-074352,20210530,074352,-19.65457,0.0,45.0,0.0,8.0,40.0,106.620995,0.85973,35.0,32.223755,4.106491,4.106491,144.583801,1.0,0.0,0.947401,0.0,-99900.0,1.53034,0.0,0.0,4.106491,1.974605,0.85973,24.896244,122.425255,63.2701,-19.037348,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,68.711761,1.0,35.0,7.0,0.0,278.659393,11.478388,0.0,0.011348,2.028773,2.028773,-0.001728
