3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
37.354103,20210530-082000,20210530,082000,-20.176546,0.0,0.0,0.0,1.0,58.0,118.375099,2.378891,25.0,8.771996,3.184527,3.184527,58.440613,1.0,0.0,0.320832,0.0,-99900.0,0.0,0.0,0.0,3.184527,2.613608,3.184527,24.89155,122.142609,36.619801,-20.331646,34.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,42.454941,1.117647,25.0,0.0,0.0,266.539734,-99900.0,0.0,-99900.0,0.569798,0.569798,-99900.0
44.114185,20210530-082602,20210530,082602,-21.156834,0.0,3.0,1.0,1.0,34.0,115.621758,3.565637,25.0,33.218254,4.548903,4.548903,172.90358,1.0,0.0,0.27811,0.0,-99900.0,2.053355,0.0,0.0,4.548903,3.629591,3.565637,24.882734,122.209663,44.085007,-21.142557,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,48.925179,1.0,25.0,0.0,0.0,278.251007,18.869429,0.0,0.018674,0.928585,0.928585,-0.002708
47.868839,20210530-083203,20210530,083203,-21.332615,0.0,57.0,0.0,1.0,27.0,114.019745,0.579468,25.0,34.225292,3.978364,3.978364,96.886986,1.0,0.0,1.255126,0.0,-99900.0,3.092448,0.0,0.0,3.978364,2.276014,2.40478,24.881153,122.246918,44.199982,-20.550039,39.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,52.40712,1.076923,25.0,0.0,0.018338,276.275513,14.632731,0.0,0.014545,3.058624,3.058624,-0.001599
54.060101,20210530-083804,20210530,083804,-21.825954,0.0,3.0,1.0,1.0,30.0,111.98539,0.677404,25.0,50.371117,4.523671,4.523671,134.251175,1.0,0.0,1.036842,0.0,-99900.0,0.944249,0.0,0.0,4.523671,2.157264,0.677404,24.876717,122.308327,50.826962,-21.218767,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,58.299801,1.0,25.0,0.0,0.011809,275.434052,14.978718,0.0,0.014911,3.656696,3.656696,-0.001418
60.429325,20210530-084405,20210530,084405,-22.691397,0.0,27.0,0.0,1.0,28.0,110.581047,0.768836,25.0,48.15316,4.974881,4.974881,110.034859,1.0,0.0,1.767759,0.0,-99900.0,1.047606,0.0,0.0,4.974881,2.386618,1.715537,24.868935,122.371498,56.448284,-22.343599,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,64.549232,1.02381,25.0,0.0,0.040803,275.801056,15.610643,0.0,0.015531,3.898963,3.898963,-0.001578
67.067017,20210530-085007,20210530,085007,-23.992147,1.0,9.0,0.0,1.0,15.0,109.683601,0.883793,25.0,53.919716,4.347681,4.347681,112.000626,1.0,0.0,1.126141,0.0,-99900.0,1.250471,0.254,0.254,4.347681,2.574306,3.448992,24.857237,122.437317,63.369526,-23.121965,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,71.229263,1.0,25.0,0.0,0.164831,276.768585,16.222574,0.0,0.01611,3.958329,3.958329,-0.001912
72.122528,20210530-085608,20210530,085608,-26.267111,0.0,15.0,0.0,1.0,10.0,110.011429,1.003778,25.0,50.679188,3.759948,3.759948,83.276016,1.0,0.0,1.248655,0.0,-99900.0,1.757561,0.508,0.508,3.759948,2.04704,3.759948,24.836777,122.487404,69.893494,-24.775831,42.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,76.756889,1.047619,25.0,0.0,0.382611,279.570801,16.36392,0.0,0.016136,3.920251,3.920251,-0.002721
79.122581,20210530-090209,20210530,090209,-27.173265,0.0,15.0,0.0,1.0,25.0,108.953888,1.130433,25.0,64.540489,4.044633,4.044633,158.069672,1.0,0.0,0.57716,0.0,-99900.0,1.177362,0.0,0.0,4.044633,2.381546,1.759755,24.828629,122.556816,76.202042,-27.160822,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,83.658646,1.0,25.0,0.0,0.081422,281.413818,17.51615,0.0,0.01717,4.244181,4.244181,-0.003466
86.655121,20210530-090809,20210530,090809,-27.379984,0.0,15.0,0.0,1.0,19.0,107.534462,1.24079,25.0,65.470238,3.5144,3.5144,165.681412,1.0,0.0,0.586176,0.0,-99900.0,1.705986,0.254,0.254,3.5144,2.373505,3.5144,24.826769,122.631523,81.831024,-28.134008,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,90.877792,1.02381,25.0,0.0,0.175402,280.983795,18.063507,0.0,0.017733,3.481,3.481,-0.003442
93.668846,20210530-091410,20210530,091410,-26.844969,0.0,9.0,1.0,1.0,37.0,105.99176,1.432296,25.0,68.927269,3.852055,3.852055,211.561005,1.0,0.0,0.740126,0.0,-99900.0,1.879946,0.0,0.0,3.852055,2.03067,3.852055,24.831581,122.701111,91.989822,-26.922928,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,97.439751,1.0,25.0,0.0,0.065974,277.817596,18.534721,0.0,0.018362,2.87983,2.87983,-0.002521
