3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-37.851784,20210530-051924,20210530,051924,144.316574,0.0,0.0,0.0,1.0,49.0,345.303375,2.74948,44.0,30.805504,3.775206,3.775206,111.148811,1.0,0.0,0.375377,0.0,-99900.0,0.0,0.0,0.0,3.775206,3.033697,2.74948,26.370871,121.394157,-37.823029,144.460663,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,149.197968,1.0,44.0,0.0,0.0,263.332672,-99900.0,0.0,-99900.0,2.135056,2.135056,-99900.0
-32.675663,20210530-052526,20210530,052526,144.13298,0.0,0.0,0.0,1.0,49.0,347.226685,2.707163,44.0,53.391644,3.733793,3.733793,183.972504,1.0,0.0,0.31434,0.0,-99900.0,0.890146,0.0,0.0,3.733793,2.897399,3.733793,26.369219,121.445824,-32.835636,144.125595,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,147.790451,1.0,44.0,0.0,0.0,272.031403,14.307686,0.0,0.014299,2.171953,2.171953,-0.000507
-26.347069,20210530-053128,20210530,053128,144.701279,0.0,9.0,1.0,1.0,34.0,349.680725,2.687616,44.0,53.721657,4.724777,4.724777,164.165314,1.0,0.0,0.625054,0.0,-99900.0,1.376052,0.0,0.0,4.724777,3.097347,2.687616,26.374331,121.508995,-27.007704,144.616714,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,147.080353,1.0,44.0,0.0,0.0,268.084808,15.899394,0.0,0.015891,3.166773,3.166773,0.000531
-25.894691,20210530-053729,20210530,053729,145.16423,0.0,21.0,1.0,1.0,35.0,349.885864,2.708521,44.0,73.343567,3.677366,3.677366,289.516846,1.0,0.0,0.207108,0.0,-99900.0,5.291049,0.0,0.0,3.677366,2.923223,3.677366,26.378492,121.513504,-25.175032,145.708542,38.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,147.455719,1.026316,44.0,0.0,0.0,265.785126,11.701061,0.0,0.011669,2.240158,2.240158,0.00086
-23.775553,20210530-054331,20210530,054331,142.044403,0.0,0.0,0.0,1.0,51.0,350.497864,2.621896,44.0,98.296455,4.481831,4.481831,402.978333,1.0,0.0,0.347822,0.0,-99900.0,4.025497,0.0,0.0,4.481831,3.00836,3.579259,26.350435,121.534691,-24.6782,142.621353,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,144.020447,1.0,44.0,0.0,0.0,275.742493,9.708,0.0,0.009659,2.602346,2.602346,-0.000971
-17.789856,20210530-054933,20210530,054933,139.919373,0.0,0.0,0.0,1.0,41.0,352.754089,2.517705,44.0,54.585495,4.480756,4.480756,212.486816,1.0,0.0,0.41826,0.0,-99900.0,3.056178,0.0,0.0,4.480756,3.096769,3.518456,26.331326,121.594452,-18.480064,139.70076,37.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,141.045776,1.027027,44.0,0.0,0.0,282.299377,10.304557,0.0,0.010068,2.346469,2.346469,-0.002195
-16.797966,20210530-055534,20210530,055534,139.58287,0.0,3.0,1.0,1.0,30.0,353.137817,2.523451,44.0,20.088398,4.31785,4.31785,77.193321,1.0,0.0,0.920507,0.0,-99900.0,2.681714,0.0,0.0,4.31785,2.956142,4.31785,26.328299,121.604347,-16.24921,140.191879,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,140.589996,1.0,44.0,0.0,0.0,290.56781,9.045232,0.0,0.008469,2.272655,2.272655,-0.003178
-14.756624,20210530-060135,20210530,060135,140.015991,0.0,3.0,1.0,1.0,21.0,353.983673,2.516867,44.0,37.877987,3.486775,3.486775,124.368607,1.0,0.0,0.317477,0.0,-99900.0,1.878621,0.0,0.0,3.486775,2.747938,3.486775,26.332193,121.624725,-14.778411,140.109497,38.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,140.791458,1.026316,44.0,0.0,0.0,294.877075,7.948829,0.0,0.007211,2.10727,2.10727,-0.003344
-10.558749,20210530-060736,20210530,060736,141.574005,0.0,0.0,0.0,1.0,30.0,355.734711,2.54678,44.0,32.27346,3.534515,3.534515,109.981422,1.0,0.0,0.335302,0.0,-99900.0,3.191994,0.0,0.0,3.534515,2.783624,3.534515,26.346205,121.666611,-10.608345,141.594742,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,141.967194,1.0,44.0,0.0,0.0,283.110657,8.502437,0.0,0.008281,2.059086,2.059086,-0.001929
-7.157573,20210530-061337,20210530,061337,142.459915,0.0,0.0,0.0,1.0,32.0,357.123718,2.564013,44.0,39.406475,3.563262,3.563262,131.850052,1.0,0.0,0.289803,0.0,-99900.0,1.634853,0.0,0.0,3.563262,2.699282,2.564013,26.354174,121.700562,-7.245335,142.441299,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,142.639618,1.0,44.0,0.0,0.0,266.002563,8.472357,0.0,0.008452,2.229109,2.229109,0.000591
