3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-153.845016,20210530-073151,20210530,073151,34.140888,0.0,3.0,0.0,1.0,38.0,282.512329,2.99036,69.0,53.56353,5.129798,5.129798,156.444305,1.0,0.0,0.689106,0.0,-99900.0,0.0,0.0,0.0,5.129798,3.23647,2.99036,25.380041,120.242584,-153.982513,34.222961,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,157.587723,1.0,69.0,0.0,0.0,266.559937,-99900.0,0.0,-99900.0,3.196812,3.196812,-99900.0
-147.088837,20210530-073751,20210530,073751,33.802933,0.0,9.0,0.0,2.0,40.0,282.94278,2.803529,69.0,73.378365,4.797268,4.797268,187.783356,1.0,0.0,0.526821,0.0,-99900.0,1.23911,0.0,0.0,4.797268,3.049098,2.803529,25.377001,120.309769,-147.418549,33.806381,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,150.923035,1.0,69.0,1.0,0.009681,272.863647,18.790558,0.0,0.018767,3.81511,3.81511,-0.000939
-140.597397,20210530-074352,20210530,074352,33.843498,0.0,15.0,0.0,3.0,30.0,283.534485,2.628001,69.0,71.017159,4.588978,4.588978,126.281067,1.0,0.0,0.658555,0.0,-99900.0,0.473655,0.0,0.0,4.588978,2.929913,2.628001,25.377365,120.374298,-140.971436,33.781498,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,144.613312,1.0,69.0,2.0,0.055684,271.285248,18.378391,0.0,0.018374,3.971605,3.971605,-0.000412
-133.865295,20210530-074954,20210530,074954,34.424419,0.0,21.0,0.0,4.0,27.0,284.421722,2.445947,69.0,40.634655,4.38519,4.38519,90.088409,1.0,0.0,0.991195,0.0,-99900.0,0.734605,0.0,0.0,4.38519,3.153543,3.392659,25.382589,120.441193,-133.897263,34.391785,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,138.220688,1.0,69.0,3.0,0.08815,269.229248,18.40346,0.0,0.018402,3.91711,3.91711,0.000248
-128.923096,20210530-075555,20210530,075555,33.252125,0.0,27.0,0.0,5.0,19.0,284.46283,2.300644,69.0,49.364349,4.139251,4.139251,129.545502,1.0,0.0,0.957284,0.0,-99900.0,2.11771,0.0,0.0,4.139251,3.01625,2.300644,25.372047,120.490379,-128.508514,33.164425,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,133.142288,1.0,69.0,4.0,0.0,271.0495,17.468004,0.0,0.017465,3.474083,3.474083,-0.00032
-122.013367,20210530-080157,20210530,080157,33.055496,0.0,33.0,1.0,6.0,19.0,285.158722,2.139628,69.0,46.821697,3.92617,3.92617,87.581345,1.0,0.0,0.870018,0.0,-99900.0,0.592904,0.0,0.0,3.92617,2.848492,2.139628,25.370279,120.559082,-121.774879,33.928101,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,126.411736,1.0,69.0,5.0,0.065238,271.688995,17.437626,0.0,0.01743,4.426018,4.426018,-0.000514
-116.521088,20210530-080758,20210530,080758,33.655724,0.0,39.0,0.0,7.0,26.0,286.110901,1.998182,69.0,52.563087,3.621076,3.621076,112.020599,1.0,0.0,0.885948,0.0,-99900.0,1.121332,0.0,0.0,3.621076,2.642304,1.998182,25.375677,120.613655,-115.679863,34.444191,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,121.284264,1.0,69.0,6.0,0.019606,271.146149,16.882278,0.0,0.016879,3.744067,3.744067,-0.000338
-109.738647,20210530-081400,20210530,081400,33.798599,0.0,45.0,0.0,8.0,27.0,287.118561,1.867054,69.0,38.016991,3.432764,3.432764,67.816956,1.0,0.0,0.801436,0.0,-99900.0,0.722667,0.0,0.0,3.432764,2.384163,2.647238,25.376961,120.681068,-110.111565,34.002506,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,114.825592,1.0,69.0,7.0,0.0,270.732452,16.852877,0.0,0.016851,3.62004,3.62004,-0.000215
-103.488441,20210530-082000,20210530,082000,33.164444,0.0,51.0,0.0,9.0,31.0,287.769012,3.235043,69.0,62.042511,4.125084,4.125084,175.916153,1.0,0.0,0.238585,0.0,-99900.0,0.586118,0.0,0.0,4.125084,3.301779,3.235043,25.371258,120.743233,-103.5989,33.138298,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,108.672623,1.0,69.0,8.0,0.02477,271.081757,16.998976,0.0,0.016996,1.174778,1.174778,-0.000321
-98.932098,20210530-082602,20210530,082602,33.270508,0.0,57.0,0.0,10.0,23.0,288.587769,1.633854,69.0,53.937912,3.906795,3.906795,150.205078,1.0,0.0,0.907564,0.0,-99900.0,1.611589,0.0,0.0,3.906795,2.192269,3.906795,25.372211,120.788521,-99.797417,32.997375,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,104.376663,1.0,69.0,9.0,0.069623,269.8479,16.788982,0.0,0.016789,3.351136,3.351136,4.5e-05
