3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-180.041367,20210530-061337,20210530,061337,22.517645,0.0,0.0,0.0,2.0,31.0,277.12912,3.719417,30.0,336.403412,4.972342,4.972342,1136.586426,1.0,0.0,0.143182,0.0,-99900.0,0.0,0.0,0.0,4.972342,3.798306,3.719417,25.275511,119.982925,-180.058685,22.558586,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,181.444031,1.0,30.0,1.0,0.0,262.314178,-99900.0,0.0,-99900.0,3.180462,3.180462,-99900.0
-178.347794,20210530-061938,20210530,061938,27.223774,0.0,3.0,0.0,1.0,34.0,278.679077,3.708056,30.0,133.195526,4.874332,4.874332,313.580627,1.0,0.0,0.310777,0.0,-99900.0,5.345705,0.0,0.0,4.874332,4.031532,3.708056,25.317835,119.999443,-178.928268,28.052408,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,180.413605,1.0,30.0,0.0,0.064788,199.792053,13.854784,0.0,0.004691,4.116677,4.116677,0.013036
-172.633942,20210530-062539,20210530,062539,25.761898,0.0,9.0,0.0,2.0,12.0,278.487732,3.502443,30.0,237.243347,4.665016,4.665016,404.878601,1.0,0.0,0.215534,0.0,-99900.0,7.362531,0.254,0.254,4.665016,3.583196,3.502443,25.304688,120.056328,-172.727585,25.831091,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,174.545563,1.0,30.0,1.0,0.332859,246.347839,11.200462,0.0,0.01026,4.969369,4.969369,0.004493
-168.809891,20210530-063140,20210530,063140,27.150345,0.0,15.0,0.0,3.0,4.0,279.137054,3.39499,30.0,244.178452,5.644176,5.644176,389.252075,1.0,0.0,0.947171,0.0,-99900.0,0.262846,0.762,0.762,5.644176,3.523532,4.507113,25.317175,120.094246,-168.997849,27.369587,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,170.979294,1.022727,30.0,2.0,1.410405,252.485657,11.447095,0.0,0.010916,6.593286,6.593286,0.003445
-164.717896,20210530-063741,20210530,063741,26.722584,0.0,21.0,0.0,4.0,10.0,279.215149,3.268438,30.0,233.457962,5.431295,5.431295,458.44165,1.0,0.0,0.431757,0.0,-99900.0,1.678207,0.254,0.254,5.431295,3.54276,3.268438,25.313328,120.134941,-164.917206,26.753347,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,166.871445,1.0,30.0,3.0,0.33093,258.28009,11.368547,0.0,0.011132,5.714131,5.714131,0.002309
-160.493042,20210530-064343,20210530,064343,25.030886,0.0,27.0,0.0,5.0,13.0,278.864746,3.173741,30.0,303.174805,5.500611,5.500611,697.206177,1.0,0.0,0.424591,0.0,-99900.0,2.535182,0.254,0.254,5.500611,3.559354,3.173741,25.298113,120.177025,-161.795319,26.412498,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,162.433243,1.0,30.0,4.0,0.262045,265.008392,11.313185,0.0,0.01127,5.562922,5.562922,0.000984
-155.074463,20210530-064944,20210530,064944,22.516357,0.0,33.0,1.0,6.0,37.0,278.261627,2.950853,30.0,467.906219,4.130564,4.130564,1587.124268,1.0,0.0,0.155613,0.0,-99900.0,3.17155,0.0,0.0,4.130564,3.105093,4.130564,25.275499,120.231018,-154.756149,22.492357,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,156.700592,1.0,30.0,5.0,0.0,279.468109,12.579864,0.0,0.012408,3.059199,3.059199,-0.002069
-154.431244,20210530-070145,20210530,070145,28.662991,0.0,3.0,0.0,1.0,3.0,280.514832,2.982162,2.0,218.772324,5.091141,5.091141,362.288513,1.0,0.0,0.756754,0.0,-99900.0,0.0,0.762,0.762,5.091141,3.290258,4.012724,25.330776,120.237068,-154.750488,29.077913,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,157.068695,1.0,2.0,0.0,1.264894,263.546082,-99900.0,0.0,-99900.0,6.977236,6.977236,-99900.0
-149.804108,20210530-070746,20210530,070746,29.152775,0.0,9.0,0.0,2.0,3.0,281.012634,2.855762,2.0,225.423737,4.899097,4.899097,362.754669,1.0,0.0,0.454075,0.0,-99900.0,0.667295,0.508,0.508,4.899097,3.255353,3.878579,25.335182,120.283028,-150.201797,29.545744,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,152.61441,1.0,2.0,1.0,0.790463,263.957733,12.889142,0.0,0.012818,6.494151,6.494151,0.001357
-145.503998,20210530-071347,20210530,071347,28.068811,0.0,15.0,0.0,3.0,13.0,280.918854,2.715977,2.0,113.491951,4.775786,4.775786,211.33197,1.0,0.0,0.52142,0.0,-99900.0,1.607367,0.254,0.254,4.775786,2.985274,2.715977,25.325434,120.325829,-145.50853,27.767965,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,148.186615,1.0,2.0,2.0,0.170133,273.807861,12.391979,0.0,0.012365,4.679105,4.679105,-0.000823
