3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-95.750961,20210530-061337,20210530,061337,29.184759,0.0,0.0,0.0,1.0,40.0,286.951324,1.526358,34.0,14.247619,2.202615,2.202615,51.86179,1.0,0.0,0.251155,0.0,-99900.0,0.0,0.0,0.0,2.202615,1.6372,1.526358,25.335468,120.82029,-95.934723,29.044479,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,100.099937,1.0,34.0,0.0,0.0,262.314178,-99900.0,0.0,-99900.0,1.230289,1.230289,-99900.0
-89.981934,20210530-061938,20210530,061938,30.156351,0.0,0.0,0.0,1.0,42.0,288.528137,1.432779,34.0,18.747183,3.478223,3.478223,62.415382,1.0,0.0,0.813491,0.0,-99900.0,0.71556,0.0,0.0,3.478223,2.044971,2.070419,25.344206,120.877594,-90.896126,30.483471,38.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,94.900757,1.026316,34.0,0.0,0.0,260.440216,16.205717,0.0,0.015981,2.063315,2.063315,0.002691
-83.795059,20210530-062539,20210530,062539,31.157343,0.0,0.0,0.0,1.0,40.0,290.396698,1.319201,34.0,37.341946,3.269347,3.269347,124.215744,1.0,0.0,0.674427,0.0,-99900.0,0.418887,0.0,0.0,3.269347,1.87721,2.517915,25.353207,120.939064,-84.85247,31.219145,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,89.400177,1.0,34.0,0.0,0.0,260.631256,16.783312,0.0,0.016559,2.340436,2.340436,0.002732
-78.539993,20210530-063140,20210530,063140,30.79878,0.0,3.0,0.0,1.0,31.0,291.412354,1.205686,34.0,45.557304,4.961805,4.961805,145.587112,1.0,0.0,1.419117,0.0,-99900.0,1.526829,0.0,0.0,4.961805,1.954045,3.089064,25.349981,120.99131,-78.965233,30.808992,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,84.362885,1.025,34.0,0.0,0.016668,264.229492,16.098145,0.0,0.016017,3.229131,3.229131,0.001619
-72.129257,20210530-063741,20210530,063741,30.798508,0.0,9.0,0.0,1.0,29.0,293.122192,1.12611,34.0,42.288235,4.342514,4.342514,124.067978,1.0,0.0,0.774918,0.0,-99900.0,0.858525,0.0,0.0,4.342514,2.34293,2.161345,25.349979,121.055031,-74.325645,31.365458,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,78.429443,1.025,34.0,0.0,0.0,266.227173,16.291639,0.0,0.016256,3.245044,3.245044,0.001072
-65.929092,20210530-064343,20210530,064343,31.570702,0.0,3.0,0.0,1.0,16.0,295.587982,1.022821,34.0,61.118256,5.08242,5.08242,144.543686,1.0,0.0,0.949702,0.0,-99900.0,0.497003,0.254,0.254,5.08242,2.333874,2.63294,25.356924,121.116646,-67.818665,32.465694,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,73.098251,1.0,34.0,0.0,0.117718,266.285797,16.484289,0.0,0.01645,5.041724,5.041724,0.001068
-60.690247,20210530-064944,20210530,064944,32.873932,0.0,3.0,1.0,1.0,25.0,298.443115,0.942535,34.0,96.673943,4.664517,4.664517,308.366333,1.0,0.0,0.890714,0.0,-99900.0,1.153914,0.0,0.0,4.664517,2.106756,2.450105,25.368645,121.168694,-62.406803,33.386669,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,69.021744,1.0,34.0,0.0,0.016906,265.891846,16.372671,0.0,0.016331,3.862879,3.862879,0.001173
-54.896255,20210530-065544,20210530,065544,33.687424,0.0,39.0,0.0,1.0,15.0,301.535767,0.860556,34.0,69.770004,4.504412,4.504412,128.173248,1.0,0.0,1.523276,0.0,-99900.0,0.400368,0.254,0.254,4.504412,1.988291,1.726654,25.375959,121.226273,-56.866928,33.734135,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,64.408394,1.0,34.0,0.0,0.225268,264.505615,16.234516,0.0,0.01616,5.247408,5.247408,0.001554
-48.980438,20210530-070145,20210530,070145,34.381771,0.0,15.0,0.0,1.0,4.0,305.067017,0.779891,34.0,75.294334,5.30764,5.30764,132.586472,1.0,0.0,1.440631,0.0,-99900.0,0.156463,0.762,0.762,5.30764,2.34056,4.219659,25.382204,121.285072,-50.696896,34.591202,43.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,59.84304,1.046512,34.0,0.0,1.177736,262.244537,16.353613,0.0,0.016204,6.447712,6.447712,0.002207
-44.001617,20210530-070746,20210530,070746,36.30114,0.0,51.0,0.0,1.0,18.0,309.522583,0.729812,34.0,69.202782,4.140205,4.140205,134.613647,1.0,0.0,1.016281,0.0,-99900.0,1.420847,0.0,0.0,4.140205,1.79447,1.486877,25.399466,121.334534,-45.054752,37.05764,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,57.043098,1.0,34.0,0.0,0.026003,259.444885,15.887473,0.0,0.015619,4.336808,4.336808,0.00291
