3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-23.302094,20210530-040113,20210530,040113,16.860142,0.0,0.0,0.0,1.0,49.0,305.887604,3.29274,64.0,6.226567,4.043877,4.043877,59.249023,1.0,0.0,0.249533,0.0,-99900.0,0.0,0.0,0.0,4.043877,3.498323,3.999829,25.224627,121.540497,-23.414988,17.191595,32.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,28.761988,1.15625,64.0,0.0,0.0,266.062927,-99900.0,0.0,-99900.0,0.906151,0.906151,-99900.0
-18.104361,20210530-040714,20210530,040714,15.304951,0.0,0.0,0.0,1.0,34.0,310.210419,1.14546,64.0,11.019623,3.948445,3.948445,96.887642,1.0,0.0,1.357873,0.0,-99900.0,2.035233,0.0,0.0,3.948445,2.571881,3.948445,25.210642,121.592148,-19.147823,18.005325,33.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,23.706738,1.212121,64.0,0.0,0.0,286.657471,15.028811,0.0,0.014398,1.564936,1.564936,-0.004308
-14.91225,20210530-041315,20210530,041315,14.26647,0.0,0.0,0.0,1.0,50.0,313.732239,0.25405,64.0,10.928685,3.870046,3.870046,91.762985,1.0,0.0,1.614434,0.0,-99900.0,2.071107,0.0,0.0,3.870046,2.110604,3.870046,25.201302,121.623863,-15.907853,18.778187,35.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,20.637524,1.057143,64.0,0.0,0.0,287.17868,12.162908,0.0,0.01162,1.088381,1.088381,-0.003592
-11.776907,20210530-041916,20210530,041916,14.362436,0.0,0.0,0.0,1.0,59.0,320.649048,0.198738,64.0,11.054371,3.814308,3.814308,92.254776,1.0,0.0,1.280522,0.0,-99900.0,1.750036,0.0,0.0,3.814308,1.729091,3.814308,25.202166,121.655014,-11.208503,16.378305,34.0,0.0,36.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,18.573505,1.058824,64.0,0.0,0.0,282.729279,10.725579,0.0,0.010462,0.778228,0.778228,-0.002363
-8.400635,20210530-042516,20210530,042516,16.533081,0.0,0.0,0.0,1.0,56.0,333.064453,0.422649,64.0,11.359595,3.764233,3.764233,95.280281,1.0,0.0,1.081626,0.0,-99900.0,3.046512,0.0,0.0,3.764233,1.843738,3.691654,25.221685,121.688545,-9.534336,14.948901,35.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,18.544903,1.085714,64.0,0.0,0.0,272.536316,10.024036,0.0,0.010014,1.555438,1.555438,-0.000444
-7.94934,20210530-043718,20210530,043718,20.094177,0.0,0.0,0.0,1.0,68.0,338.416107,3.039156,64.0,18.630051,3.767306,3.767306,145.354462,1.0,0.0,0.203524,0.0,-99900.0,7.811495,0.0,0.0,3.767306,3.084938,3.039156,25.253712,121.693016,-8.050282,20.064642,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,21.609442,1.0,64.0,0.0,0.0,257.151733,7.386919,0.0,0.007202,0.614471,0.614471,0.001643
-4.905404,20210530-044319,20210530,044319,25.076269,0.0,0.0,0.0,1.0,65.0,348.931641,0.266558,64.0,1.326185,0.439871,0.439871,5.723542,1.0,0.0,0.091133,0.0,-99900.0,4.411506,0.0,0.0,0.439871,0.323381,0.439871,25.298517,121.723251,-5.193094,25.122963,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,25.551561,1.0,64.0,0.0,0.0,230.84053,7.232045,0.0,0.005608,0.238616,0.238616,0.004567
1.777626,20210530-044920,20210530,044920,23.068068,0.0,9.0,0.0,1.0,67.0,4.406495,1.006863,64.0,2.918193,1.251471,1.251471,22.926086,1.0,0.0,0.103623,0.0,-99900.0,5.922475,0.0,0.0,1.251471,1.033261,1.006863,25.280457,121.789665,1.759501,23.142817,35.0,0.0,35.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,23.136459,1.0,64.0,0.0,0.0,231.34996,8.144846,0.0,0.006361,0.185934,0.185934,0.005087
4.942331,20210530-045521,20210530,045521,18.713665,0.0,6.0,0.0,2.0,78.0,14.794148,0.635113,82.0,1.952906,0.811721,0.811721,18.18681,1.0,0.0,0.08484,0.0,-99900.0,6.062272,0.0,0.0,0.811721,0.659293,0.811721,25.241297,121.821106,4.880193,18.81682,34.0,0.0,35.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,19.355307,1.029412,82.0,1.0,0.0,259.516357,30.52854,0.0,0.030019,0.129979,0.129979,0.005555
7.008097,20210530-050722,20210530,050722,25.258516,0.0,3.0,0.0,1.0,26.0,15.506896,3.534527,74.0,34.993294,3.270972,3.270972,126.240631,1.0,0.0,-0.067003,0.0,-99900.0,0.0,0.0,0.0,3.270972,3.550442,3.596372,25.300156,121.841652,6.584372,24.22398,40.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,26.212708,1.125,74.0,0.0,0.02984,259.139557,-99900.0,0.0,-99900.0,3.379338,3.379338,-99900.0
