3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
36.641678,20210530-075555,20210530,075555,8.541607,0.0,21.0,1.0,4.0,14.0,76.877831,0.460103,18.0,80.481613,3.659106,3.659106,210.950836,1.0,0.0,1.539715,0.0,-99900.0,3.839257,0.0,0.0,3.659106,2.243487,1.262777,25.149818,122.135925,38.93734,11.216884,43.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,37.624081,1.069767,18.0,3.0,0.088499,264.070526,11.471136,0.0,0.01141,3.019282,3.019282,0.001185
43.203659,20210530-080157,20210530,080157,10.259942,0.0,27.0,0.0,5.0,21.0,76.640762,0.519974,18.0,71.893768,4.275873,4.275873,153.33075,1.0,0.0,1.024972,0.0,-99900.0,2.752337,0.0,0.0,4.275873,1.675933,1.205218,25.165272,122.201126,43.369545,10.909922,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,44.405209,1.0,18.0,4.0,0.0,259.324341,12.094921,0.0,0.011886,3.835283,3.835283,0.002241
48.753529,20210530-080758,20210530,080758,9.502538,0.0,33.0,0.0,6.0,22.0,78.970589,0.579187,18.0,145.420776,4.139353,4.139353,300.482147,1.0,0.0,0.849829,0.0,-99900.0,2.009646,0.0,0.0,4.139353,1.872469,2.362368,25.158461,122.256241,47.631405,10.265078,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,49.670967,1.0,18.0,5.0,0.083985,266.843567,13.510713,0.0,0.01349,4.696623,4.696623,0.000744
51.233662,20210530-081400,20210530,081400,8.511165,0.0,39.0,0.0,7.0,24.0,80.567719,0.6225,18.0,151.113831,4.32069,4.32069,279.355438,1.0,0.0,0.678722,0.0,-99900.0,2.713903,0.0,0.0,4.32069,1.698664,0.6225,25.149544,122.280853,50.74736,9.166804,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,51.935806,1.0,18.0,6.0,0.070262,269.581696,14.246222,0.0,0.014246,5.023296,5.023296,0.000104
54.725121,20210530-082000,20210530,082000,7.834278,0.0,45.0,0.0,8.0,13.0,81.852875,0.689417,18.0,138.91098,4.028585,4.028585,265.500916,1.0,0.0,0.585579,0.0,-99900.0,1.786107,0.0,0.0,4.028585,1.592544,0.689417,25.143457,122.315514,55.162483,8.625785,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,55.283043,1.0,18.0,7.0,0.031308,269.354675,14.212488,0.0,0.014212,4.348892,4.348892,0.00016
57.444637,20210530-082602,20210530,082602,6.963179,0.0,51.0,0.0,9.0,17.0,83.088387,0.711757,18.0,113.19072,4.171489,4.171489,239.94516,1.0,0.0,1.105798,0.0,-99900.0,2.596943,0.0,0.0,4.171489,2.244076,1.991946,25.135624,122.342506,56.720745,7.572042,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,57.86512,1.023256,18.0,8.0,0.043125,276.533386,11.227887,0.0,0.011155,4.289749,4.289749,-0.001278
61.11256,20210530-083203,20210530,083203,6.244387,0.0,57.0,0.0,10.0,15.0,84.165657,0.773483,18.0,113.256233,4.354768,4.354768,226.352982,1.0,0.0,1.08557,0.0,-99900.0,0.441876,0.254,0.254,4.354768,2.107389,1.156187,25.129158,122.378922,60.599117,6.886325,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,61.430756,1.0,18.0,9.0,0.256893,283.399048,9.685171,0.0,0.009422,5.273664,5.273664,-0.002244
66.139107,20210530-083804,20210530,083804,5.837553,1.0,3.0,0.0,11.0,9.0,84.955849,0.816614,18.0,129.024887,4.678498,4.678498,266.513123,1.0,0.0,0.85214,0.0,-99900.0,1.674681,0.508,0.508,4.678498,2.149299,0.816614,25.1255,122.428825,63.240047,6.326695,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,66.396225,1.0,18.0,10.0,0.410418,282.295288,9.657551,0.0,0.009436,5.554763,5.554763,-0.002057
66.774307,20210530-084405,20210530,084405,3.131466,1.0,9.0,0.0,12.0,12.0,87.314804,3.90517,18.0,35.585476,4.94753,4.94753,69.262009,1.0,0.0,0.514437,0.0,-99900.0,3.396406,0.254,0.254,4.94753,3.973155,3.90517,25.101164,122.435066,66.780762,3.098477,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,66.847694,1.0,18.0,11.0,0.336514,286.208588,9.526673,0.0,0.009148,1.382648,1.382648,-0.002659
68.505135,20210530-085007,20210530,085007,2.151053,1.0,15.0,0.0,13.0,29.0,88.201302,1.373437,18.0,16.631582,1.888543,1.888543,26.902893,1.0,0.0,0.239448,0.0,-99900.0,1.580849,0.0,0.0,1.888543,1.506767,1.888543,25.092346,122.452232,68.180367,2.362479,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,68.538895,1.02381,18.0,12.0,0.0,291.584503,8.667197,0.0,0.008059,0.94958,0.94958,-0.003188
