3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-41.143166,20210530-084405,20210530,084405,-12.049157,0.0,0.0,0.0,1.0,73.0,253.677094,3.1152,94.0,11.285901,3.878131,3.878131,66.231644,1.0,0.0,0.331222,0.0,-99900.0,0.0,0.0,0.0,3.878131,3.203176,3.1152,24.964642,121.363678,-41.228073,-12.016015,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,42.871231,1.0,94.0,0.0,0.0,267.651581,-99900.0,0.0,-99900.0,0.687914,0.687914,-99900.0
-36.542885,20210530-085007,20210530,085007,-10.948853,0.0,3.0,0.0,1.0,49.0,253.321167,0.457692,94.0,12.819996,3.395544,3.395544,53.437546,1.0,0.0,1.443101,0.0,-99900.0,1.276478,0.0,0.0,3.395544,1.676475,0.715756,24.974537,121.409317,-38.957027,-10.503794,39.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,38.147865,1.025641,94.0,0.0,0.0,256.548584,13.066419,0.0,0.012708,1.322412,1.322412,0.00304
-34.30447,20210530-085608,20210530,085608,-8.872789,0.0,0.0,0.0,1.0,54.0,255.498596,0.3856,94.0,12.618706,4.01881,4.01881,62.545815,1.0,0.0,1.284088,0.0,-99900.0,2.544919,0.0,0.0,4.01881,1.790196,0.634944,24.993206,121.431511,-33.397587,-10.648298,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,35.433361,1.0,94.0,0.0,0.0,245.09314,10.430369,0.0,0.00946,1.25333,1.25333,0.004393
-28.291718,20210530-090209,20210530,090209,-6.152652,0.0,3.0,0.0,1.0,34.0,257.731049,0.356082,94.0,24.011881,4.025363,4.025363,95.699532,1.0,0.0,1.82328,0.0,-99900.0,2.834482,0.0,0.0,4.025363,2.132005,1.227562,25.01767,121.491165,-32.040699,-7.042581,39.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,28.953003,1.102564,94.0,0.0,0.0,244.150635,12.545754,0.0,0.01129,2.995287,2.995287,0.00547
-28.416199,20210530-090809,20210530,090809,-3.01359,0.0,45.0,1.0,1.0,21.0,263.946533,0.38174,94.0,57.268703,4.241375,4.241375,134.303268,1.0,0.0,1.343752,0.0,-99900.0,4.349333,0.254,0.254,4.241375,1.940328,0.38174,25.045898,121.489891,-34.691376,-2.227474,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,28.57555,1.0,94.0,0.0,0.15579,235.853867,11.28334,0.0,0.009338,5.599642,5.599642,0.006333
-26.871897,20210530-091410,20210530,091410,-1.986069,0.0,9.0,1.0,1.0,26.0,265.773254,0.301825,94.0,13.321012,1.069715,1.069715,21.316977,1.0,0.0,0.302096,0.0,-99900.0,2.218515,0.0,0.0,1.069715,0.60666,1.069715,25.05514,121.505219,-28.483719,-1.711075,44.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,26.94519,1.045455,94.0,0.0,0.0,232.946594,10.094528,0.0,0.008056,1.50111,1.50111,0.006083
-20.684729,20210530-092611,20210530,092611,-3.19126,0.0,57.0,0.0,10.0,19.0,261.229736,0.194148,49.0,34.093998,1.691069,1.691069,58.576843,1.0,0.0,0.329235,0.0,-99900.0,6.373181,0.0,0.0,1.691069,0.518679,0.320478,25.044302,121.56665,-19.261053,-2.626262,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,20.929457,1.0,49.0,9.0,0.0,261.526947,21.290138,0.0,0.021058,1.313226,1.313226,0.003137
-12.050277,20210530-093212,20210530,093212,-3.057519,1.0,3.0,0.0,11.0,19.0,255.763031,0.161428,49.0,35.53677,2.947742,2.947742,51.48151,1.0,0.0,1.08732,0.0,-99900.0,1.436551,0.254,0.254,2.947742,1.232073,0.354441,25.045504,121.652374,-16.360907,-1.976584,46.0,0.0,46.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,12.432119,1.0,49.0,10.0,0.059048,259.012939,22.084877,0.0,0.02168,2.452919,2.452919,0.004209
-8.36535,20210530-093814,20210530,093814,-2.980274,1.0,9.0,0.0,12.0,18.0,250.391098,0.130821,49.0,31.147596,1.949833,-1.949833,82.562347,-1.0,0.0,0.923728,0.0,-99900.0,4.407372,0.0,-0.0,1.949833,0.947521,0.483307,25.046198,121.688957,-13.323714,-2.794822,43.0,0.0,46.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,1.0,-1.0,0.0,-0.0,8.880378,1.069767,49.0,11.0,0.0,257.425598,21.453529,0.0,0.020939,3.209536,-3.209536,0.004671
-1.881308,20210530-094415,20210530,094415,-3.282144,1.0,15.0,0.0,13.0,25.0,209.821472,0.108917,49.0,17.672024,1.295176,-1.295176,45.145782,-1.0,0.0,0.312486,0.0,-99900.0,2.259955,0.0,-0.0,1.295176,0.775166,1.015068,25.043484,121.753326,-4.335399,-5.168772,44.0,0.0,46.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,1.0,-1.0,0.0,-0.0,3.783092,1.045455,49.0,12.0,0.0,258.882599,20.267906,0.0,0.019888,1.728856,-1.728856,0.003908
