3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-80.156158,20210530-085007,20210530,085007,-37.10059,0.0,3.0,1.0,1.0,1.0,245.163025,1.964219,96.0,140.794556,6.559978,6.559978,140.154053,1.0,0.0,1.822178,0.0,-99900.0,0.0,1.524,1.524,6.559978,3.499924,4.19266,24.739349,120.977226,-82.214233,-38.81953,46.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,88.32589,1.043478,96.0,0.0,4.071796,270.474884,-99900.0,0.0,-99900.0,7.587718,7.587718,-99900.0
-74.824272,20210530-085608,20210530,085608,-35.372185,0.0,9.0,1.0,2.0,1.0,244.698456,1.782771,96.0,271.472107,7.753896,7.753896,323.371521,1.0,0.0,1.697207,0.0,-99900.0,1.498385,1.778,1.778,7.753896,3.328844,3.917924,24.754894,121.030045,-76.091904,-36.084591,48.0,0.0,50.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,82.763901,1.041667,96.0,1.0,5.542358,252.039185,15.526388,0.0,0.01477,9.259414,9.259414,0.004788
-69.733368,20210530-090209,20210530,090209,-34.344246,0.0,15.0,1.0,3.0,2.0,243.779663,1.111445,96.0,220.043854,7.199902,7.199902,280.269531,1.0,0.0,2.334816,0.0,-99900.0,0.740754,1.27,1.27,7.199902,2.71916,3.580236,24.764137,121.080498,-71.875504,-34.913864,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,20.0,20.0,0.0,0.0,77.73204,1.0,96.0,2.0,2.878181,255.187027,14.932245,0.0,0.014436,10.560702,10.560702,0.003818
-60.726635,20210530-090809,20210530,090809,-32.252392,0.0,21.0,1.0,4.0,1.0,242.027161,0.995394,96.0,166.697098,5.960636,5.960636,156.136246,1.0,0.0,1.586988,0.0,-99900.0,3.876755,1.524,1.524,5.960636,2.592853,4.682322,24.782949,121.169769,-65.132675,-34.481853,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,40.0,40.0,0.0,0.0,68.760025,1.0,96.0,3.0,4.086668,256.195251,18.092115,0.0,0.01757,8.210513,8.210513,0.004317
-60.829979,20210530-091410,20210530,091410,-38.241314,0.0,3.0,0.0,1.0,25.0,237.844391,0.939898,18.0,464.18396,1.53092,1.53092,633.988159,1.0,0.0,0.056595,0.0,-99900.0,0.0,0.0,0.0,1.53092,1.126565,1.53092,24.72909,121.168877,-60.204823,-36.93,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,71.851822,1.0,18.0,0.0,0.0,272.512299,-99900.0,0.0,-99900.0,2.847748,2.847748,-99900.0
-56.066547,20210530-092611,20210530,092611,-39.920544,0.0,2.0,59.0,1.0,22.0,234.548645,0.916139,86.0,80.233643,1.83189,1.83189,106.778893,1.0,0.0,0.252264,0.0,-99900.0,0.0,0.0,0.0,1.83189,1.187748,1.83189,24.713989,121.216141,-56.5723,-40.015953,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,68.826645,1.0,86.0,0.0,0.0,272.482758,-99900.0,0.0,-99900.0,2.780574,2.780574,-99900.0
-48.840439,20210530-093212,20210530,093212,-38.334084,0.0,9.0,1.0,2.0,28.0,231.872498,0.788995,86.0,72.567207,2.947202,2.947202,109.899948,1.0,0.0,0.757538,0.0,-99900.0,2.967115,0.0,0.0,2.947202,1.609921,1.616642,24.728256,121.28775,-49.123093,-37.693111,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,62.087765,1.0,86.0,1.0,0.046683,257.617432,20.493628,0.0,0.020017,3.835573,3.835573,0.004395
-44.594883,20210530-093814,20210530,093814,-38.582577,0.0,15.0,1.0,3.0,11.0,229.134613,0.727701,86.0,44.614899,4.213984,4.213984,93.910118,1.0,0.0,1.917522,0.0,-99900.0,3.519453,0.254,0.254,4.213984,2.334256,1.578142,24.726021,121.329849,-44.507866,-37.511887,42.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,58.968796,1.047619,86.0,2.0,0.24012,263.350891,15.972281,0.0,0.015865,4.548249,4.548249,0.001849
-39.635948,20210530-094415,20210530,094415,-37.321941,0.0,21.0,1.0,4.0,11.0,226.72258,1.104829,86.0,42.249165,3.853706,3.853706,95.037384,1.0,0.0,0.683785,0.0,-99900.0,0.970513,0.254,0.254,3.853706,2.529222,1.941122,24.737358,121.378998,-43.217968,-37.083851,39.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,54.442039,1.128205,86.0,3.0,0.271137,261.977356,14.959716,0.0,0.014813,3.379385,3.379385,0.002088
-33.043041,20210530-095015,20210530,095015,-36.914566,0.0,27.0,59.0,5.0,10.0,221.832748,1.747089,86.0,45.806351,4.462126,4.462126,69.797462,1.0,0.0,1.478487,0.0,-99900.0,1.306292,0.254,0.254,4.462126,2.594362,1.747089,24.74102,121.444366,-33.765686,-37.390034,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,49.54319,1.0,86.0,4.0,0.332925,262.755066,15.423351,0.0,0.0153,4.071734,4.071734,0.001945
