3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-70.539207,20210530-080758,20210530,080758,47.535156,0.0,15.0,0.0,1.0,18.0,303.975464,1.304859,36.0,20.327646,4.655653,4.655653,83.375175,1.0,0.0,1.118659,0.0,-99900.0,2.48466,0.254,0.254,4.655653,2.73088,3.781071,25.500496,121.070404,-74.386002,50.147106,37.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,85.060982,1.135135,36.0,0.0,0.143248,269.519867,23.228998,0.0,0.023228,2.779078,2.779078,0.000195
-64.329704,20210530-081400,20210530,081400,45.348343,0.0,33.0,0.0,1.0,29.0,305.181519,1.099113,36.0,51.057903,4.622234,4.622234,111.393745,1.0,0.0,1.431039,0.0,-99900.0,3.151402,0.0,0.0,4.622234,2.673325,2.851261,25.480829,121.132217,-64.830185,45.596886,41.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,78.706947,1.02439,36.0,0.0,0.06605,275.349762,21.582699,0.0,0.021489,3.8807,3.8807,-0.002012
-63.294289,20210530-082000,20210530,082000,46.573578,0.0,9.0,1.0,1.0,20.0,306.34671,1.11789,36.0,63.305023,4.355986,4.355986,142.582535,1.0,0.0,1.479695,0.0,-99900.0,6.978396,0.0,0.0,4.355986,2.388409,1.632254,25.491848,121.142487,-65.335991,46.586254,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,78.582855,1.0,36.0,0.0,0.008101,274.509216,17.48918,0.0,0.017435,4.021662,4.021662,-0.001375
-55.795803,20210530-082602,20210530,082602,47.963123,0.0,57.0,0.0,1.0,4.0,310.683105,1.030138,36.0,94.554115,5.306173,5.306173,200.223389,1.0,0.0,1.574268,0.0,-99900.0,2.229541,0.508,0.508,5.306173,2.673523,3.439305,25.504343,121.217033,-58.809353,47.481236,42.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,73.577393,1.071429,36.0,0.0,0.51721,271.526581,16.74922,0.0,0.016743,5.344704,5.344704,-0.000446
-52.697315,20210530-083203,20210530,083203,48.676254,0.0,57.0,1.0,1.0,10.0,312.728638,0.982798,36.0,105.419807,5.173002,5.173002,177.623352,1.0,0.0,1.363875,0.0,-99900.0,3.072815,0.508,0.508,5.173002,2.020793,2.555882,25.510757,121.247841,-55.319973,47.641056,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,71.738304,1.0,36.0,0.0,0.431751,269.184509,14.077955,0.0,0.014077,5.438637,5.438637,0.0002
-48.773357,20210530-083804,20210530,083804,49.3078,0.0,21.0,0.0,1.0,12.0,315.312317,0.93063,36.0,125.396889,5.011541,5.011541,216.690521,1.0,0.0,1.442319,0.0,-99900.0,1.285658,0.254,0.254,5.011541,1.718058,3.176291,25.516438,121.286858,-50.657391,48.468792,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,69.354881,1.022727,36.0,0.0,0.355906,262.380249,12.070685,0.0,0.011964,5.388024,5.388024,0.001601
-42.094578,20210530-084405,20210530,084405,51.148521,0.0,3.0,0.0,1.0,10.0,320.546143,0.874891,36.0,75.415413,4.847686,4.847686,162.45546,1.0,0.0,0.93067,0.0,-99900.0,2.676443,0.508,0.508,4.847686,2.228593,3.825252,25.53299,121.353264,-43.697842,50.717133,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,66.24292,1.023256,36.0,0.0,0.422535,256.49295,12.845252,0.0,0.01249,4.612412,4.612412,0.003
-37.323349,20210530-085007,20210530,085007,51.841385,0.0,51.0,1.0,1.0,31.0,324.247986,0.841443,36.0,42.968544,4.590481,4.590481,110.761337,1.0,0.0,1.571832,0.0,-99900.0,0.465879,0.0,0.0,4.590481,2.275911,1.720156,25.539221,121.400719,-39.623749,51.539795,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,63.879272,1.0,36.0,0.0,0.052237,258.202789,14.12904,0.0,0.013831,3.245042,3.245042,0.002889
-34.30822,20210530-091410,20210530,091410,48.939899,0.0,9.0,0.0,1.0,47.0,324.968567,2.109362,80.0,24.501661,2.731496,2.731496,84.023277,1.0,0.0,0.299248,0.0,-99900.0,6.847172,0.0,0.0,2.731496,2.175461,2.731496,25.513128,121.430748,-34.41523,48.875061,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,59.767612,1.0,80.0,0.0,0.0,260.269104,22.075813,0.0,0.021758,0.832228,0.832228,0.003731
-36.955757,20210530-092012,20210530,092012,47.26421,0.0,3.0,1.0,1.0,40.0,321.978333,2.100876,51.0,24.715885,3.574044,3.574044,72.224365,1.0,0.0,0.771679,0.0,-99900.0,0.0,0.0,0.0,3.574044,2.558523,2.100876,25.498058,121.404434,-35.352627,47.932316,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,59.996944,1.0,51.0,0.0,0.0,272.042419,-99900.0,0.0,-99900.0,1.389186,1.389186,-99900.0
