3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-29.769264,20210530-043718,20210530,043718,31.54668,0.0,6.0,1.0,1.0,1.0,316.660522,0.556221,74.0,149.27243,6.066829,6.066829,160.341827,1.0,0.0,1.539594,0.0,-99900.0,3.180182,1.27,1.27,6.066829,2.538529,3.791709,25.356707,121.476089,-34.610497,32.076,48.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,43.375134,1.020833,74.0,0.0,3.104973,191.589661,24.195511,0.0,0.004861,9.640581,9.640581,0.023702
-24.402506,20210530-044319,20210530,044319,33.207127,0.0,12.0,0.0,2.0,20.0,323.689514,0.503571,74.0,87.998962,2.284957,2.284957,94.707573,1.0,0.0,0.704767,0.0,-99900.0,7.784718,0.0,0.0,2.284957,1.438228,1.044948,25.371639,121.529419,-28.498753,32.978031,47.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,41.209167,1.042553,74.0,1.0,0.0,199.155014,21.149437,0.0,0.00694,3.841416,3.841416,0.019978
-21.515148,20210530-045521,20210530,045521,31.319366,0.0,3.0,0.0,1.0,10.0,325.512573,1.569153,22.0,62.469406,3.321382,3.321382,57.236786,1.0,0.0,0.851627,0.0,-99900.0,0.0,0.508,0.508,3.321382,2.407062,3.657858,25.354662,121.558136,-17.246107,31.049479,44.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,37.997425,1.068182,22.0,0.0,0.571313,256.703888,-99900.0,0.0,-99900.0,7.736806,7.736806,-99900.0
-16.666552,20210530-050121,20210530,050121,35.692902,0.0,9.0,0.0,2.0,2.0,334.970154,1.870875,22.0,142.481583,4.704934,4.704934,144.907288,1.0,0.0,1.383795,0.0,-99900.0,3.341702,1.27,1.27,4.704934,2.902053,1.870875,25.393993,121.606308,-18.021112,37.882862,50.0,0.0,50.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,39.392349,1.0,22.0,1.0,2.340518,227.948883,18.137926,0.0,0.013468,6.325061,6.325061,0.012149
-11.785551,20210530-050722,20210530,050722,37.959805,0.0,15.0,0.0,3.0,3.0,342.751801,0.464517,22.0,135.29599,3.588147,3.588147,146.794617,1.0,0.0,0.75525,0.0,-99900.0,2.118848,1.016,1.016,3.588147,2.210297,3.588147,25.414381,121.654823,-15.267163,37.874722,49.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,39.747276,1.0,22.0,2.0,1.677497,235.69046,16.337158,0.0,0.013495,8.20655,8.20655,0.009209
-7.843351,20210530-051323,20210530,051323,38.714336,0.0,21.0,0.0,4.0,7.0,348.54718,0.422583,22.0,164.663742,3.86843,3.86843,219.715256,1.0,0.0,0.631054,0.0,-99900.0,2.732674,0.508,0.508,3.86843,1.5552,0.686436,25.421165,121.694016,-8.974051,36.72266,47.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,39.500862,1.021277,22.0,3.0,0.520556,241.957565,14.416471,0.0,0.012724,5.874329,5.874329,0.006778
-5.330087,20210530-051924,20210530,051924,40.564976,0.0,27.0,0.0,5.0,5.0,352.514435,0.461602,22.0,151.031174,3.810087,3.810087,202.213333,1.0,0.0,0.899033,0.0,-99900.0,2.163806,0.508,0.508,3.810087,1.912372,2.98239,25.437809,121.719002,-4.824004,40.340511,45.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,40.913654,1.044444,22.0,4.0,0.616411,242.42749,12.879494,0.0,0.011417,5.590556,5.590556,0.005962
0.897253,20210530-052526,20210530,052526,40.161522,0.0,33.0,0.0,6.0,6.0,1.279835,0.40424,22.0,74.741745,4.861116,4.861116,162.294327,1.0,0.0,2.334613,0.0,-99900.0,3.308826,0.508,0.508,4.861116,1.830547,1.831647,25.434181,121.780922,3.413928,36.288559,42.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,40.171543,1.095238,22.0,5.0,0.415402,248.344467,12.774548,0.0,0.011873,5.100987,5.100987,0.004714
4.21711,20210530-053128,20210530,053128,42.532322,0.0,39.0,0.0,7.0,19.0,5.662397,0.496447,22.0,56.520916,3.898056,3.898056,97.766647,1.0,0.0,1.239341,0.0,-99900.0,1.182381,0.0,0.0,3.898056,1.799628,0.78894,25.455502,121.813942,2.826031,42.996586,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,42.740875,1.0,22.0,6.0,0.069165,253.607605,11.94867,0.0,0.011463,4.125937,4.125937,0.003372
5.266581,20210530-053729,20210530,053729,40.289452,0.0,45.0,0.0,8.0,17.0,7.44738,0.479969,22.0,51.358627,3.806484,3.806484,112.294464,1.0,0.0,1.358673,0.0,-99900.0,4.638187,0.0,0.0,3.806484,1.513127,1.320542,25.435331,121.824371,4.815262,41.6549,45.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,40.632214,1.022222,22.0,7.0,0.0,259.918732,10.24953,0.0,0.010091,3.384869,3.384869,0.001794
