3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-122.329918,20210530-080157,20210530,080157,-50.675976,0.0,3.0,1.0,1.0,24.0,247.498169,2.295945,56.0,63.722565,4.115342,4.115342,188.251755,1.0,0.0,0.499095,0.0,-99900.0,0.0,0.0,0.0,4.115342,2.640831,2.295945,24.617266,120.559654,-122.511246,-50.569218,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,132.410965,1.0,56.0,0.0,0.024107,266.297943,-99900.0,0.0,-99900.0,3.612157,3.612157,-99900.0
-117.515953,20210530-080758,20210530,080758,-49.70118,0.0,9.0,0.0,2.0,30.0,247.075226,2.177268,56.0,59.968803,3.843161,3.843161,108.745262,1.0,0.0,0.510206,0.0,-99900.0,1.017086,0.0,0.0,3.843161,2.340469,2.177268,24.626032,120.607323,-117.744987,-49.958858,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,127.59391,1.0,56.0,1.0,0.0,258.552765,13.605584,0.0,0.013335,3.353574,3.353574,0.0027
-112.117668,20210530-081400,20210530,081400,-50.222332,0.0,15.0,1.0,3.0,12.0,245.870605,2.055946,56.0,110.143188,4.812741,4.812741,168.7276,1.0,0.0,0.810005,0.0,-99900.0,1.603746,0.254,0.254,4.812741,2.567463,2.892479,24.621344,120.660843,-112.477837,-49.908089,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,122.852165,1.0,56.0,2.0,0.206458,267.460419,14.139009,0.0,0.014125,5.370674,5.370674,0.000626
-107.353172,20210530-082000,20210530,082000,-48.960575,0.0,21.0,1.0,4.0,2.0,245.483948,1.944214,56.0,232.321548,4.575069,4.575069,307.66394,1.0,0.0,0.559419,0.0,-99900.0,1.084668,0.762,0.762,4.575069,2.48898,3.549703,24.632692,120.708015,-107.982155,-48.739906,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,117.990852,1.0,56.0,3.0,0.928104,264.753052,13.996476,0.0,0.013938,6.236962,6.236962,0.00128
-102.418968,20210530-082602,20210530,082602,-47.786163,0.0,27.0,0.0,5.0,3.0,244.987671,1.8328,56.0,289.913177,5.389627,5.389627,411.118835,1.0,0.0,0.772392,0.0,-99900.0,0.719724,0.762,0.762,5.389627,2.652961,3.366813,24.643253,120.756874,-103.138863,-48.066769,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,113.018417,1.022727,56.0,4.0,0.955381,262.569275,13.955799,0.0,0.013839,6.561814,6.561814,0.001805
-97.064552,20210530-083203,20210530,083203,-44.977345,0.0,33.0,0.0,6.0,1.0,245.138412,1.677783,56.0,208.954529,5.196457,5.196457,164.424271,1.0,0.0,1.375443,0.0,-99900.0,2.186876,1.524,1.524,5.196457,2.806911,4.100361,24.668512,120.809845,-97.199768,-44.888935,47.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,40.0,40.0,0.0,0.0,106.97892,1.021277,56.0,5.0,4.285628,258.620972,14.231877,0.0,0.013952,9.582393,9.582393,0.002808
-92.179222,20210530-083804,20210530,083804,-44.452766,0.0,39.0,0.0,7.0,1.0,244.254913,1.577134,56.0,363.300812,7.772665,7.772665,371.678528,1.0,0.0,1.944668,0.0,-99900.0,0.511977,1.524,1.524,7.772665,2.895441,3.86378,24.673231,120.858253,-92.587425,-44.104813,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,102.337959,1.0,56.0,6.0,3.740996,256.283081,14.395064,0.0,0.013985,11.37104,11.37104,0.003413
-86.941406,20210530-084405,20210530,084405,-43.690479,0.0,45.0,1.0,8.0,2.0,243.319458,1.474975,56.0,373.426819,7.382421,7.382421,448.442047,1.0,0.0,2.067879,0.0,-99900.0,0.506696,1.27,1.27,7.382421,2.801441,3.69687,24.680086,120.910156,-87.689339,-43.426414,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,20.0,20.0,0.0,0.0,97.301933,1.0,56.0,7.0,2.911347,254.508087,14.513547,0.0,0.013986,9.97457,9.97457,0.003877
-83.264267,20210530-085007,20210530,085007,-45.168541,0.0,51.0,0.0,9.0,7.0,241.521683,1.419875,56.0,268.855469,3.454797,3.454797,227.148468,1.0,0.0,0.380287,0.0,-99900.0,3.197357,0.508,0.508,3.454797,1.741175,1.419875,24.666794,120.946648,-83.711273,-45.464336,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,94.726631,1.0,56.0,8.0,0.762865,259.521332,13.813618,0.0,0.013583,7.129322,7.129322,0.002512
-80.81424,20210530-085608,20210530,085608,-51.030342,0.0,57.0,1.0,10.0,2.0,237.729828,1.511588,56.0,177.724075,8.81979,8.81979,223.510437,1.0,0.0,2.062493,0.0,-99900.0,7.199686,1.524,1.524,8.81979,3.707948,3.544032,24.614077,120.971107,-83.910416,-53.572514,47.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,95.577385,1.021277,56.0,9.0,3.803566,275.922363,12.298319,0.0,0.012233,9.789999,9.789999,-0.001269
-76.741096,20210530-090209,20210530,090209,-50.091873,1.0,3.0,1.0,11.0,1.0,236.866241,1.377557,56.0,253.67804,8.499136,8.499136,266.959442,1.0,0.0,3.573218,0.0,-99900.0,1.438031,1.524,1.524,8.499136,2.601067,4.258032,24.622517,121.011444,-78.202248,-50.776764,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,91.642738,1.0,56.0,10.0,3.710901,288.554718,11.6285,0.0,0.011024,10.948248,10.948248,-0.0037
-71.296951,20210530-090809,20210530,090809,-48.993832,1.0,9.0,1.0,12.0,2.0,235.504211,1.260532,56.0,235.157806,9.82518,9.82518,311.104126,1.0,0.0,2.833967,0.0,-99900.0,2.84301,1.524,1.524,9.82518,2.916193,3.202088,24.632391,121.065369,-72.774002,-48.615368,46.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,20.0,20.0,0.0,0.0,86.508095,1.043478,56.0,11.0,3.770497,289.169495,11.51491,0.0,0.010876,9.844848,9.844848,-0.003781
-66.101631,20210530-091410,20210530,091410,-47.572247,1.0,15.0,0.0,13.0,3.0,234.258362,2.299995,56.0,104.330879,7.608689,7.608689,168.679901,1.0,0.0,2.370173,0.0,-99900.0,3.061874,0.762,0.762,7.608689,3.297257,2.299995,24.645176,121.116829,-66.78022,-47.767445,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,81.440437,1.0,56.0,12.0,1.321686,281.743988,11.656483,0.0,0.011412,3.487616,3.487616,-0.002373
