3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-154.000153,20210530-071948,20210530,071948,-24.327276,0.0,3.0,0.0,1.0,36.0,261.023438,2.939445,14.0,94.508499,4.002783,4.002783,290.046539,1.0,0.0,0.219714,0.0,-99900.0,0.0,0.0,0.0,4.002783,3.056953,2.939445,24.854225,120.244324,-154.070633,-24.386057,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,155.90979,1.0,14.0,0.0,0.015418,268.874207,-99900.0,0.0,-99900.0,3.19308,3.19308,-99900.0
-147.619568,20210530-072550,20210530,072550,-22.967531,0.0,9.0,0.0,2.0,26.0,261.156708,2.755558,14.0,113.459015,4.833673,4.833673,247.438263,1.0,0.0,0.588565,0.0,-99900.0,1.665601,0.0,0.0,4.833673,3.192407,2.755558,24.866453,120.307549,-147.766083,-23.005829,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,149.395599,1.0,14.0,1.0,0.078127,257.969849,18.02174,0.0,0.017626,4.219651,4.219651,0.003756
-142.375031,20210530-073151,20210530,073151,-21.751793,0.0,15.0,1.0,3.0,8.0,261.313843,2.608763,14.0,189.225067,4.573265,4.573265,324.891785,1.0,0.0,0.458531,0.0,-99900.0,1.127183,0.508,0.508,4.573265,3.036888,3.600072,24.877386,120.359512,-142.623505,-21.685125,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,144.027039,1.0,14.0,2.0,0.444882,257.508423,16.469593,0.0,0.01608,5.479858,5.479858,0.003562
-136.049362,20210530-073751,20210530,073751,-19.91605,0.0,21.0,0.0,4.0,6.0,261.671936,3.389476,14.0,353.772644,5.478801,5.478801,532.188782,1.0,0.0,0.364473,0.0,-99900.0,0.771034,0.508,0.508,5.478801,3.637437,3.389476,24.893896,120.42218,-136.199936,-19.602636,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,137.499374,1.0,14.0,3.0,0.776913,256.26178,16.852467,0.0,0.01637,3.166384,3.166384,0.004002
-130.609268,20210530-074352,20210530,074352,-19.378139,0.0,27.0,0.0,5.0,4.0,261.560974,2.292528,14.0,268.931946,5.13663,5.13663,241.663971,1.0,0.0,1.262834,0.0,-99900.0,1.02126,1.016,1.016,5.13663,2.625737,4.068347,24.898733,120.476128,-131.028885,-19.04567,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,132.038986,1.0,14.0,4.0,1.589418,257.487701,16.561871,0.0,0.016169,7.812817,7.812817,0.003588
-123.922104,20210530-074954,20210530,074954,-16.515686,0.0,33.0,0.0,6.0,1.0,262.408875,2.120264,14.0,474.251099,6.104927,6.104927,451.010193,1.0,0.0,0.93992,0.0,-99900.0,1.772155,1.27,1.27,6.104927,2.830342,2.958738,24.924475,120.542343,-124.451462,-17.245752,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,125.017822,1.0,14.0,5.0,2.568977,256.034607,16.941803,0.0,0.016441,9.480396,9.480396,0.004089
-118.282745,20210530-075555,20210530,075555,-14.326741,0.0,39.0,0.0,7.0,1.0,263.094055,1.972149,14.0,493.492432,5.815697,5.815697,411.085785,1.0,0.0,2.121167,0.0,-99900.0,0.771886,1.524,1.524,5.815697,2.434307,4.619688,24.94416,120.598213,-118.637856,-15.361524,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,119.147232,1.0,14.0,6.0,3.607064,254.010101,17.082354,0.0,0.016421,9.694978,9.694978,0.004706
-110.008102,20210530-080157,20210530,080157,-15.250764,0.0,45.0,0.0,8.0,1.0,262.107452,3.319117,14.0,278.819061,6.694673,6.694673,374.894714,1.0,0.0,1.148831,0.0,-99900.0,3.511813,1.27,1.27,6.694673,3.997122,3.319117,24.93585,120.680359,-110.267639,-13.120728,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,20.0,20.0,0.0,0.0,111.060204,1.0,14.0,7.0,2.73096,256.774719,18.022171,0.0,0.017544,4.771199,4.771199,0.004123
-105.577797,20210530-080758,20210530,080758,-10.768185,0.0,51.0,0.0,9.0,6.0,264.176605,1.677008,14.0,134.933548,6.254466,6.254466,169.74794,1.0,0.0,1.877451,0.0,-99900.0,3.547788,0.762,0.762,6.254466,3.048433,1.677008,24.976164,120.724152,-106.35144,-12.035421,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,106.125519,1.0,14.0,8.0,1.059817,254.657394,18.016636,0.0,0.017375,6.578629,6.578629,0.004767
-100.254692,20210530-081400,20210530,081400,-8.303482,0.0,57.0,0.0,10.0,4.0,265.265564,2.956528,14.0,161.72641,5.934465,5.934465,256.460632,1.0,0.0,1.212375,0.0,-99900.0,1.216658,1.016,1.016,5.934465,3.23575,3.731903,24.998329,120.776894,-100.751961,-8.346325,44.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,20.0,20.0,0.0,0.0,100.597969,1.045455,14.0,9.0,2.135748,251.566238,17.916517,0.0,0.016997,4.417452,4.417452,0.005665
-95.287766,20210530-082000,20210530,082000,-6.885077,1.0,3.0,0.0,11.0,5.0,265.867462,2.117827,14.0,108.19323,5.5852,5.5852,180.993835,1.0,0.0,1.098005,0.0,-99900.0,1.308837,0.254,0.254,5.5852,2.566432,2.718172,25.011084,120.826149,-96.179413,-6.97665,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,95.536179,1.0,14.0,10.0,0.315764,250.682266,16.90073,0.0,0.015949,3.870872,3.870872,0.005591
