3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-55.916462,20210530-084405,20210530,084405,-5.985654,0.0,9.0,0.0,2.0,45.0,263.890198,0.701459,20.0,5.9128,1.064496,1.064496,18.097933,1.0,0.0,0.18959,0.0,-99900.0,10.651191,0.0,0.0,1.064496,0.792312,1.064496,25.019173,121.216942,-56.273224,-5.928003,38.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,56.23592,1.052632,20.0,1.0,0.0,299.842529,40.454044,0.0,0.03509,0.71493,0.71493,-0.020131
-56.690136,20210530-090209,20210530,090209,-3.71125,0.0,3.0,0.0,1.0,15.0,266.254669,1.997247,53.0,63.102352,4.101727,4.101727,82.923431,1.0,0.0,0.83697,0.0,-99900.0,0.0,0.254,0.254,4.101727,2.446351,1.997247,25.039625,121.209213,-56.775581,-3.756825,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,56.811485,1.0,53.0,0.0,0.329373,266.800659,-99900.0,0.0,-99900.0,3.375489,3.375489,-99900.0
-53.465191,20210530-090809,20210530,090809,-3.625397,0.0,9.0,0.0,2.0,26.0,266.121002,0.662652,53.0,25.78463,1.358121,1.358121,33.638237,1.0,0.0,0.25395,0.0,-99900.0,1.780089,0.0,0.0,1.358121,0.85922,0.662652,25.040398,121.241226,-54.014084,-3.765959,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,53.587967,1.0,53.0,1.0,0.0,268.475067,8.961405,0.0,0.008958,2.182388,2.182388,0.000238
-51.383961,20210530-091410,20210530,091410,-2.881364,0.0,15.0,0.0,3.0,12.0,266.79071,0.578313,53.0,26.151373,3.964065,3.964065,61.136063,1.0,0.0,1.450297,0.0,-99900.0,1.327247,0.508,0.508,3.964065,1.9562,3.964065,25.047089,121.261871,-48.579334,-2.917957,42.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,51.464684,1.047619,53.0,2.0,0.435714,261.106842,7.448246,0.0,0.007359,2.325623,2.325623,0.001151
-45.016899,20210530-092012,20210530,092012,-6.889183,0.0,18.0,0.0,4.0,50.0,261.299438,1.570724,53.0,31.164482,2.391082,2.391082,113.620003,1.0,0.0,0.398453,0.0,-99900.0,5.769852,0.0,0.0,2.391082,1.69871,2.391082,25.011045,121.32515,-45.15728,-6.986893,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,45.540993,1.0,53.0,3.0,0.0,283.34201,10.564808,0.0,0.01028,0.901273,0.901273,-0.002438
-40.492657,20210530-092611,20210530,092611,-7.634552,0.0,2.0,59.0,1.0,34.0,259.322937,1.046703,53.0,34.031857,1.397101,1.397101,108.859879,1.0,0.0,0.072993,0.0,-99900.0,0.843895,0.0,0.0,1.397101,1.128693,1.397101,25.004343,121.370071,-40.568363,-7.563766,41.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,41.206089,1.04878,53.0,0.0,0.0,285.222107,11.735386,0.0,0.011324,0.634064,0.634064,-0.003081
-35.292892,20210530-093212,20210530,093212,-8.464771,0.0,9.0,59.0,2.0,27.0,256.513,0.418838,53.0,52.510757,3.995769,3.995769,117.856255,1.0,0.0,1.801016,0.0,-99900.0,1.147158,0.0,0.0,3.995769,2.244808,2.027429,24.996876,121.421692,-36.60062,-8.291925,42.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,36.293808,1.071429,53.0,1.0,0.057933,284.65155,12.468486,0.0,0.012063,4.361197,4.361197,-0.003154
-30.119928,20210530-093814,20210530,093814,-9.057267,0.0,15.0,59.0,3.0,10.0,253.263855,0.373162,53.0,56.079288,3.745639,3.745639,146.145996,1.0,0.0,1.414645,0.0,-99900.0,0.975429,0.254,0.254,3.745639,2.137065,3.744377,24.991547,121.473045,-32.648285,-9.887443,42.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,31.452251,1.095238,53.0,2.0,0.351546,284.757874,13.880289,0.0,0.013422,5.58285,5.58285,-0.003536
-24.684601,20210530-094415,20210530,094415,-8.695676,0.0,21.0,0.0,4.0,12.0,250.59436,0.295306,53.0,83.827217,3.917832,3.917832,203.849716,1.0,0.0,1.310679,0.0,-99900.0,1.740977,0.254,0.254,3.917832,2.179745,3.738135,24.994799,121.526993,-26.444784,-9.229338,43.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,26.171442,1.046512,53.0,3.0,0.251786,281.227448,14.801288,0.0,0.014518,5.079671,5.079671,-0.002882
-16.234613,20210530-095015,20210530,095015,-7.67096,0.0,27.0,0.0,5.0,7.0,244.709229,0.226953,53.0,82.264442,4.00058,4.00058,196.38913,1.0,0.0,0.508092,0.0,-99900.0,3.826693,0.508,0.508,4.00058,1.916017,1.035905,25.004015,121.610855,-20.388317,-9.054058,43.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,17.955677,1.069767,53.0,4.0,0.402517,272.23938,15.571926,0.0,0.01556,5.351475,5.351475,-0.000608
