3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-133.63913,20210530-070746,20210530,070746,22.423782,0.0,3.0,0.0,1.0,23.0,279.52533,2.365449,38.0,126.723457,3.397374,3.397374,217.785385,1.0,0.0,0.224947,0.0,-99900.0,0.0,0.0,0.0,3.397374,2.485128,2.365449,25.274666,120.444031,-133.333801,22.395313,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,135.507355,1.0,38.0,0.0,0.040982,266.882263,-99900.0,0.0,-99900.0,3.525985,3.525985,-99900.0
-130.171829,20210530-073151,20210530,073151,24.69105,0.0,3.0,0.0,1.0,12.0,280.740479,2.309823,64.0,92.082497,5.175444,5.175444,160.304901,1.0,0.0,0.784946,0.0,-99900.0,0.0,0.254,0.254,5.175444,2.718174,2.309823,25.295055,120.478378,-130.692596,25.054277,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,132.492844,1.0,64.0,0.0,0.169815,266.559937,-99900.0,0.0,-99900.0,5.527417,5.527417,-99900.0
-123.699898,20210530-073751,20210530,073751,24.566841,0.0,9.0,0.0,2.0,4.0,281.232971,2.144899,64.0,67.996414,4.940135,4.940135,106.114899,1.0,0.0,1.263475,0.0,-99900.0,0.904578,0.762,0.762,4.940135,3.010962,3.88188,25.293938,120.542702,-124.182922,24.736561,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,126.115799,1.0,64.0,1.0,1.027179,271.099487,17.980827,0.0,0.017978,6.070516,6.070516,-0.000345
-118.833626,20210530-074352,20210530,074352,25.512156,0.0,15.0,0.0,3.0,12.0,282.116974,2.025589,64.0,85.853867,4.70015,4.70015,173.819885,1.0,0.0,0.540404,0.0,-99900.0,1.94441,0.254,0.254,4.70015,2.688162,2.887585,25.302441,120.591019,-119.157936,25.325871,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,121.541351,1.0,64.0,2.0,0.177041,265.855164,15.765862,0.0,0.015725,4.982664,4.982664,0.00114
-112.755241,20210530-074954,20210530,074954,28.204626,0.0,21.0,0.0,4.0,8.0,284.043976,1.901736,64.0,72.311104,4.471172,4.471172,137.198181,1.0,0.0,0.75659,0.0,-99900.0,2.312418,0.508,0.508,4.471172,2.553531,4.471172,25.326653,120.651314,-113.435394,27.414455,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,116.229279,1.02381,64.0,3.0,0.504806,258.621735,16.138485,0.0,0.015821,4.6668,4.6668,0.003184
-107.027321,20210530-075555,20210530,075555,30.990822,0.0,27.0,0.0,5.0,7.0,286.149078,1.792228,64.0,75.591339,5.402557,5.402557,159.95961,1.0,0.0,1.322229,0.0,-99900.0,1.636895,0.254,0.254,5.402557,2.935284,1.792228,25.351709,120.708138,-107.741302,30.787249,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,111.423866,1.0,64.0,4.0,0.305328,254.156265,16.475573,0.0,0.01585,6.10119,6.10119,0.004498
-101.781311,20210530-080157,20210530,080157,31.645557,0.0,33.0,0.0,6.0,5.0,287.271545,1.681165,64.0,69.191574,5.189722,5.189722,106.318314,1.0,0.0,1.616467,0.0,-99900.0,1.090631,0.508,0.508,5.189722,2.670069,3.141599,25.357597,120.760254,-102.383896,31.818022,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,106.587418,1.022727,64.0,5.0,0.749093,254.011108,16.293591,0.0,0.015663,5.796184,5.796184,0.004488
-94.837112,20210530-080758,20210530,080758,33.137722,0.0,39.0,0.0,7.0,14.0,289.260468,1.553173,64.0,90.808289,4.724035,4.724035,165.495575,1.0,0.0,0.904322,0.0,-99900.0,1.296096,0.254,0.254,4.724035,2.647208,3.804522,25.371017,120.829231,-95.895912,33.151478,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,100.459877,1.0,64.0,6.0,0.276625,252.343796,16.68996,0.0,0.015904,5.033852,5.033852,0.005062
-88.173485,20210530-081400,20210530,081400,34.242001,0.0,45.0,1.0,8.0,7.0,291.223755,1.435385,64.0,67.771629,4.410567,4.410567,113.787613,1.0,0.0,1.199168,0.0,-99900.0,1.162752,0.254,0.254,4.410567,2.204448,3.447863,25.380949,120.895439,-89.798218,33.929928,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,94.588997,1.0,64.0,7.0,0.351437,254.443344,17.415352,0.0,0.016777,5.15153,5.15153,0.004671
-80.426971,20210530-082000,20210530,082000,35.351711,0.0,51.0,1.0,9.0,25.0,293.728058,1.28791,64.0,53.569431,4.972692,4.972692,140.493469,1.0,0.0,1.464184,0.0,-99900.0,1.799881,0.0,0.0,4.972692,2.62568,2.487806,25.390928,120.97242,-81.508919,35.429775,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,87.853523,1.0,64.0,8.0,0.025801,258.213043,18.186728,0.0,0.017803,3.965241,3.965241,0.003715
