3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-117.243591,20210530-040113,20210530,040113,-72.79644,0.0,3.0,1.0,1.0,15.0,238.164185,2.442284,39.0,267.701599,5.515087,5.515087,519.075623,1.0,0.0,0.555386,0.0,-99900.0,0.669264,0.254,0.254,5.515087,2.918661,2.442284,24.418331,120.610992,-117.565369,-72.468437,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,138.005005,1.0,39.0,0.0,0.161655,251.578308,9.67437,0.0,0.009179,5.473339,5.473339,0.003057
-114.88089,20210530-040714,20210530,040714,-70.764786,0.0,15.0,0.0,1.0,11.0,238.367889,2.364165,39.0,185.139313,5.35414,5.35414,277.323151,1.0,0.0,0.641528,0.0,-99900.0,1.328604,0.508,0.508,5.35414,2.729961,2.364165,24.436602,120.634308,-115.201668,-70.673935,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,134.926926,1.0,39.0,0.0,0.402893,245.024429,9.006556,0.0,0.008164,6.177723,6.177723,0.003803
-111.17205,20210530-041315,20210530,041315,-68.533363,0.0,39.0,1.0,1.0,5.0,238.348022,2.258776,39.0,116.789383,5.156809,5.156809,145.853699,1.0,0.0,1.386846,0.0,-99900.0,1.14764,0.762,0.762,5.156809,3.07391,2.258776,24.456669,120.670944,-111.844543,-68.393143,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,130.598801,1.0,39.0,0.0,0.84808,240.656052,9.403551,0.0,0.008197,7.841774,7.841774,0.004608
-108.445938,20210530-041916,20210530,041916,-66.229057,0.0,27.0,0.0,1.0,1.0,238.587433,2.182187,39.0,175.275986,6.217932,6.217932,179.727081,1.0,0.0,2.146996,0.0,-99900.0,0.681792,1.016,1.016,6.217932,2.984298,3.048349,24.477392,120.697861,-109.791939,-65.994064,48.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,127.070099,1.020833,39.0,0.0,2.165374,238.980484,10.154569,0.0,0.008702,9.931472,9.931472,0.005233
-102.775681,20210530-042516,20210530,042516,-65.66993,0.0,27.0,0.0,1.0,1.0,237.423187,2.04868,39.0,157.339066,5.979668,5.979668,186.617767,1.0,0.0,1.442355,0.0,-99900.0,2.862398,1.524,1.524,5.979668,3.256394,2.877043,24.48242,120.753998,-103.73452,-65.641724,47.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,121.964668,1.021277,39.0,0.0,3.331926,241.241776,10.845056,0.0,0.009507,9.664371,9.664371,0.005218
-94.97599,20210530-043718,20210530,043718,-65.426208,1.0,21.0,0.0,1.0,2.0,235.438461,1.877191,39.0,329.140167,6.96146,6.96146,480.993134,1.0,0.0,1.178359,0.0,-99900.0,3.645505,1.27,1.27,6.96146,2.746,3.479904,24.484612,120.831245,-95.595215,-65.123192,46.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,115.330078,1.043478,39.0,0.0,2.26576,251.24765,11.096645,0.0,0.010508,9.133137,9.133137,0.003567
-90.561729,20210530-044319,20210530,044319,-64.889351,1.0,21.0,0.0,1.0,2.0,234.377914,1.806567,39.0,129.391418,6.712599,6.712599,167.650223,1.0,0.0,2.208819,0.0,-99900.0,0.974465,1.016,1.016,6.712599,2.990799,3.312463,24.489441,120.874954,-92.631958,-64.137711,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,111.409401,1.0,39.0,0.0,1.725771,258.114044,11.610174,0.0,0.011361,9.087177,9.087177,0.002391
-87.592293,20210530-044920,20210530,044920,-64.175568,0.0,15.0,0.0,1.0,4.0,233.771484,1.7328,39.0,149.408646,6.469479,6.469479,252.033539,1.0,0.0,1.272002,0.0,-99900.0,1.141799,0.508,0.508,6.469479,2.600735,2.464219,24.495859,120.904343,-89.305756,-63.328339,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,108.585968,1.0,39.0,0.0,0.694149,262.033813,11.424254,0.0,0.011314,6.922871,6.922871,0.001583
-84.725311,20210530-045521,20210530,045521,-61.64727,0.0,15.0,0.0,1.0,28.0,233.960175,1.646864,39.0,42.258076,5.004841,5.004841,92.367706,1.0,0.0,1.79634,0.0,-99900.0,2.304523,0.0,0.0,5.004841,2.604455,2.361357,24.518597,120.932671,-85.527039,-62.09602,42.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,104.779602,1.047619,39.0,0.0,0.017092,261.126801,11.059003,0.0,0.010927,4.30692,4.30692,0.001706
-82.953575,20210530-050121,20210530,050121,-58.074734,0.0,33.0,1.0,1.0,23.0,235.004913,1.569051,39.0,79.374748,4.757472,4.757472,182.866623,1.0,0.0,1.242661,0.0,-99900.0,3.664146,0.254,0.254,4.757472,2.260475,3.737725,24.550726,120.950111,-84.481201,-57.492519,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,101.261894,1.0,39.0,0.0,0.133623,250.804672,9.883423,0.0,0.009334,4.267257,4.267257,0.00325
-81.3731,20210530-050722,20210530,050722,-54.884499,0.0,15.0,0.0,1.0,31.0,236.001434,1.49144,39.0,41.948685,2.795583,2.795583,91.99353,1.0,0.0,0.668035,0.0,-99900.0,2.696229,0.0,0.0,2.795583,1.820673,2.162352,24.579416,120.965675,-81.916687,-54.91452,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,98.152382,1.02381,39.0,0.0,0.004504,231.078766,9.539075,0.0,0.007421,2.835732,2.835732,0.005993
