3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-24.13028,20210530-063140,20210530,063140,14.341067,0.0,0.0,0.0,1.0,49.0,300.723938,1.564223,88.0,5.230708,2.038548,2.038548,30.637569,1.0,0.0,0.245122,0.0,-99900.0,0.0,0.0,0.0,2.038548,1.647288,2.038548,25.201973,121.532295,-24.087461,14.24751,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,28.070208,1.0,88.0,0.0,0.0,264.520813,-99900.0,0.0,-99900.0,0.398994,0.398994,-99900.0
-18.028292,20210530-063741,20210530,063741,14.398634,0.0,15.0,0.0,1.0,25.0,308.613403,1.289851,88.0,12.768905,1.577729,1.577729,55.096718,1.0,0.0,0.089483,0.0,-99900.0,1.155706,0.0,0.0,1.577729,1.326474,1.289851,25.20249,121.592911,-18.154074,14.454344,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,23.072495,1.0,88.0,0.0,0.0,269.459473,16.903742,0.0,0.016903,0.65633,0.65633,0.000159
-12.17859,20210530-064343,20210530,064343,14.481936,0.0,15.0,0.0,1.0,26.0,319.937927,0.657181,88.0,25.405029,2.927025,2.927025,72.791748,1.0,0.0,0.846247,0.0,-99900.0,0.270394,0.0,0.0,2.927025,1.466372,0.657181,25.203239,121.651016,-13.797735,14.600932,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,18.922064,1.0,88.0,0.0,0.0,269.324646,16.531672,0.0,0.016531,2.688404,2.688404,0.000195
-6.648816,20210530-064944,20210530,064944,15.351113,0.0,27.0,0.0,1.0,20.0,336.581848,0.186196,88.0,37.297577,3.676973,3.676973,86.060921,1.0,0.0,1.127622,0.0,-99900.0,0.91091,0.0,0.0,3.676973,1.634433,1.558874,25.211056,121.705948,-10.844071,15.270861,42.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,16.72912,1.071429,88.0,0.0,0.072588,266.943207,16.153063,0.0,0.01613,5.204329,5.204329,0.000861
-0.900762,20210530-065544,20210530,065544,15.787928,0.0,9.0,0.0,1.0,17.0,356.734589,0.169004,88.0,42.580833,3.993732,3.993732,69.332298,1.0,0.0,2.11796,0.0,-99900.0,0.139686,0.254,0.254,3.993732,1.79308,1.512505,25.214985,121.763054,-5.701425,16.200359,46.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,15.813602,1.021739,88.0,0.0,0.169262,266.19632,16.052769,0.0,0.016017,5.791097,5.791097,0.001065
4.773266,20210530-070145,20210530,070145,16.130945,0.0,15.0,1.0,1.0,5.0,16.483837,0.160451,88.0,77.124481,4.034537,4.034537,104.463676,1.0,0.0,1.138289,0.0,-99900.0,0.115908,0.508,0.508,4.034537,1.817392,3.587194,25.218069,121.819427,0.154533,16.389185,46.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,16.82235,1.021739,88.0,0.0,0.784571,266.028534,15.980688,0.0,0.015942,6.56454,6.56454,0.001107
9.736636,20210530-070746,20210530,070746,16.970816,0.0,15.0,1.0,1.0,5.0,29.844042,0.172219,88.0,72.790054,4.842455,4.842455,104.228447,1.0,0.0,1.258453,0.0,-99900.0,0.905996,0.508,0.508,4.842455,1.924844,0.442651,25.225622,121.868736,6.628184,16.160948,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,19.565548,1.0,88.0,0.0,0.582072,264.666718,15.539412,0.0,0.015472,5.837074,5.837074,0.001444
15.541025,20210530-071347,20210530,071347,17.689268,1.0,39.0,0.0,1.0,2.0,41.301044,0.212965,88.0,126.416748,5.055958,5.055958,186.70752,1.0,0.0,1.679904,0.0,-99900.0,0.294551,0.762,0.762,5.055958,1.881006,3.485253,25.232084,121.926407,11.953908,17.382765,46.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,23.546415,1.021739,88.0,0.0,1.160068,263.733704,15.410638,0.0,0.015319,7.007158,7.007158,0.001682
20.103533,20210530-071948,20210530,071948,18.773018,1.0,39.0,0.0,1.0,2.0,46.960022,0.264812,88.0,153.664597,5.048594,5.048594,218.413055,1.0,0.0,1.000878,0.0,-99900.0,1.07848,0.508,0.508,5.048594,1.529123,1.209008,25.241831,121.971748,17.754686,18.316214,46.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,27.505968,1.021739,88.0,0.0,0.778202,262.830353,15.006385,0.0,0.014889,6.514534,6.514534,0.001873
26.081783,20210530-072550,20210530,072550,19.232843,0.0,27.0,0.0,1.0,4.0,53.594616,0.322098,88.0,166.591843,4.753912,4.753912,279.281219,1.0,0.0,0.817427,0.0,-99900.0,0.627559,0.508,0.508,4.753912,1.608696,1.097725,25.245966,122.031151,23.335321,19.095629,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,32.406197,1.0,88.0,0.0,0.400276,262.111755,14.912389,0.0,0.014771,5.742887,5.742887,0.002047
30.740646,20210530-073151,20210530,073151,20.040203,0.0,9.0,1.0,1.0,13.0,56.899044,0.395575,88.0,114.067924,4.245952,4.245952,184.586792,1.0,0.0,0.662884,0.0,-99900.0,0.677047,0.254,0.254,4.245952,1.162994,0.395575,25.253227,122.077446,29.977224,19.575556,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,36.696011,1.0,88.0,0.0,0.152617,261.499786,14.670043,0.0,0.014509,4.90848,4.90848,0.002168
33.873035,20210530-073751,20210530,073751,14.067334,1.0,21.0,0.0,1.0,14.0,67.44693,1.237876,88.0,41.217754,4.461799,4.461799,89.225853,1.0,0.0,0.856883,0.0,-99900.0,7.069744,0.254,0.254,4.461799,2.292725,1.847601,25.199511,122.108498,33.648956,14.493665,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,36.677956,1.022727,88.0,0.0,0.134489,272.320984,13.641061,0.0,0.01363,3.264019,3.264019,-0.000552
38.733017,20210530-074352,20210530,074352,14.264852,0.0,15.0,0.0,1.0,15.0,69.781761,0.439652,88.0,41.090916,4.015122,4.015122,81.471001,1.0,0.0,1.483923,0.0,-99900.0,0.401515,0.254,0.254,4.015122,1.986028,1.026927,25.201288,122.156776,36.090195,14.908307,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,41.276295,1.0,88.0,0.0,0.107504,280.634399,13.040524,0.0,0.012817,4.268819,4.268819,-0.002407
43.678146,20210530-075555,20210530,075555,10.880727,0.0,3.0,0.0,1.0,16.0,76.011505,1.573287,23.0,29.492334,2.75135,2.75135,54.226719,1.0,0.0,0.402236,0.0,-99900.0,0.0,0.0,0.0,2.75135,1.876019,1.864591,25.170855,122.205849,44.421936,10.998409,42.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,45.013008,1.047619,23.0,0.0,0.015623,265.652222,-99900.0,0.0,-99900.0,1.49653,1.49653,-99900.0
