3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-21.843782,20210530-073751,20210530,073751,29.317177,0.0,9.0,0.0,2.0,30.0,323.310852,1.670493,22.0,21.280945,4.142785,4.142785,73.685791,1.0,0.0,1.112462,0.0,-99900.0,2.942513,0.0,0.0,4.142785,2.373677,2.669234,25.336657,121.554886,-22.544888,30.205128,41.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,36.560192,1.04878,22.0,1.0,0.0,261.39978,27.171902,0.0,0.026866,2.597584,2.597584,0.004063
-19.343122,20210530-075555,20210530,075555,24.442564,0.0,3.0,0.0,1.0,26.0,321.643036,1.784179,22.0,17.724823,3.7312,3.7312,55.225731,1.0,0.0,0.864987,0.0,-99900.0,0.0,0.0,0.0,3.7312,2.258805,3.7312,25.292818,121.579773,-20.856218,23.980135,39.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,31.170424,1.051282,22.0,0.0,0.034394,265.652222,-99900.0,0.0,-99900.0,1.927766,1.927766,-99900.0
-14.988441,20210530-080157,20210530,080157,25.205841,0.0,9.0,0.0,2.0,34.0,329.262604,2.141428,22.0,15.351205,3.235729,3.235729,54.693882,1.0,0.0,0.373516,0.0,-99900.0,1.092941,0.0,0.0,3.235729,2.485209,2.651995,25.299683,121.623047,-17.330666,24.32708,39.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,29.325548,1.051282,22.0,1.0,0.0,260.05835,12.212968,0.0,0.01203,1.198922,1.198922,0.002109
-8.044981,20210530-080758,20210530,080758,25.585989,0.0,15.0,1.0,3.0,31.0,342.54538,1.515046,22.0,60.86042,3.62782,3.62782,194.004471,1.0,0.0,0.661535,0.0,-99900.0,2.628545,0.0,0.0,3.62782,2.05029,1.919604,25.303101,121.692055,-8.509731,25.763676,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,26.820972,1.0,22.0,2.0,0.0,264.219604,15.704919,0.0,0.015625,2.109479,2.109479,0.001582
-3.947348,20210530-081400,20210530,081400,25.773079,0.0,21.0,0.0,4.0,30.0,351.292389,0.654236,22.0,70.089043,3.603138,3.603138,224.64798,1.0,0.0,0.747416,0.0,-99900.0,1.605606,0.0,0.0,3.603138,1.592693,2.956434,25.304783,121.732773,-4.888774,26.336012,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,26.07361,1.0,22.0,3.0,0.051177,265.295837,14.742045,0.0,0.014692,1.598724,1.598724,0.001209
-2.474667,20210530-082000,20210530,082000,24.715464,0.0,27.0,0.0,5.0,15.0,354.282257,0.259858,22.0,22.106939,3.521414,3.521414,55.327305,1.0,0.0,1.620681,0.0,-99900.0,4.098157,0.0,0.0,3.521414,1.44144,0.259858,25.295271,121.747414,-5.179525,24.556244,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,24.839045,1.0,22.0,4.0,0.0,268.572754,12.398921,0.0,0.012395,1.343376,1.343376,0.000309
4.336208,20210530-082602,20210530,082602,24.464058,0.0,33.0,0.0,6.0,19.0,10.051153,0.803762,22.0,23.205235,3.546892,3.546892,92.089989,1.0,0.0,1.068662,0.0,-99900.0,2.352069,0.0,0.0,3.546892,2.004637,1.063099,25.293011,121.815094,2.267898,24.257402,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,24.845377,1.02381,22.0,5.0,0.0073,270.419312,12.656232,0.0,0.012656,2.087468,2.087468,-9.3e-05
10.463447,20210530-083203,20210530,083203,22.161386,0.0,39.0,0.0,7.0,23.0,25.27417,2.213284,22.0,22.275488,3.483182,3.483182,69.786598,1.0,0.0,0.55132,0.0,-99900.0,2.752857,0.0,0.0,3.483182,2.49385,2.213284,25.272303,121.875977,9.985934,22.330275,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,24.507362,1.0,22.0,6.0,0.004916,276.753296,13.213352,0.0,0.013122,1.44891,1.44891,-0.001554
15.902561,20210530-083804,20210530,083804,21.470686,0.0,45.0,0.0,8.0,28.0,36.525925,1.16566,22.0,48.021938,3.837831,3.837831,142.913971,1.0,0.0,0.868237,0.0,-99900.0,0.714081,0.0,0.0,3.837831,1.744225,1.882175,25.26609,121.930023,15.193771,21.991173,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,26.718567,1.0,22.0,7.0,0.059161,280.562592,13.6631,0.0,0.013432,2.738978,2.738978,-0.002505
20.848818,20210530-084405,20210530,084405,20.93532,0.0,51.0,1.0,9.0,22.0,44.881279,0.281331,22.0,42.808105,3.490679,3.490679,117.962563,1.0,0.0,0.762595,0.0,-99900.0,0.381447,0.0,0.0,3.490679,1.451005,1.257989,25.261276,121.979164,16.986305,20.821836,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,29.54591,1.0,22.0,8.0,0.005188,281.064392,14.935895,0.0,0.014658,3.392103,3.392103,-0.002866
24.951685,20210530-085007,20210530,085007,20.911512,0.0,57.0,1.0,10.0,23.0,50.034176,0.327887,22.0,31.07164,2.526,2.526,87.870468,1.0,0.0,0.48107,0.0,-99900.0,1.573554,0.0,0.0,2.526,1.112124,0.778638,25.261063,122.019936,22.64061,20.59984,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,32.555767,1.0,22.0,9.0,0.0,278.961243,15.380193,0.0,0.015192,2.063688,2.063688,-0.002396
