3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-13.406031,20210530-060135,20210530,060135,1.938663,0.0,3.0,0.0,1.0,9.0,278.22876,0.588127,100.0,5.958158,0.909058,0.909058,12.17407,1.0,0.0,0.157644,0.0,-99900.0,0.0,0.0,0.0,0.909058,0.67329,0.7409,25.090435,121.638885,-13.625624,1.857231,42.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,13.545482,1.047619,100.0,0.0,0.0,262.361298,-99900.0,0.0,-99900.0,0.54259,0.54259,-99900.0
-7.34243,20210530-060736,20210530,060736,2.800241,0.0,9.0,1.0,2.0,10.0,290.875916,0.172195,100.0,13.815213,1.6495,-1.6495,37.272175,-1.0,0.0,0.628973,0.0,-99900.0,1.22332,0.0,-0.0,1.6495,0.815158,1.6495,25.098183,121.699097,-10.366363,1.712683,42.0,0.0,45.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,1.0,-1.0,0.0,-0.0,7.858284,1.071429,100.0,1.0,0.0,261.912964,16.96537,0.0,0.016797,2.489966,-2.489966,0.002387
-1.58669,20210530-061337,20210530,061337,3.778629,0.0,15.0,0.0,3.0,17.0,337.221954,0.063524,100.0,16.918858,1.481861,-1.481861,40.338402,-1.0,0.0,0.511133,0.0,-99900.0,0.32927,0.0,-0.0,1.481861,0.778074,0.474707,25.106981,121.756248,-6.273944,2.927161,44.0,0.0,45.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,1.0,-1.0,0.0,-0.0,4.098247,1.022727,100.0,2.0,0.0,261.15155,16.567472,0.0,0.01637,1.531369,-1.531369,0.002548
7.376102,20210530-061938,20210530,061938,3.266703,0.0,21.0,0.0,4.0,24.0,66.112419,0.199554,100.0,12.499896,1.759566,1.759566,31.457695,1.0,0.0,0.663518,0.0,-99900.0,3.372221,0.0,0.0,1.759566,1.046966,1.759566,25.102379,121.845245,3.206689,3.478016,44.0,0.0,44.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,8.067107,1.0,100.0,3.0,0.0,265.832306,18.91489,0.0,0.018865,0.80034,0.80034,0.001375
13.067449,20210530-063140,20210530,063140,1.931386,0.0,3.0,0.0,1.0,30.0,81.592285,1.152834,77.0,12.188969,1.984314,1.984314,35.875412,1.0,0.0,0.400975,0.0,-99900.0,0.0,0.0,0.0,1.984314,1.38601,1.502406,25.09037,121.901756,12.740261,1.661752,40.0,0.0,42.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,13.209408,1.05,77.0,0.0,0.0,264.520813,-99900.0,0.0,-99900.0,0.820838,0.820838,-99900.0
20.194347,20210530-063741,20210530,063741,2.070276,0.0,9.0,0.0,2.0,33.0,84.146431,1.463666,77.0,16.124748,2.199975,2.199975,49.015137,1.0,0.0,0.271592,0.0,-99900.0,2.166324,0.0,0.0,2.199975,1.658914,2.199975,25.091619,121.972527,20.531628,1.527058,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,20.30019,1.025,77.0,1.0,0.0,268.883545,19.745825,0.0,0.019742,0.942282,0.942282,0.000385
27.984917,20210530-064343,20210530,064343,2.465033,0.0,15.0,0.0,3.0,42.0,84.965935,2.534931,77.0,25.234764,3.938854,3.938854,87.963036,1.0,0.0,0.474613,0.0,-99900.0,0.692768,0.0,0.0,3.938854,2.798669,3.249161,25.095169,122.049889,27.845798,2.369711,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,28.093271,1.0,77.0,2.0,0.0,267.950806,20.646353,0.0,0.020633,1.188683,1.188683,0.000738
31.015448,20210530-064944,20210530,064944,1.234029,0.0,21.0,0.0,4.0,39.0,87.721336,1.021229,77.0,18.211506,2.339083,2.339083,61.639908,1.0,0.0,0.424599,0.0,-99900.0,4.664932,0.0,0.0,2.339083,1.327775,1.021229,25.084099,122.079964,30.561934,1.082399,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,31.039988,1.0,77.0,3.0,0.0,271.576385,17.061668,0.0,0.017055,0.883384,0.883384,-0.000469
29.935671,20210530-071347,20210530,071347,-1.709597,0.0,3.0,0.0,1.0,41.0,93.268333,0.98983,95.0,8.823758,1.713622,1.713622,34.151691,1.0,0.0,0.402521,0.0,-99900.0,0.0,0.0,0.0,1.713622,1.186807,1.341204,25.057627,122.069214,29.602398,-2.30637,39.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,29.984447,1.025641,95.0,0.0,0.0,263.406097,-99900.0,0.0,-99900.0,0.56498,0.56498,-99900.0
32.117924,20210530-071948,20210530,071948,-0.430569,0.0,9.0,0.0,2.0,32.0,90.767838,0.339742,95.0,11.786464,1.799582,1.799582,43.201275,1.0,0.0,0.449448,0.0,-99900.0,3.149208,0.0,0.0,1.799582,0.674941,0.339742,25.069128,122.090889,31.538855,-0.00634,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,32.120811,1.0,95.0,1.0,0.0,239.625229,7.006792,0.0,0.006045,0.991739,0.991739,0.003543
