3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
94.007889,20210530-085608,20210530,085608,5.296422,0.0,0.0,0.0,3.0,55.0,86.775154,2.050546,44.0,45.772488,3.595127,3.595127,165.920715,1.0,0.0,0.485481,0.0,-99900.0,0.0,0.0,0.0,3.595127,2.535571,3.595127,25.120634,122.705574,93.82756,6.233841,38.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,94.156967,1.026316,44.0,2.0,0.0,267.251923,-99900.0,0.0,-99900.0,1.245109,1.245109,-99900.0
98.570839,20210530-090209,20210530,090209,2.728489,0.0,3.0,0.0,1.0,43.0,88.414223,1.534111,44.0,124.098656,4.522547,4.522547,438.301819,1.0,0.0,0.512262,0.0,-99900.0,2.865139,0.0,0.0,4.522547,2.40717,1.534111,25.097542,122.750793,100.52562,3.636886,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,98.608589,1.0,44.0,0.0,0.0,299.369904,14.503899,0.0,0.01264,3.484217,3.484217,-0.007113
101.583031,20210530-090809,20210530,090809,0.542336,0.0,9.0,0.0,2.0,42.0,89.693901,1.440966,44.0,92.170685,4.803775,4.803775,317.978271,1.0,0.0,1.739126,0.0,-99900.0,1.583083,0.0,0.0,4.803775,3.05187,1.440966,25.077881,122.780624,96.25103,1.152398,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,101.58448,1.0,44.0,1.0,0.0,302.110504,12.405133,0.0,0.010507,3.529352,3.529352,-0.006594
107.321236,20210530-091410,20210530,091410,-0.023883,0.0,15.0,0.0,3.0,24.0,90.012535,1.626114,44.0,151.076172,4.188798,4.188798,561.383301,1.0,0.0,0.320127,0.0,-99900.0,2.659785,0.254,0.254,4.188798,2.91153,4.188798,25.072788,122.837578,104.751694,1.647216,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,107.321243,1.025,44.0,2.0,0.096733,292.901855,12.931304,0.0,0.011912,3.050086,3.050086,-0.005032
112.771698,20210530-092012,20210530,092012,-0.618379,0.0,21.0,0.0,4.0,43.0,90.313965,1.761353,44.0,141.566315,4.37319,4.37319,522.859863,1.0,0.0,0.383019,0.0,-99900.0,1.673849,0.0,0.0,4.37319,3.15395,3.471725,25.067442,122.89167,110.701912,2.083009,39.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,112.773399,1.025641,44.0,3.0,0.0,287.484253,13.44521,0.0,0.012824,2.940535,2.940535,-0.00404
118.532196,20210530-092611,20210530,092611,-1.312735,0.0,27.0,0.0,5.0,40.0,90.634308,1.909377,44.0,111.557037,3.76268,3.76268,412.180481,1.0,0.0,0.676731,0.0,-99900.0,1.381727,0.0,0.0,3.76268,2.352908,3.76268,25.061197,122.94883,117.018188,-0.805652,39.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,118.539467,1.051282,44.0,4.0,0.059774,284.322937,13.976119,0.0,0.013542,2.570252,2.570252,-0.003458
124.614449,20210530-093212,20210530,093212,-3.208825,0.0,33.0,59.0,6.0,40.0,91.474831,2.087593,44.0,187.880402,4.741946,4.741946,708.215393,1.0,0.0,0.575961,0.0,-99900.0,1.358212,0.0,0.0,4.741946,3.098879,3.942057,25.044146,123.009132,124.311806,-2.167996,38.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,124.655754,1.078947,44.0,5.0,0.068965,280.878113,15.046311,0.0,0.014776,3.233895,3.233895,-0.00284
130.3797,20210530-093814,20210530,093814,-5.976176,0.0,36.0,0.0,7.0,41.0,92.624199,2.256933,44.0,136.308258,4.820779,4.820779,563.00354,1.0,0.0,0.320064,0.0,-99900.0,1.788576,0.0,0.0,4.820779,3.188288,4.039841,25.019258,123.066238,130.901169,-5.738443,36.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,130.516586,1.083333,44.0,6.0,0.0,281.997437,16.320265,0.0,0.015964,2.534333,2.534333,-0.003392
134.138031,20210530-094415,20210530,094415,-5.639317,0.0,3.0,0.0,1.0,42.0,92.40715,2.355178,44.0,107.157104,4.121589,4.121589,430.940887,1.0,0.0,0.572097,0.0,-99900.0,2.541022,0.0,0.0,4.121589,2.986319,4.121589,25.022289,123.103561,134.703842,-5.351207,36.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,134.256531,1.111111,44.0,0.0,0.0,283.421295,15.706457,0.0,0.015278,2.276109,2.276109,-0.003646
136.560471,20210530-095015,20210530,095015,-5.631649,0.0,9.0,0.0,2.0,46.0,92.361275,2.360005,44.0,142.122314,4.319613,4.319613,556.453247,1.0,0.0,0.749031,0.0,-99900.0,3.348649,0.0,0.0,4.319613,3.038346,4.319613,25.022358,123.127609,134.835037,-6.552621,37.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,136.676544,1.081081,44.0,1.0,0.0,283.386658,13.96132,0.0,0.013582,2.542465,2.542465,-0.003232
