3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-93.277168,20210530-090209,20210530,090209,-31.019276,0.0,0.0,0.0,3.0,55.0,251.605743,1.491635,77.0,9.123491,2.146257,2.146257,25.44611,1.0,0.0,0.363119,0.0,-99900.0,0.0,0.0,0.0,2.146257,1.67266,2.146257,24.794041,120.846924,-93.60215,-31.086605,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,98.299667,1.0,77.0,2.0,0.0,266.800659,-99900.0,0.0,-99900.0,1.465298,1.465298,-99900.0
-88.206978,20210530-090809,20210530,090809,-30.419489,0.0,3.0,0.0,1.0,41.0,250.972748,1.39461,77.0,14.385138,2.624559,2.624559,38.379944,1.0,0.0,0.541397,0.0,-99900.0,0.633569,0.0,0.0,2.624559,1.771646,2.015738,24.799435,120.897186,-89.113014,-30.095701,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,93.304962,1.0,77.0,0.0,0.0,263.253448,14.182144,0.0,0.014084,2.163893,2.163893,0.001666
-82.47509,20210530-091410,20210530,091410,-30.830021,0.0,9.0,0.0,2.0,42.0,249.503998,1.285956,77.0,18.667013,2.442633,2.442633,54.36692,1.0,0.0,0.457018,0.0,-99900.0,1.20145,0.0,0.0,2.442633,1.628261,1.285956,24.795742,120.954048,-83.232193,-30.890633,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,88.049026,1.0,77.0,1.0,0.0,268.998779,14.984745,0.0,0.014982,1.762169,1.762169,0.000262
-76.20079,20210530-092012,20210530,092012,-30.582535,0.0,15.0,0.0,3.0,23.0,248.132629,1.196242,77.0,34.262665,3.811788,3.811788,85.948502,1.0,0.0,0.947374,0.0,-99900.0,0.864244,0.254,0.254,3.811788,2.432729,3.811788,24.797968,121.016266,-78.475288,-30.745052,40.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,82.10878,1.05,77.0,2.0,0.145607,269.09613,15.781552,0.0,0.01578,3.395759,3.395759,0.000249
-70.954048,20210530-092611,20210530,092611,-30.555994,0.0,21.0,0.0,4.0,16.0,246.701385,1.095469,77.0,40.394688,4.424688,4.424688,80.045845,1.0,0.0,1.115957,0.0,-99900.0,0.422823,0.254,0.254,4.424688,2.325011,2.768143,24.798206,121.068298,-72.817535,-30.810223,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,77.253777,1.02381,77.0,3.0,0.114091,269.228271,15.708181,0.0,0.015707,4.279286,4.279286,0.000212
-65.281189,20210530-093212,20210530,093212,-30.478277,0.0,27.0,59.0,5.0,32.0,244.97348,0.992778,77.0,37.163052,4.079967,4.079967,77.655708,1.0,0.0,1.635952,0.0,-99900.0,0.003035,0.0,0.0,4.079967,2.200749,2.566921,24.798904,121.124557,-66.906883,-30.555819,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,72.045532,1.0,77.0,4.0,0.06398,269.264465,15.688263,0.0,0.015687,4.242184,4.242184,0.000201
-60.253784,20210530-093814,20210530,093814,-30.969963,0.0,33.0,0.0,6.0,33.0,242.797485,0.913237,77.0,37.735298,3.824169,3.824169,121.253838,1.0,0.0,0.794055,0.0,-99900.0,0.861932,0.0,0.0,3.824169,1.757886,0.913237,24.794483,121.174431,-61.824718,-30.930803,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,67.747009,1.0,77.0,5.0,0.0,270.487366,15.566286,0.0,0.015566,2.638163,2.638163,-0.000132
-55.445736,20210530-094415,20210530,094415,-31.747248,0.0,39.0,1.0,7.0,33.0,240.205597,0.840401,77.0,36.194401,3.608766,3.608766,107.385048,1.0,0.0,1.012365,0.0,-99900.0,1.090943,0.0,0.0,3.608766,1.769177,2.833345,24.787493,121.22213,-56.826084,-31.453035,39.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,63.891449,1.076923,77.0,6.0,0.017295,271.722778,14.941731,0.0,0.014935,2.914934,2.914934,-0.000449
-46.585724,20210530-095015,20210530,095015,-32.429428,0.0,45.0,1.0,8.0,34.0,235.157593,0.673588,77.0,51.831207,4.100259,4.100259,138.432495,1.0,0.0,0.905456,0.0,-99900.0,3.522089,0.0,0.0,4.100259,2.267699,2.061827,24.781357,121.310005,-43.477043,-33.420212,40.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,56.761761,1.05,77.0,7.0,0.026147,273.812561,15.841599,0.0,0.015807,3.295769,3.295769,-0.001053
-44.033932,20210530-095617,20210530,095617,-32.802948,0.0,51.0,0.0,9.0,23.0,233.316132,0.691598,77.0,53.506851,4.00849,4.00849,144.711761,1.0,0.0,1.600581,0.0,-99900.0,3.170187,0.254,0.254,4.00849,1.958886,3.197849,24.777998,121.33532,-44.711716,-33.666504,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,54.909203,1.0,77.0,8.0,0.105156,275.221497,15.529751,0.0,0.015465,3.726766,3.726766,-0.001413
