3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-19.460995,20210530-053128,20210530,053128,-5.75093,0.0,3.0,1.0,1.0,18.0,253.537277,2.295487,27.0,32.756638,3.521377,3.521377,49.338009,1.0,0.0,0.642149,0.0,-99900.0,0.0,0.0,0.0,3.521377,2.45445,2.295487,25.021282,121.578819,-19.538162,-5.697707,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,20.292942,1.0,27.0,0.0,0.025696,260.52356,-99900.0,0.0,-99900.0,1.829477,1.829477,-99900.0
-15.912218,20210530-053729,20210530,053729,-4.326721,0.0,9.0,1.0,2.0,8.0,254.78862,0.193484,27.0,135.211258,3.100096,3.100096,60.312191,1.0,0.0,1.470773,0.0,-99900.0,2.046612,0.254,0.254,3.100096,1.095887,0.544643,25.03409,121.614037,-18.826929,-4.597869,55.0,0.0,58.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,16.489973,1.054545,27.0,1.0,0.153607,248.133224,10.592449,0.0,0.00983,11.29975,11.29975,0.003945
-11.032422,20210530-054331,20210530,054331,-3.451736,0.0,15.0,1.0,3.0,16.0,252.626801,0.136622,27.0,111.494026,1.630065,1.630065,48.184433,1.0,0.0,0.505679,0.0,-99900.0,1.432335,0.0,0.0,1.630065,0.843275,0.690304,25.041958,121.662476,-13.608883,-3.928814,55.0,0.0,56.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,11.559793,1.018182,27.0,2.0,0.0,254.744415,12.084423,0.0,0.011659,9.716255,9.716255,0.00318
-8.009155,20210530-054933,20210530,054933,2.09866,0.0,21.0,1.0,4.0,3.0,284.683411,0.097535,27.0,347.153778,3.175164,3.175164,204.097168,1.0,0.0,1.181182,0.0,-99900.0,4.559312,1.016,1.016,3.175164,0.902311,0.553699,25.091873,121.692474,-8.656985,5.720992,53.0,0.0,55.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,8.27955,1.037736,27.0,3.0,0.67471,238.093613,12.778114,0.0,0.010848,9.025248,9.025248,0.006754
-2.845469,20210530-055534,20210530,055534,3.29933,0.0,27.0,1.0,5.0,5.0,319.224365,0.075863,27.0,162.593155,2.272257,-2.272257,176.209366,-1.0,0.0,0.774127,0.0,-99900.0,1.757273,0.0,-0.0,2.272257,1.146417,0.179734,25.102671,121.743744,-6.058509,-5.517392,51.0,0.0,51.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,1.0,-1.0,0.0,-0.0,4.356864,1.0,27.0,4.0,0.0,239.192383,13.244345,0.0,0.011375,4.416421,-4.416421,0.006783
-1.128151,20210530-060135,20210530,060135,6.464129,0.0,33.0,0.0,6.0,4.0,350.100189,0.067863,27.0,73.484207,2.059757,-2.059757,63.7244,-1.0,0.0,0.832691,0.0,-99900.0,2.494222,0.0,-0.0,2.059757,0.656749,0.096841,25.131134,121.760796,-6.039707,4.228077,49.0,0.0,51.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,1.0,-1.0,0.0,-0.0,6.561836,1.040816,27.0,5.0,0.0,236.237183,12.729484,0.0,0.010583,4.180603,-4.180603,0.007074
4.547451,20210530-060736,20210530,060736,7.045185,0.0,39.0,1.0,7.0,8.0,32.840931,0.068854,27.0,69.996521,2.941302,-2.941302,67.62912,-1.0,0.0,1.299852,0.0,-99900.0,2.708166,0.254,-0.254,2.941302,1.596793,1.538001,25.136358,121.817169,-0.622601,7.448901,48.0,0.0,49.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,1.0,-1.0,0.0,-0.0,8.385341,1.020833,27.0,6.0,0.051647,237.374023,12.877644,0.0,0.010846,3.690305,-3.690305,0.006943
9.644272,20210530-061337,20210530,061337,13.002828,0.0,45.0,0.0,8.0,2.0,36.564453,0.123511,27.0,70.414474,5.176495,5.176495,92.68309,1.0,0.0,2.293129,0.0,-99900.0,3.647864,0.762,0.762,5.176495,1.823864,0.693193,25.189938,121.867805,4.39794,12.141997,48.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,16.189054,1.020833,27.0,7.0,1.295926,234.914917,13.802842,0.0,0.011295,5.418198,5.418198,0.007934
18.052248,20210530-061938,20210530,061938,16.864786,0.0,51.0,0.0,9.0,4.0,46.947659,2.210341,27.0,53.028931,3.587305,3.587305,71.416924,1.0,0.0,0.603838,0.0,-99900.0,4.444014,0.508,0.508,3.587305,2.552661,2.826486,25.224669,121.951355,17.724121,16.812281,45.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,24.704346,1.044444,27.0,8.0,0.695353,239.169754,15.987009,0.0,0.013728,2.926201,2.926201,0.008193
24.796951,20210530-062539,20210530,062539,16.7381,0.0,57.0,0.0,10.0,7.0,55.980267,2.72981,27.0,50.47739,4.030221,4.030221,130.922394,1.0,0.0,0.352264,0.0,-99900.0,3.565699,0.508,0.508,4.030221,2.975025,4.030221,25.22353,122.018356,24.825272,16.93195,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,29.917433,1.0,27.0,9.0,0.482618,242.545471,17.913839,0.0,0.015896,2.618727,2.618727,0.008259
