3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-131.13858,20210530-085608,20210530,085608,-63.707317,0.0,3.0,0.0,1.0,40.0,244.089722,2.653117,38.0,49.089302,3.656794,3.656794,127.058548,1.0,0.0,0.321709,0.0,-99900.0,0.0,0.0,0.0,3.656794,2.839986,2.653117,24.500072,120.472969,-131.217758,-63.724335,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,145.794205,1.0,38.0,0.0,0.0,267.251923,-99900.0,0.0,-99900.0,2.6919,2.6919,-99900.0
-127.329781,20210530-090209,20210530,090209,-63.954552,0.0,9.0,0.0,2.0,35.0,243.331039,2.575401,38.0,61.585037,4.475495,4.475495,117.04628,1.0,0.0,0.7537,0.0,-99900.0,1.227159,0.0,0.0,4.475495,3.024046,2.575401,24.497849,120.510712,-127.960136,-63.934269,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,142.4888,1.0,38.0,1.0,0.048466,273.713928,10.572883,0.0,0.010551,4.051332,4.051332,-0.000685
-122.911575,20210530-090809,20210530,090809,-63.943798,0.0,15.0,0.0,3.0,12.0,242.514923,2.464699,38.0,64.081924,4.335584,4.335584,100.398399,1.0,0.0,0.754754,0.0,-99900.0,0.671239,0.254,0.254,4.335584,2.873576,3.401707,24.497946,120.554474,-123.267944,-64.116516,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,138.549866,1.0,38.0,2.0,0.343543,271.647369,11.414892,0.0,0.01141,4.789068,4.789068,-0.000328
-119.068954,20210530-091410,20210530,091410,-63.344673,0.0,21.0,1.0,4.0,2.0,241.987305,2.366483,38.0,177.361328,5.334959,5.334959,255.674576,1.0,0.0,0.80825,0.0,-99900.0,0.769,1.016,1.016,5.334959,2.822562,3.288675,24.503332,120.592514,-119.512383,-63.299961,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,134.870163,1.0,38.0,3.0,1.530462,268.450623,11.270445,0.0,0.011266,7.286032,7.286032,0.000305
-114.833939,20210530-092012,20210530,092012,-64.054794,0.0,27.0,0.0,5.0,7.0,240.847351,2.277469,38.0,242.368729,5.192854,5.192854,353.57547,1.0,0.0,0.602324,0.0,-99900.0,0.835248,0.508,0.508,5.192854,2.80529,2.277469,24.496946,120.634499,-115.277359,-63.942188,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,131.490875,1.0,38.0,4.0,0.761605,270.120514,11.324482,0.0,0.011324,7.164505,7.164505,-2.4e-05
-110.893997,20210530-092611,20210530,092611,-63.775402,0.0,33.0,0.0,6.0,6.0,240.096954,2.187349,38.0,172.270615,5.054991,5.054991,207.17514,1.0,0.0,0.980076,0.0,-99900.0,0.314122,0.762,0.762,5.054991,2.92938,2.187349,24.499458,120.673515,-111.546669,-63.395798,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,127.924904,1.0,38.0,5.0,0.898291,270.01767,11.291329,0.0,0.011291,7.096262,7.096262,-3e-06
-106.586876,20210530-093212,20210530,093212,-64.727715,0.0,39.0,0.0,7.0,7.0,238.730957,2.109234,38.0,145.11557,4.863247,4.863247,165.113083,1.0,0.0,1.167262,0.0,-99900.0,0.978693,0.762,0.762,4.863247,2.969677,2.984571,24.490894,120.716217,-106.96788,-65.059769,45.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,124.701401,1.022222,38.0,6.0,1.086693,271.61969,11.412474,0.0,0.011408,6.819324,6.819324,-0.000323
-102.939934,20210530-093814,20210530,093814,-64.235031,0.0,45.0,1.0,8.0,3.0,238.035919,2.017351,38.0,207.787476,4.752855,4.752855,298.016266,1.0,0.0,0.619381,0.0,-99900.0,0.777469,0.508,0.508,4.752855,2.62345,2.852966,24.495325,120.752319,-103.199921,-64.093727,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,121.337418,1.0,38.0,7.0,0.77157,272.159302,11.191111,0.0,0.011183,5.780661,5.780661,-0.000422
-99.321777,20210530-094415,20210530,094415,-63.921219,0.0,51.0,1.0,9.0,1.0,237.235886,1.945242,38.0,255.874619,5.838039,5.838039,371.476471,1.0,0.0,1.291238,0.0,-99900.0,0.626675,1.27,1.27,5.838039,2.798628,4.581342,24.498148,120.788147,-99.852898,-63.837593,45.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,20.0,20.0,0.0,0.0,118.113243,1.022222,38.0,8.0,2.292614,271.806122,10.987323,0.0,0.010982,7.697035,7.697035,-0.000346
-95.970871,20210530-095015,20210530,095015,-63.359917,0.0,57.0,0.0,10.0,1.0,236.567505,1.874382,38.0,277.920776,4.494689,4.494689,413.586304,1.0,0.0,0.496226,0.0,-99900.0,0.913034,1.016,1.016,4.494689,2.4742,2.645137,24.503195,120.82132,-96.687515,-63.2742,45.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,114.999504,1.044444,38.0,9.0,1.539624,268.475922,10.509513,0.0,0.010506,6.821841,6.821841,0.00028
-94.488426,20210530-095617,20210530,095617,-67.220772,1.0,3.0,0.0,11.0,9.0,234.571564,3.507462,38.0,85.264336,4.458028,4.458028,150.747772,1.0,0.0,0.286824,0.0,-99900.0,4.591649,0.508,0.508,4.458028,3.592038,3.507462,24.468473,120.836136,-94.608421,-67.257507,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,115.959885,1.0,38.0,10.0,0.392661,276.224304,9.35051,0.0,0.009295,1.85185,1.85185,-0.001014
