3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-5.074585,20210530-083804,20210530,083804,-32.115993,0.0,3.0,0.0,1.0,8.0,188.979355,2.367867,7.0,163.044998,5.698877,5.698877,273.293915,1.0,0.0,0.820176,0.0,-99900.0,0.0,0.508,0.508,5.698877,2.791434,2.971733,24.784174,121.721672,-5.376236,-32.494305,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,32.514435,1.0,7.0,0.0,0.487851,266.337708,-99900.0,0.0,-99900.0,3.86623,3.86623,-99900.0
-3.676938,20210530-084405,20210530,084405,-34.829906,0.0,9.0,0.0,2.0,9.0,186.026703,1.626522,7.0,169.031921,4.361361,4.361361,263.400024,1.0,0.0,0.519003,0.0,-99900.0,4.701172,0.508,0.508,4.361361,2.521551,3.120672,24.759768,121.735542,-3.138202,-36.615414,46.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,35.023453,1.021739,7.0,1.0,0.437865,332.751831,8.456116,0.0,0.003872,5.65163,5.65163,-0.007518
0.270248,20210530-085007,20210530,085007,-34.150669,0.0,15.0,0.0,3.0,10.0,179.546188,0.438092,7.0,313.999878,4.358541,4.358541,495.089081,1.0,0.0,1.80199,0.0,-99900.0,4.247935,0.508,0.508,4.358541,1.97412,1.57766,24.765875,121.774689,-2.148879,-38.875652,47.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,34.151737,1.021277,7.0,2.0,0.373201,290.822052,7.910866,0.0,0.007394,8.303866,8.303866,-0.002812
5.474959,20210530-085608,20210530,085608,-34.041309,0.0,21.0,0.0,4.0,9.0,170.862808,0.399498,7.0,299.752106,3.423846,3.423846,402.891449,1.0,0.0,1.262461,0.0,-99900.0,2.77359,0.508,0.508,3.423846,2.067518,0.399498,24.766859,121.826294,0.610238,-36.090591,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,34.478775,1.0,7.0,3.0,0.421823,278.144775,9.949981,0.0,0.00985,5.691599,5.691599,-0.00141
9.742712,20210530-090209,20210530,090209,-33.60582,0.0,27.0,0.0,5.0,17.0,163.832138,1.020195,7.0,300.997986,3.565577,3.565577,415.00528,1.0,0.0,0.32322,0.0,-99900.0,1.18273,0.254,0.254,3.565577,1.951757,1.948309,24.770777,121.868622,14.413618,-37.655708,47.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,34.98959,1.021277,7.0,4.0,0.180107,273.232819,10.752217,0.0,0.010735,5.413774,5.413774,-0.000606
13.408525,20210530-090809,20210530,090809,-33.12038,0.0,33.0,0.0,6.0,8.0,157.959442,0.462884,7.0,252.389374,3.552009,3.552009,331.121399,1.0,0.0,0.333023,0.0,-99900.0,0.731276,0.508,0.508,3.552009,2.073062,1.163417,24.775143,121.904976,16.620615,-37.172989,47.0,0.0,50.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,35.731613,1.06383,7.0,5.0,0.769222,270.517273,10.910118,0.0,0.01091,6.602229,6.602229,-9.8e-05
16.763008,20210530-091410,20210530,091410,-30.738197,0.0,39.0,0.0,7.0,7.0,151.393906,0.658994,7.0,457.190704,5.116378,5.116378,669.541687,1.0,0.0,0.531411,0.0,-99900.0,2.487251,0.508,0.508,5.116378,1.29929,1.116777,24.796566,121.938255,15.190515,-33.149513,47.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,35.011929,1.021277,7.0,6.0,0.744381,260.664734,11.703952,0.0,0.011549,5.914919,5.914919,0.001899
21.202297,20210530-092012,20210530,092012,-28.65424,0.0,45.0,0.0,8.0,9.0,143.500595,0.380662,7.0,372.664307,4.325028,4.325028,557.108276,1.0,0.0,0.578983,0.0,-99900.0,1.420431,0.508,0.508,4.325028,1.352154,1.242866,24.815308,121.9823,19.001247,-29.012892,46.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,35.645515,1.021739,7.0,7.0,0.709687,255.081329,11.650038,0.0,0.011257,6.094252,6.094252,0.002999
24.693327,20210530-092611,20210530,092611,-28.063009,0.0,51.0,0.0,9.0,9.0,138.654327,0.409001,7.0,338.146149,5.218725,5.218725,534.510559,1.0,0.0,0.99417,0.0,-99900.0,0.733902,0.508,0.508,5.218725,1.475808,1.667919,24.820625,122.01693,22.98424,-28.742208,45.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,37.380379,1.044444,7.0,8.0,0.798289,250.59726,11.238448,0.0,0.0106,6.802702,6.802702,0.003733
26.326632,20210530-093212,20210530,093212,-28.638611,0.0,57.0,0.0,10.0,6.0,137.408264,0.423397,7.0,303.522308,5.48129,5.48129,454.487366,1.0,0.0,1.131451,0.0,-99900.0,2.917234,0.762,0.762,5.48129,1.640857,2.265232,24.815449,122.033127,24.829628,-28.584911,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,38.900661,1.0,7.0,9.0,1.259219,250.846802,10.165589,0.0,0.009603,7.153603,7.153603,0.003335
