3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-8.279409,20210530-073751,20210530,073751,43.603195,0.0,3.0,0.0,1.0,7.0,349.248657,0.5201,90.0,239.766876,4.604926,4.604926,362.463715,1.0,0.0,0.893037,0.0,-99900.0,0.0,0.508,0.508,4.604926,1.500147,2.007537,25.465134,121.689667,-10.922174,43.375351,45.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,44.382286,1.044444,90.0,0.0,0.42125,269.09729,-99900.0,0.0,-99900.0,6.421321,6.421321,-99900.0
-0.398996,20210530-074352,20210530,074352,45.26965,0.0,9.0,0.0,2.0,13.0,359.495026,0.529431,90.0,138.900513,4.486558,4.486558,210.820953,1.0,0.0,1.366243,0.0,-99900.0,2.978562,0.254,0.254,4.486558,1.791011,2.530286,25.48012,121.768036,-3.849001,45.206203,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,45.271408,1.0,90.0,1.0,0.164749,258.059692,22.312231,0.0,0.021829,6.574058,6.574058,0.004616
6.751971,20210530-074954,20210530,074954,47.245441,0.0,15.0,0.0,3.0,9.0,8.1332,0.529258,90.0,181.891098,4.365461,4.365461,269.357666,1.0,0.0,0.914275,0.0,-99900.0,0.810745,0.508,0.508,4.365461,1.841647,2.787613,25.497889,121.839157,2.719888,45.276321,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,47.725475,1.0,90.0,2.0,0.498163,256.378418,21.391562,0.0,0.02079,6.601912,6.601912,0.005038
12.055273,20210530-075555,20210530,075555,49.126102,0.0,21.0,0.0,4.0,5.0,13.787587,2.903453,90.0,65.803177,4.685527,4.685527,103.837524,1.0,0.0,0.658074,0.0,-99900.0,2.202712,0.508,0.508,4.685527,3.113244,2.903453,25.514801,121.891914,11.895888,49.198959,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,50.58363,1.0,90.0,3.0,0.435668,254.778656,19.544437,0.0,0.018859,2.450675,2.450675,0.005131
18.30213,20210530-080157,20210530,080157,48.639545,0.0,27.0,0.0,5.0,9.0,20.62031,0.610927,90.0,203.441833,3.862016,3.862016,273.786682,1.0,0.0,0.834956,0.0,-99900.0,2.414807,0.508,0.508,3.862016,1.558636,2.420052,25.510426,121.954048,16.075399,48.205772,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,51.968967,1.0,90.0,4.0,0.506738,258.016144,18.555733,0.0,0.018151,6.258411,6.258411,0.003853
25.05361,20210530-080758,20210530,080758,49.332401,0.0,33.0,1.0,6.0,7.0,26.923813,0.665155,90.0,115.498871,5.199706,5.199706,167.938141,1.0,0.0,2.362728,0.0,-99900.0,0.725792,0.508,0.508,5.199706,2.275656,1.933074,25.516657,122.02121,22.255405,49.534103,46.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,55.329639,1.021739,90.0,5.0,0.442061,259.897644,18.311831,0.0,0.018028,6.316868,6.316868,0.003212
29.9277,20210530-081400,20210530,081400,50.079319,0.0,39.0,0.0,7.0,20.0,30.862719,0.709817,90.0,58.095875,3.355469,3.355469,73.353867,1.0,0.0,1.355211,0.0,-99900.0,1.70355,0.0,0.0,3.355469,1.56695,0.709817,25.523375,122.069702,28.422129,49.528008,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,58.340427,1.0,90.0,6.0,0.05587,262.021851,16.979984,0.0,0.016816,4.682679,4.682679,0.002357
34.64246,20210530-082000,20210530,082000,50.072948,0.0,45.0,0.0,8.0,14.0,34.676945,0.763155,90.0,40.299282,1.67184,1.67184,57.981682,1.0,0.0,0.269326,0.0,-99900.0,1.588475,0.0,0.0,1.67184,0.974883,0.763155,25.523317,122.1166,34.195168,49.747837,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,60.88842,1.0,90.0,7.0,0.0,264.940918,15.863293,0.0,0.015801,1.942853,1.942853,0.001399
35.56208,20210530-082602,20210530,082602,47.861954,0.0,51.0,0.0,9.0,26.0,36.612762,1.579407,90.0,48.16695,3.483731,3.483731,165.278397,1.0,0.0,0.584755,0.0,-99900.0,5.516266,0.0,0.0,3.483731,1.94814,2.723994,25.503433,122.125717,35.088749,48.048008,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,59.627411,1.025,90.0,8.0,0.004328,270.425964,13.556599,0.0,0.013556,1.749871,1.749871,-0.000101
41.252697,20210530-083203,20210530,083203,44.828053,0.0,57.0,0.0,10.0,29.0,42.621494,1.176179,90.0,30.956251,3.561967,3.561967,73.112389,1.0,0.0,1.028799,0.0,-99900.0,3.101616,0.0,0.0,3.561967,2.170028,2.146502,25.476149,122.182274,39.83849,44.879379,41.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,60.920761,1.02439,90.0,9.0,0.006509,278.837952,12.086926,0.0,0.011943,2.268762,2.268762,-0.001857
