3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
15.509965,20210530-044319,20210530,044319,85.524002,0.0,3.0,0.0,1.0,33.0,10.278975,1.260241,36.0,39.860195,4.034492,4.034492,120.024506,1.0,0.0,0.694528,0.0,-99900.0,0.0,0.0,0.0,4.034492,2.34723,1.813987,25.842136,121.926491,14.656503,86.267944,41.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,86.919006,1.02439,36.0,0.0,0.073749,255.724045,-99900.0,0.0,-99900.0,3.608408,3.608408,-99900.0
21.1674,20210530-044920,20210530,044920,87.188568,0.0,9.0,0.0,2.0,19.0,13.646065,1.325695,36.0,45.391087,4.23008,4.23008,100.605095,1.0,0.0,1.546335,0.0,-99900.0,1.077491,0.254,0.254,4.23008,2.726198,1.325695,25.857105,121.982849,19.859728,88.53035,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,89.721268,1.0,36.0,1.0,0.14331,253.604736,16.335804,0.0,0.015672,4.28413,4.28413,0.004611
26.174164,20210530-045521,20210530,045521,86.934784,0.0,15.0,0.0,3.0,17.0,16.755861,1.321407,36.0,113.467537,5.426587,5.426587,219.370117,1.0,0.0,1.176918,0.0,-99900.0,2.025693,0.254,0.254,5.426587,2.363272,2.621528,25.854824,122.032722,25.23962,86.931305,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,90.789551,1.0,36.0,2.0,0.154089,262.46402,14.899065,0.0,0.01477,5.293859,5.293859,0.001954
31.725597,20210530-050121,20210530,050121,87.77607,0.0,21.0,1.0,4.0,8.0,19.871729,1.382478,36.0,124.680855,5.558357,5.558357,210.630463,1.0,0.0,1.403706,0.0,-99900.0,0.271668,0.508,0.508,5.558357,2.535926,3.517287,25.862389,122.088028,30.438517,88.382492,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,93.333549,1.0,36.0,3.0,0.708119,263.089539,14.983664,0.0,0.014875,5.872768,5.872768,0.001803
37.393345,20210530-050722,20210530,050722,87.747292,0.0,27.0,0.0,5.0,9.0,23.081135,1.419822,36.0,126.927193,5.795383,5.795383,224.833786,1.0,0.0,1.601292,0.0,-99900.0,0.74203,0.508,0.508,5.795383,2.455493,3.611385,25.862131,122.144485,36.429539,88.017014,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,95.382645,1.0,36.0,4.0,0.605588,264.705566,15.125475,0.0,0.015061,6.219924,6.219924,0.001396
42.930458,20210530-051323,20210530,051323,89.341003,0.0,33.0,0.0,6.0,15.0,25.665321,1.504218,36.0,105.11779,4.789718,4.789718,180.33429,1.0,0.0,0.852108,0.0,-99900.0,1.094455,0.254,0.254,4.789718,2.183057,1.504218,25.876463,122.199661,42.380177,89.705788,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,99.120323,1.0,36.0,5.0,0.170297,263.557983,15.250076,0.0,0.015154,4.857105,4.857105,0.001711
48.651016,20210530-051924,20210530,051924,89.257156,0.0,39.0,0.0,7.0,19.0,28.59322,1.561203,36.0,134.597366,4.859569,4.859569,350.9375,1.0,0.0,1.276388,0.0,-99900.0,0.744759,0.254,0.254,4.859569,2.536497,2.924201,25.87571,122.256653,47.841686,89.89283,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,101.655113,1.0,36.0,6.0,0.090618,264.818695,15.375661,0.0,0.015313,4.144139,4.144139,0.001389
54.979885,20210530-052526,20210530,052526,90.171959,0.0,45.0,0.0,8.0,10.0,31.371534,1.647872,36.0,184.426987,5.004358,5.004358,477.154144,1.0,0.0,1.003689,0.0,-99900.0,0.887172,0.254,0.254,5.004358,2.732539,2.389175,25.883936,122.319717,55.078594,90.25869,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,105.611404,1.0,36.0,7.0,0.204442,263.67041,15.953588,0.0,0.015856,4.662484,4.662484,0.001759
61.3699,20210530-053128,20210530,053128,90.872231,0.0,51.0,1.0,9.0,29.0,34.032757,1.762753,36.0,150.033188,4.301971,4.301971,435.69635,1.0,0.0,0.29096,0.0,-99900.0,0.653121,0.0,0.0,4.301971,2.556095,2.480171,25.890234,122.383385,62.360249,91.56356,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,109.654129,1.0,36.0,8.0,0.0,263.740784,16.441006,0.0,0.016343,3.563564,3.563564,0.001793
71.091034,20210530-053729,20210530,053729,87.946846,0.0,57.0,1.0,10.0,25.0,38.949936,1.754554,36.0,107.64415,4.533335,4.533335,319.419464,1.0,0.0,0.916968,0.0,-99900.0,5.23116,0.0,0.0,4.533335,2.774283,1.754554,25.863926,122.480156,70.260399,85.191299,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,113.086617,1.0,36.0,9.0,0.0,268.380463,18.197073,0.0,0.01819,3.47283,3.47283,0.000514
