3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-57.594578,20210530-083203,20210530,083203,6.177029,0.0,0.0,0.0,1.0,56.0,276.121765,0.727681,1.0,5.351288,1.110949,1.110949,22.044144,1.0,0.0,0.169899,0.0,-99900.0,0.0,0.0,0.0,1.110949,0.836083,1.110949,25.128553,121.200027,-57.880901,6.143941,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,57.924877,1.0,1.0,0.0,0.0,264.132965,-99900.0,0.0,-99900.0,0.595447,0.595447,-99900.0
-51.062687,20210530-084405,20210530,084405,3.867967,0.0,3.0,0.0,1.0,46.0,274.332031,0.621728,57.0,4.779978,0.957379,0.957379,14.077387,1.0,0.0,0.169361,0.0,-99900.0,0.0,0.0,0.0,0.957379,0.718415,0.957379,25.107786,121.264938,-51.373421,3.863983,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,51.208977,1.0,57.0,0.0,0.0,267.651581,-99900.0,0.0,-99900.0,0.76636,0.76636,-99900.0
-43.546333,20210530-085007,20210530,085007,4.003642,0.0,9.0,0.0,2.0,50.0,275.253174,0.537374,57.0,9.853207,2.346992,2.346992,32.646996,1.0,0.0,0.807047,0.0,-99900.0,2.354891,0.0,0.0,2.346992,1.286184,1.467366,25.109007,121.339577,-45.746056,3.901324,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,43.729996,1.0,57.0,1.0,0.0,268.965881,20.766819,0.0,0.020763,1.790571,1.790571,0.000375
-35.386436,20210530-085608,20210530,085608,6.53897,0.0,15.0,0.0,3.0,19.0,280.469635,0.975836,57.0,39.446732,4.192285,4.192285,117.362602,1.0,0.0,0.67617,0.0,-99900.0,2.490264,0.254,0.254,4.192285,2.949258,3.982256,25.131807,121.42057,-38.49548,4.211802,40.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,35.985523,1.05,57.0,2.0,0.096688,260.334259,21.994036,0.0,0.021682,2.111242,2.111242,0.003693
-31.773041,20210530-090209,20210530,090209,5.970475,0.0,21.0,0.0,4.0,16.0,280.642548,1.383806,57.0,36.363159,4.006063,4.006063,102.577606,1.0,0.0,0.933614,0.0,-99900.0,4.622948,0.254,0.254,4.006063,2.413087,4.015325,25.126696,121.456467,-31.135752,4.827391,41.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,32.329132,1.04878,57.0,3.0,0.193222,262.373016,18.439558,0.0,0.018276,3.191134,3.191134,0.002447
-35.160255,20210530-090809,20210530,090809,11.488231,0.0,15.0,0.0,3.0,9.0,288.094421,0.499899,23.0,90.834457,4.088536,4.088536,145.203079,1.0,0.0,0.832468,0.0,-99900.0,4.688033,0.508,0.508,4.088536,2.820892,3.961143,25.176317,121.422752,-41.85397,11.214158,43.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,36.989498,1.069767,23.0,2.0,0.638337,281.261871,33.227314,0.0,0.032588,4.312465,4.312465,-0.006489
-26.258801,20210530-091410,20210530,091410,9.848429,0.0,21.0,0.0,4.0,18.0,290.558838,3.933674,23.0,28.875521,3.830817,3.830817,37.993259,1.0,0.0,-0.056909,0.0,-99900.0,2.947637,0.254,0.254,3.830817,3.935819,3.933674,25.16157,121.511192,-26.118788,9.81406,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,28.044895,1.0,23.0,3.0,0.243085,280.174896,30.327412,0.0,0.02985,2.492992,2.492992,-0.005357
-26.546856,20210530-093212,20210530,093212,9.039937,0.0,3.0,0.0,1.0,17.0,288.805298,3.945764,32.0,34.218864,3.891506,3.891506,53.201099,1.0,0.0,-0.025899,0.0,-99900.0,0.0,0.254,0.254,3.891506,3.946276,3.945764,25.154299,121.508339,-26.503857,8.988006,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,28.043823,1.0,32.0,0.0,0.165195,271.595795,-99900.0,0.0,-99900.0,1.49114,1.49114,-99900.0
-21.266155,20210530-093814,20210530,093814,12.581425,0.0,9.0,0.0,2.0,37.0,300.609436,0.75556,32.0,40.849319,2.388134,2.388134,183.380539,1.0,0.0,0.245686,0.0,-99900.0,3.747335,0.0,0.0,2.388134,0.993391,0.75556,25.186148,121.56076,-19.23753,12.542683,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,24.709141,1.0,32.0,1.0,0.0,236.152328,17.564379,0.0,0.014588,0.719975,0.719975,0.009783
-17.855173,20210530-094415,20210530,094415,14.753776,0.0,15.0,0.0,3.0,5.0,309.567139,0.826665,32.0,73.402977,3.730507,3.730507,242.496368,1.0,0.0,0.976116,0.0,-99900.0,2.299869,0.508,0.508,3.730507,1.969413,3.847361,25.205685,121.594627,-20.44589,14.42942,38.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,23.162062,1.210526,32.0,2.0,0.467126,236.679123,14.388191,0.0,0.012023,3.056448,3.056448,0.007904
