3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
4.131467,20210530-080758,20210530,080758,-23.062582,0.0,3.0,0.0,1.0,10.0,169.843277,3.401776,16.0,36.390198,4.292232,4.292232,72.99498,1.0,0.0,0.455134,0.0,-99900.0,0.0,0.508,0.508,4.292232,3.51895,3.401776,24.865593,121.812988,4.508648,-23.746216,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,23.429718,1.0,16.0,0.0,0.397549,263.62973,-99900.0,0.0,-99900.0,2.317388,2.317388,-99900.0
5.057693,20210530-083203,20210530,083203,-24.93729,0.0,3.0,0.0,1.0,21.0,168.534592,0.27822,58.0,59.311977,4.24091,4.24091,160.350128,1.0,0.0,1.05448,0.0,-99900.0,0.0,0.0,0.0,4.24091,2.216435,1.421638,24.848734,121.822174,9.995573,-24.66835,41.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,25.445013,1.073171,58.0,0.0,0.03743,264.132965,-99900.0,0.0,-99900.0,3.53769,3.53769,-99900.0
9.065509,20210530-083804,20210530,083804,-24.979557,0.0,9.0,0.0,2.0,24.0,160.052917,1.140911,58.0,63.241051,4.509118,4.509118,160.026978,1.0,0.0,1.159461,0.0,-99900.0,1.317371,0.0,0.0,4.509118,2.18719,1.140911,24.848354,121.861931,7.207863,-25.171545,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,26.573704,1.0,58.0,1.0,0.011384,270.604218,11.102693,0.0,0.011102,2.546029,2.546029,-0.000117
12.861811,20210530-084405,20210530,084405,-24.672894,0.0,15.0,1.0,3.0,31.0,152.466919,0.282441,58.0,39.031113,4.019743,4.019743,114.293053,1.0,0.0,1.65943,0.0,-99900.0,0.40805,0.0,0.0,4.019743,1.541712,0.656273,24.851112,121.89959,8.912031,-25.447048,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,27.824051,1.0,58.0,2.0,0.0,268.059601,10.815268,0.0,0.010809,2.557497,2.557497,0.000366
19.006149,20210530-085007,20210530,085007,-23.662035,0.0,21.0,0.0,4.0,35.0,141.227051,0.500898,58.0,43.82663,3.726386,3.726386,181.525696,1.0,0.0,0.770917,0.0,-99900.0,2.398082,0.0,0.0,3.726386,1.600769,0.715936,24.860203,121.960548,16.330112,-23.392715,41.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,30.350052,1.02439,58.0,3.0,0.0,264.824982,12.685371,0.0,0.012634,1.793933,1.793933,0.001144
25.193651,20210530-085608,20210530,085608,-20.34968,0.0,27.0,0.0,5.0,33.0,128.928558,0.321827,58.0,12.070841,1.541496,1.541496,29.489643,1.0,0.0,0.504271,0.0,-99900.0,3.324491,0.0,0.0,1.541496,0.825559,0.321827,24.889992,122.021957,22.449072,-20.097902,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,32.385635,1.0,58.0,4.0,0.0,258.196503,14.198502,0.0,0.013898,1.240899,1.240899,0.002904
30.770636,20210530-090209,20210530,090209,-20.051355,0.0,33.0,0.0,6.0,45.0,123.089554,0.399795,58.0,5.241858,0.953851,0.953851,14.978113,1.0,0.0,0.28381,0.0,-99900.0,0.935954,0.0,0.0,0.953851,0.607293,0.399795,24.892675,122.077293,30.466913,-19.397621,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,36.727222,1.0,58.0,5.0,0.0,257.876373,14.811208,0.0,0.014481,0.766915,0.766915,0.003111
35.76466,20210530-090809,20210530,090809,-18.757935,0.0,39.0,0.0,7.0,39.0,117.675949,0.467246,58.0,8.04847,1.760629,1.760629,25.304134,1.0,0.0,0.651689,0.0,-99900.0,0.279517,0.0,0.0,1.760629,1.02933,1.760629,24.904306,122.126862,35.682705,-20.254362,38.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,40.385281,1.078947,58.0,6.0,0.0,255.982513,15.773685,0.0,0.015304,1.040744,1.040744,0.003821
38.749249,20210530-091410,20210530,091410,-16.016115,0.0,45.0,0.0,8.0,39.0,112.456367,0.471356,58.0,17.708588,1.074295,1.074295,53.31892,1.0,0.0,0.213097,0.0,-99900.0,2.882516,0.0,0.0,1.074295,0.633925,1.074295,24.928965,122.156509,38.178951,-15.808949,39.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,41.928753,1.051282,58.0,7.0,0.0,252.536316,15.377831,0.0,0.014669,0.838886,0.838886,0.004615
45.894314,20210530-092012,20210530,092012,-16.741137,0.0,51.0,0.0,9.0,38.0,110.040489,0.561131,58.0,32.383427,2.268259,2.268259,99.262085,1.0,0.0,0.572767,0.0,-99900.0,3.017576,0.0,0.0,2.268259,1.150127,1.258468,24.922445,122.227402,44.851295,-15.696843,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,48.852367,1.0,58.0,8.0,0.0,254.812012,14.775165,0.0,0.014259,1.723217,1.723217,0.003871
