3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-109.995995,20210530-065544,20210530,065544,-51.68417,0.0,0.0,0.0,4.0,47.0,244.832703,2.026533,89.0,20.448032,3.661218,3.661218,58.581123,1.0,0.0,0.702734,0.0,-99900.0,0.0,0.0,0.0,3.661218,2.320155,2.026533,24.608198,120.681931,-110.386505,-51.616009,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,121.533424,1.0,89.0,3.0,0.0,264.845001,-99900.0,0.0,-99900.0,2.281271,2.281271,-99900.0
-103.357368,20210530-070145,20210530,070145,-49.711243,0.0,0.0,0.0,1.0,48.0,244.314362,1.846876,89.0,44.429211,2.72647,2.72647,142.152161,1.0,0.0,0.385316,0.0,-99900.0,1.871439,0.0,0.0,2.72647,1.947892,2.72647,24.62594,120.747643,-103.122757,-49.500107,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,114.690689,1.0,89.0,0.0,0.0,253.448624,19.184435,0.0,0.01839,1.783858,1.783858,0.005465
-98.175735,20210530-070746,20210530,070746,-49.147655,0.0,3.0,0.0,1.0,36.0,243.407318,1.737859,89.0,77.060379,3.366902,3.366902,218.615021,1.0,0.0,0.333805,0.0,-99900.0,2.027076,0.0,0.0,3.366902,1.987877,1.737859,24.631008,120.798981,-98.210457,-48.877693,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,109.790558,1.0,89.0,0.0,0.0,257.88855,16.744234,0.0,0.016372,2.627601,2.627601,0.003513
-96.197899,20210530-071347,20210530,071347,-51.01321,0.0,3.0,0.0,1.0,9.0,242.063522,1.737186,72.0,39.930016,4.150096,4.150096,78.576828,1.0,0.0,1.168145,0.0,-99900.0,0.0,0.254,0.254,4.150096,2.522543,1.737186,24.614231,120.818649,-97.112106,-50.962124,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,108.887024,1.0,72.0,0.0,0.227706,263.406097,-99900.0,0.0,-99900.0,4.375876,4.375876,-99900.0
-90.983246,20210530-071948,20210530,071948,-50.584003,0.0,9.0,1.0,2.0,7.0,240.927521,1.62217,72.0,52.522724,5.025759,5.025759,84.967438,1.0,0.0,1.49497,0.0,-99900.0,0.347542,0.508,0.508,5.025759,2.539228,3.052217,24.618092,120.870308,-91.635635,-50.413559,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,104.099434,1.0,72.0,1.0,0.403242,265.294708,14.493853,0.0,0.014445,5.250202,5.250202,0.001189
-85.126556,20210530-072550,20210530,072550,-48.570354,0.0,15.0,0.0,3.0,10.0,240.292648,1.469734,72.0,89.21006,4.75312,4.75312,138.773773,1.0,0.0,1.276982,0.0,-99900.0,1.703103,0.254,0.254,4.75312,2.01369,2.197531,24.6362,120.928291,-85.0597,-47.877556,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,98.008217,1.0,72.0,2.0,0.189532,257.553955,15.681996,0.0,0.015313,5.470705,5.470705,0.00338
-89.093819,20210530-074352,20210530,074352,-47.180531,0.0,0.0,0.0,1.0,53.0,242.096359,2.245736,54.0,43.11771,2.922571,2.922571,145.495926,1.0,0.0,0.234151,0.0,-99900.0,0.0,0.0,0.0,2.922571,2.336524,2.922571,24.648699,120.888931,-89.150414,-47.29525,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,100.815231,1.0,54.0,0.0,0.0,268.69397,-99900.0,0.0,-99900.0,0.868602,0.868602,-99900.0
-84.099632,20210530-074954,20210530,074954,-45.817703,0.0,9.0,0.0,1.0,33.0,241.41861,3.604429,54.0,40.162724,4.568161,4.568161,120.694534,1.0,0.0,0.330018,0.0,-99900.0,1.244309,0.0,0.0,4.568161,3.644042,3.604429,24.660955,120.938385,-84.093353,-45.891895,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,95.770607,1.0,54.0,0.0,0.049268,254.736588,14.300554,0.0,0.013796,1.069192,1.069192,0.003765
-79.379189,20210530-075555,20210530,075555,-47.885757,0.0,9.0,0.0,1.0,9.0,238.899658,1.368585,54.0,109.714127,4.452548,4.452548,179.429733,1.0,0.0,1.04257,0.0,-99900.0,3.436965,0.254,0.254,4.452548,1.910569,2.01233,24.642357,120.985237,-79.419724,-48.021931,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,92.704376,1.0,54.0,0.0,0.096814,274.142731,13.471924,0.0,0.013437,4.565193,4.565193,-0.000973
-73.494278,20210530-080157,20210530,080157,-48.329739,0.0,27.0,1.0,1.0,12.0,236.671417,1.879188,54.0,114.954552,4.201405,4.201405,174.359558,1.0,0.0,0.804172,0.0,-99900.0,1.024921,0.254,0.254,4.201405,2.355884,2.510976,24.638363,121.043579,-73.483696,-48.0583,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,87.961197,1.0,54.0,0.0,0.199846,276.107697,14.329104,0.0,0.014248,3.271229,3.271229,-0.001525
