3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-100.91478,20210530-060736,20210530,060736,-47.16404,0.0,3.0,0.0,1.0,22.0,244.950531,3.332267,10.0,45.612831,4.30109,4.30109,152.147888,1.0,0.0,0.290574,0.0,-99900.0,0.0,0.0,0.0,4.30109,3.440219,3.332267,24.648848,120.771759,-100.963654,-47.077187,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,111.392273,1.0,10.0,0.0,0.0,263.424377,-99900.0,0.0,-99900.0,1.060268,1.060268,-99900.0
-96.119255,20210530-061337,20210530,061337,-46.921318,0.0,9.0,0.0,2.0,20.0,243.980621,1.680791,10.0,59.308361,2.401227,2.401227,97.949806,1.0,0.0,0.214159,0.0,-99900.0,0.653999,0.0,0.0,2.401227,1.861875,1.680791,24.651031,120.819283,-96.320412,-47.049782,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,106.960373,1.0,10.0,1.0,0.0,267.102509,13.301052,0.0,0.013284,2.666716,2.666716,0.000672
-96.456299,20210530-061938,20210530,061938,-43.544937,0.0,15.0,0.0,3.0,25.0,245.703613,1.686358,10.0,49.687019,3.97714,3.97714,97.221512,1.0,0.0,0.906693,0.0,-99900.0,6.013587,0.0,0.0,3.97714,2.654666,3.08173,24.681395,120.815826,-98.428314,-43.080482,41.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,105.829948,1.04878,10.0,2.0,0.078651,230.932526,7.953566,0.0,0.006175,3.767398,3.767398,0.005013
-93.995644,20210530-062539,20210530,062539,-43.362263,0.0,21.0,0.0,4.0,20.0,245.235352,1.616678,10.0,56.571636,3.70586,3.70586,124.237396,1.0,0.0,1.154928,0.0,-99900.0,1.643257,0.254,0.254,3.70586,2.305862,3.70586,24.683039,120.84021,-95.148422,-42.823883,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,103.515541,1.0,10.0,3.0,0.106635,234.100281,6.983095,0.0,0.005657,3.755747,3.755747,0.004095
-87.060272,20210530-063140,20210530,063140,-43.711449,0.0,27.0,0.0,5.0,11.0,243.339844,1.479748,10.0,67.513687,5.861153,5.861153,135.519257,1.0,0.0,2.108818,0.0,-99900.0,5.223405,0.254,0.254,5.861153,2.592548,3.661947,24.679897,120.908974,-87.906914,-43.488865,42.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,97.417564,1.047619,10.0,4.0,0.352189,250.670929,8.757531,0.0,0.008264,5.090019,5.090019,0.002899
-82.014061,20210530-063741,20210530,063741,-44.203125,0.0,33.0,0.0,6.0,8.0,241.676941,1.393248,10.0,86.198273,5.493464,5.493464,148.624847,1.0,0.0,1.59066,0.0,-99900.0,2.573225,0.508,0.508,5.493464,2.353671,3.434598,24.675476,120.959015,-82.85817,-44.375259,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,93.167709,1.0,10.0,5.0,0.485345,258.783905,10.016502,0.0,0.009825,5.677587,5.677587,0.001948
-76.621216,20210530-064343,20210530,064343,-43.889984,0.0,39.0,0.0,7.0,11.0,240.195435,1.293604,10.0,96.865074,4.068808,4.068808,145.320312,1.0,0.0,0.792197,0.0,-99900.0,1.877537,0.254,0.254,4.068808,1.974107,1.899392,24.678291,121.012459,-77.636589,-43.835274,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,88.301422,1.022727,10.0,6.0,0.306328,265.037506,11.733922,0.0,0.01169,5.053273,5.053273,0.001015
-70.449654,20210530-064944,20210530,064944,-43.739227,0.0,45.0,0.0,8.0,26.0,238.165894,1.188437,10.0,51.418636,4.809352,4.809352,112.178429,1.0,0.0,1.218305,0.0,-99900.0,1.963373,0.0,0.0,4.809352,2.136552,1.188437,24.679647,121.073639,-71.878304,-43.246777,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,82.923302,1.0,10.0,7.0,0.013612,270.931915,14.808962,0.0,0.014807,3.765488,3.765488,-0.000241
-64.970535,20210530-065544,20210530,065544,-42.918091,0.0,51.0,0.0,9.0,27.0,236.552429,1.088945,10.0,46.313473,3.556476,3.556476,82.687401,1.0,0.0,0.879766,0.0,-99900.0,0.919926,0.0,0.0,3.556476,1.690928,1.088945,24.687031,121.12793,-66.181046,-42.631371,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,77.866119,1.0,10.0,8.0,0.0,269.299988,15.852857,0.0,0.015852,3.5213,3.5213,0.000194
-59.368454,20210530-070145,20210530,070145,-42.76527,0.0,57.0,0.0,10.0,33.0,234.233704,0.996828,10.0,23.306541,2.618067,2.618067,48.875126,1.0,0.0,0.730334,0.0,-99900.0,0.146158,0.0,0.0,2.618067,1.490701,0.996828,24.688406,121.183464,-60.350937,-42.433384,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,73.167488,1.0,10.0,9.0,0.0,267.445496,15.508863,0.0,0.015493,2.408048,2.408048,0.000691
