3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-28.17135,20210530-080157,20210530,080157,12.463039,0.0,0.0,0.0,1.0,74.0,293.864807,1.357517,10.0,3.400271,2.17668,2.17668,26.688068,1.0,0.0,0.41333,0.0,-99900.0,0.0,0.0,0.0,2.17668,1.580943,1.728445,25.185083,121.492165,-28.337303,12.409383,33.0,0.0,34.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,30.805069,1.030303,10.0,0.0,0.0,266.297943,-99900.0,0.0,-99900.0,0.363954,0.363954,-99900.0
-23.441719,20210530-080758,20210530,080758,12.988603,1.0,0.0,0.0,1.0,60.0,298.990143,1.18299,10.0,8.239855,2.37769,2.37769,48.005478,1.0,0.0,0.481749,0.0,-99900.0,1.053183,0.0,0.0,2.37769,1.465554,1.493847,25.18981,121.539146,-23.746243,13.082246,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,26.799589,1.0,10.0,0.0,0.0,263.659241,13.181971,0.0,0.013101,0.723534,0.723534,0.001456
-17.308531,20210530-081400,20210530,081400,12.935377,0.0,0.0,0.0,1.0,56.0,306.7724,1.19641,10.0,5.875376,1.946053,1.946053,41.548603,1.0,0.0,0.352516,0.0,-99900.0,1.506714,0.0,0.0,1.946053,1.359881,1.946053,25.189331,121.600067,-17.410902,12.725639,35.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,21.608082,1.085714,10.0,0.0,0.0,267.51178,15.039639,0.0,0.015025,0.46871,0.46871,0.000653
-11.210578,20210530-082000,20210530,082000,14.239616,0.0,3.0,1.0,1.0,42.0,321.787415,1.006552,10.0,14.193716,3.73277,3.73277,69.738449,1.0,0.0,1.21988,0.0,-99900.0,1.271842,0.0,0.0,3.73277,1.997826,2.060816,25.201059,121.660637,-11.850757,13.832574,38.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,18.123016,1.052632,10.0,0.0,0.0,264.71524,15.856569,0.0,0.015789,1.898987,1.898987,0.00146
-6.239053,20210530-082602,20210530,082602,14.854714,0.0,9.0,0.0,1.0,18.0,337.217407,0.169112,10.0,21.875294,3.800509,3.800509,62.586475,1.0,0.0,1.64423,0.0,-99900.0,0.749153,0.0,0.0,3.800509,1.738048,0.691654,25.206593,121.710022,-10.183475,13.841773,41.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,16.111744,1.073171,10.0,0.0,0.002922,263.861237,15.619743,0.0,0.01553,3.302298,3.302298,0.00167
1.266388,20210530-083203,20210530,083203,17.558525,0.0,9.0,1.0,1.0,31.0,4.125237,1.279135,10.0,29.351971,3.916042,3.916042,110.274048,1.0,0.0,1.437125,0.0,-99900.0,2.831932,0.0,0.0,3.916042,1.883418,3.359994,25.230907,121.784584,1.598595,17.963696,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,17.604134,1.0,10.0,0.0,0.022711,261.020233,16.408434,0.0,0.016207,1.440755,1.440755,0.002561
5.271495,20210530-083804,20210530,083804,16.892036,1.0,3.0,0.0,1.0,18.0,17.331528,0.170783,10.0,51.156845,4.082317,4.082317,134.208023,1.0,0.0,1.763057,0.0,-99900.0,2.436841,0.254,0.254,4.082317,2.009544,0.573681,25.224915,121.824379,0.983912,17.308643,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,17.695467,1.023256,10.0,0.0,0.094424,260.549591,16.381004,0.0,0.016159,4.219591,4.219591,0.00269
10.144289,20210530-084405,20210530,084405,16.141392,0.0,3.0,0.0,1.0,14.0,32.147823,0.182329,10.0,54.042835,3.49585,3.49585,131.747559,1.0,0.0,0.891611,0.0,-99900.0,1.971418,0.254,0.254,3.49585,1.534172,3.822847,25.218163,121.87278,6.792375,17.081152,42.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,19.064394,1.071429,10.0,0.0,0.152731,262.174713,15.511998,0.0,0.015368,5.158422,5.158422,0.002112
14.303835,20210530-085007,20210530,085007,15.370514,0.0,15.0,0.0,1.0,19.0,42.941223,0.210962,10.0,53.533596,4.000392,4.000392,126.079651,1.0,0.0,0.662561,0.0,-99900.0,2.080229,0.0,0.0,4.000392,1.657874,1.442238,25.211231,121.914101,12.525677,16.75757,44.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,20.996485,1.045455,10.0,0.0,0.052043,267.197357,14.309375,0.0,0.014292,5.314955,5.314955,0.0007
18.514725,20210530-085608,20210530,085608,15.20261,0.0,9.0,0.0,1.0,17.0,50.610149,0.261688,10.0,76.827782,4.314582,4.314582,189.439301,1.0,0.0,1.325832,0.0,-99900.0,1.037632,0.254,0.254,4.314582,1.536015,0.444972,25.209721,121.955933,18.123592,17.579988,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,23.956511,1.0,10.0,0.0,0.117259,271.905029,13.275547,0.0,0.013268,4.549091,4.549091,-0.000441
19.905989,20210530-090209,20210530,090209,14.712226,1.0,21.0,0.0,1.0,21.0,53.53231,0.271958,10.0,42.860935,3.654226,3.654226,84.882896,1.0,0.0,1.67607,0.0,-99900.0,3.414647,0.254,0.254,3.654226,1.583794,1.373482,25.205311,121.969749,20.101398,16.649174,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,24.752737,1.022727,10.0,0.0,0.112013,278.329407,10.957847,0.0,0.010842,4.904214,4.904214,-0.001587
23.727119,20210530-090809,20210530,090809,12.865247,0.0,51.0,0.0,1.0,30.0,61.532551,0.269033,10.0,54.783566,3.633872,3.633872,154.08316,1.0,0.0,1.626879,0.0,-99900.0,1.278154,0.0,0.0,3.633872,1.673586,0.675913,25.1887,122.007698,21.307217,14.652569,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,26.990568,1.0,10.0,0.0,0.0,281.05954,10.141005,0.0,0.009953,3.079501,3.079501,-0.001945
26.218048,20210530-091410,20210530,091410,12.405996,0.0,3.0,0.0,1.0,34.0,64.677017,0.331398,10.0,26.297955,3.009679,3.009679,73.324257,1.0,0.0,1.452502,0.0,-99900.0,1.128464,0.0,0.0,3.009679,1.659639,0.331398,25.18457,122.032433,27.714548,13.632018,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,29.005083,1.0,10.0,0.0,0.0,283.628693,8.963229,0.0,0.008711,1.381683,1.381683,-0.002112
28.514954,20210530-092012,20210530,092012,11.782901,0.0,3.0,0.0,1.0,32.0,67.548538,1.505411,10.0,35.800438,4.023409,4.023409,115.311386,1.0,0.0,0.597196,0.0,-99900.0,0.868025,0.0,0.0,4.023409,2.396808,1.699466,25.178967,122.055244,30.378881,15.585682,40.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,30.853514,1.075,10.0,0.0,0.003984,286.040771,8.071629,0.0,0.007757,2.281914,2.281914,-0.00223
34.786755,20210530-092611,20210530,092611,12.436453,0.0,21.0,0.0,1.0,4.0,70.327591,2.162855,10.0,294.227264,4.405359,4.405359,865.602661,1.0,0.0,0.369722,0.0,-99900.0,3.778013,0.762,0.762,4.405359,2.460207,3.702524,25.184845,122.117554,36.367645,11.821662,43.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,36.942978,1.093023,10.0,0.0,0.887824,281.88559,8.876459,0.0,0.008686,3.875205,3.875205,-0.001828
31.035973,20210530-093212,20210530,093212,15.048002,0.0,3.0,0.0,1.0,33.0,64.13311,0.367823,40.0,12.415672,1.211131,1.211131,20.198166,1.0,0.0,0.43356,0.0,-99900.0,0.0,0.0,0.0,1.211131,0.66808,0.891538,25.20833,122.080322,29.376076,16.526718,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,34.49165,1.0,40.0,0.0,0.0,271.595795,-99900.0,0.0,-99900.0,1.290792,1.290792,-99900.0
27.161446,20210530-094415,20210530,094415,18.287025,0.0,3.0,0.0,1.0,29.0,56.048615,0.356537,4.0,48.480679,3.383598,3.383598,140.662704,1.0,0.0,1.292703,0.0,-99900.0,0.0,0.0,0.0,3.383598,1.984692,0.356537,25.237459,122.041862,26.595537,19.26606,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,32.743847,1.0,4.0,0.0,0.0,271.308228,-99900.0,0.0,-99900.0,2.263542,2.263542,-99900.0
33.068398,20210530-095015,20210530,095015,17.726143,0.0,9.0,0.0,2.0,14.0,61.806553,0.494944,4.0,102.197044,3.976574,3.976574,295.484863,1.0,0.0,0.927565,0.0,-99900.0,1.17638,0.254,0.254,3.976574,2.331431,3.892069,25.232416,122.100548,38.507523,19.100325,42.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,37.519794,1.047619,4.0,1.0,0.199715,275.424133,16.482096,0.0,0.016408,4.663734,4.663734,-0.001558
35.986336,20210530-095617,20210530,095617,17.784611,0.0,15.0,0.0,3.0,27.0,63.701057,0.417638,4.0,130.709351,3.764268,3.764268,415.891083,1.0,0.0,0.64208,0.0,-99900.0,3.085307,0.0,0.0,3.764268,1.591283,2.419122,25.232943,122.129539,33.313442,17.086763,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,40.141109,1.023256,4.0,2.0,0.070419,273.255737,12.238713,0.0,0.012219,3.809248,3.809248,-0.000695
