3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-64.901985,20210530-040113,20210530,040113,38.136055,0.0,3.0,0.0,1.0,20.0,300.438416,1.036916,1.0,79.6604,5.448873,5.448873,128.201874,1.0,0.0,1.963295,0.0,-99900.0,0.728586,0.0,0.0,5.448873,2.239658,1.557911,25.415968,121.126694,-65.784828,37.956795,46.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,75.276993,1.065217,1.0,0.0,0.054274,239.606354,14.164652,0.0,0.012218,6.145862,6.145862,0.007166
-59.871468,20210530-040714,20210530,040714,39.953796,0.0,21.0,0.0,1.0,8.0,303.716339,0.975753,1.0,73.648239,5.28968,5.28968,113.280167,1.0,0.0,1.890773,0.0,-99900.0,0.987958,0.508,0.508,5.28968,2.389787,2.597096,25.432314,121.176674,-61.246365,39.017879,45.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,71.978455,1.022222,1.0,0.0,0.692889,238.627731,14.390814,0.0,0.012287,6.462765,6.462765,0.007492
-54.802402,20210530-041315,20210530,041315,42.808918,2.0,17.0,1.0,1.0,6.0,307.9953,1.893136,1.0,51.110538,5.164053,5.164053,82.985947,1.0,0.0,1.751161,0.0,-99900.0,0.651138,0.762,0.762,5.164053,2.828383,4.09205,25.457991,121.22702,-55.130001,42.478729,42.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,69.540688,1.071429,1.0,0.0,0.876696,239.323822,14.675427,0.0,0.012622,3.78922,3.78922,0.007487
-50.139278,20210530-041916,20210530,041916,45.014618,2.0,5.0,0.0,1.0,5.0,311.917328,0.876997,1.0,43.100628,4.98461,4.98461,78.108932,1.0,0.0,2.231315,0.0,-99900.0,0.508487,0.762,0.762,4.98461,2.656677,3.946424,25.477827,121.273354,-46.858425,47.981491,37.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,67.381477,1.243243,1.0,0.0,1.256497,245.980515,14.693873,0.0,0.013421,5.635225,5.635225,0.005981
-46.768173,20210530-042516,20210530,042516,46.604095,0.0,9.0,0.0,1.0,17.0,314.899414,0.85488,1.0,49.650101,4.845413,4.845413,98.033905,1.0,0.0,1.906025,0.0,-99900.0,1.56564,0.254,0.254,4.845413,2.195185,1.765874,25.492121,121.306854,-47.312046,45.717449,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,66.024269,1.0,1.0,0.0,0.252252,245.184402,14.455053,0.0,0.01312,5.300431,5.300431,0.006067
-42.362526,20210530-043718,20210530,043718,53.840912,0.0,0.0,0.0,1.0,43.0,321.804077,0.91056,1.0,50.787678,4.605478,4.605478,168.707977,1.0,0.0,1.540143,0.0,-99900.0,5.816953,0.0,0.0,4.605478,3.291451,0.91056,25.557203,121.350555,-47.823647,49.709183,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,68.508591,1.0,1.0,0.0,0.0,236.141647,12.747153,0.0,0.010585,2.409615,2.409615,0.007102
-39.388119,20210530-044920,20210530,044920,59.068039,3.0,2.0,0.0,30.0,57.0,326.30368,0.957919,29.0,8.893618,1.934196,1.934196,36.836349,1.0,0.0,0.515738,0.0,-99900.0,7.777068,0.0,0.0,1.934196,1.42329,0.957919,25.604212,121.380074,-40.809483,58.871273,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,70.996178,1.0,29.0,29.0,0.0,244.282349,14.814438,0.0,0.013347,1.0856,1.0856,0.006429
-33.828281,20210530-045521,20210530,045521,60.67115,0.0,0.0,0.0,1.0,63.0,330.857422,0.923548,29.0,17.376343,1.366953,1.366953,72.734642,1.0,0.0,0.165567,0.0,-99900.0,1.031927,0.0,0.0,1.366953,0.985295,1.366953,25.618629,121.435371,-34.166718,60.764965,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,69.464676,1.0,29.0,0.0,0.0,248.855286,16.036964,0.0,0.014957,0.734673,0.734673,0.005785
-25.36595,20210530-050121,20210530,050121,63.467087,0.0,0.0,0.0,1.0,69.0,338.214905,1.858296,29.0,36.705883,2.373831,2.373831,171.173462,1.0,0.0,0.189728,0.0,-99900.0,3.159319,0.0,0.0,2.373831,1.894142,2.373831,25.643774,121.519562,-25.64356,63.514763,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,68.348389,1.0,29.0,0.0,0.0,253.268219,18.03846,0.0,0.017275,0.526722,0.526722,0.005193
-29.588902,20210530-050722,20210530,050722,70.065079,0.0,12.0,0.0,3.0,55.0,337.105438,1.562755,28.0,159.574188,2.134554,2.134554,707.240845,1.0,0.0,0.061514,0.0,-99900.0,1.403638,0.0,0.0,2.134554,1.685714,2.134554,25.70311,121.477455,-29.029285,69.999054,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,76.056679,1.0,28.0,2.0,0.0,294.939056,37.53513,0.0,0.034035,0.579417,0.579417,-0.015827
