3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-106.44075,20210530-084405,20210530,084405,-61.917301,0.0,0.0,0.0,1.0,60.0,239.813431,2.059835,72.0,24.627832,2.897169,2.897169,85.404991,1.0,0.0,0.270405,0.0,-99900.0,0.0,0.0,0.0,2.897169,2.142355,2.059835,24.516169,120.717552,-106.515984,-61.92902,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,123.139694,1.0,72.0,0.0,0.0,267.651581,-99900.0,0.0,-99900.0,1.565445,1.565445,-99900.0
-99.580132,20210530-085007,20210530,085007,-62.051723,0.0,3.0,0.0,1.0,41.0,238.071869,1.916444,72.0,40.468208,3.566951,3.566951,123.671951,1.0,0.0,0.495524,0.0,-99900.0,1.69485,0.0,0.0,3.566951,2.296592,1.916444,24.514959,120.785522,-99.410667,-62.294827,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,117.331238,1.0,72.0,0.0,0.0,271.122467,18.955648,0.0,0.018952,2.91956,2.91956,-0.000371
-94.085159,20210530-085608,20210530,085608,-61.657665,0.0,3.0,0.0,1.0,14.0,236.761902,1.817305,72.0,48.953812,4.298463,4.298463,76.675827,1.0,0.0,1.110224,0.0,-99900.0,1.446551,0.254,0.254,4.298463,2.486737,2.579499,24.518503,120.839943,-94.857506,-61.645126,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,112.488602,1.0,72.0,0.0,0.159764,268.797363,17.093966,0.0,0.01709,4.519426,4.519426,0.000359
-88.41935,20210530-090209,20210530,090209,-61.774174,0.0,21.0,0.0,1.0,11.0,235.060211,1.715488,72.0,110.938652,5.076448,5.076448,175.756393,1.0,0.0,0.993255,0.0,-99900.0,0.560621,0.508,0.508,5.076448,2.551685,1.715488,24.517456,120.89608,-89.610954,-61.569149,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,107.86116,1.0,72.0,0.0,0.638985,269.208221,16.48682,0.0,0.016485,6.236865,6.236865,0.000228
-83.628731,20210530-090809,20210530,090809,-62.04208,0.0,33.0,1.0,1.0,4.0,233.429489,1.642234,72.0,132.947632,6.256829,6.256829,205.850983,1.0,0.0,2.472499,0.0,-99900.0,1.196383,0.762,0.762,6.256829,2.814215,3.078333,24.515045,120.943542,-85.445488,-61.856735,46.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,104.129654,1.021739,72.0,0.0,1.421968,269.971252,15.730793,0.0,0.015731,8.334963,8.334963,8e-06
-77.748199,20210530-091410,20210530,091410,-61.434517,0.0,15.0,0.0,1.0,9.0,231.685471,2.94908,72.0,69.679199,5.938797,5.938797,110.170532,1.0,0.0,0.849784,0.0,-99900.0,0.637469,0.508,0.508,5.938797,3.713062,3.6678,24.52051,121.001778,-81.303291,-59.735733,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,99.090782,1.0,72.0,0.0,0.564962,269.323303,15.595592,0.0,0.015595,3.506452,3.506452,0.000184
-70.686661,20210530-092012,20210530,092012,-63.239586,0.0,51.0,1.0,1.0,4.0,228.183014,3.556451,72.0,115.711708,5.708538,5.708538,162.857986,1.0,0.0,0.679795,0.0,-99900.0,2.347215,0.762,0.762,5.708538,3.739406,3.556451,24.504276,121.071785,-70.523819,-63.208511,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,94.846451,1.0,72.0,0.0,1.300467,271.601288,15.703711,0.0,0.015698,2.993438,2.993438,-0.000439
-66.64325,20210530-092611,20210530,092611,-59.275536,0.0,9.0,0.0,1.0,12.0,228.348953,3.334653,72.0,307.003601,4.967011,4.967011,497.796722,1.0,0.0,0.258476,0.0,-99900.0,4.418373,0.508,0.508,4.967011,3.398199,3.334653,24.539925,121.11174,-66.781578,-59.720325,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,89.190315,1.0,72.0,0.0,0.414582,267.635681,15.561642,0.0,0.015548,2.682554,2.682554,0.000642
-64.366158,20210530-093212,20210530,093212,-63.300667,0.0,51.0,0.0,1.0,9.0,225.478485,3.37044,72.0,70.290916,4.270972,4.270972,71.047348,1.0,0.0,0.423731,0.0,-99900.0,5.408245,0.508,0.508,4.270972,3.520798,3.37044,24.503727,121.134392,-64.390877,-63.479317,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,90.277222,1.0,72.0,0.0,0.667989,270.370331,14.125098,0.0,0.014125,2.117543,2.117543,-9.1e-05
-58.967213,20210530-093814,20210530,093814,-60.562737,1.0,21.0,0.0,1.0,8.0,224.23555,3.104859,72.0,366.481323,4.174047,4.174047,546.453369,1.0,0.0,0.162923,0.0,-99900.0,2.785677,0.508,0.508,4.174047,3.202412,3.104859,24.528349,121.18782,-58.849499,-60.227604,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,84.527969,1.0,72.0,0.0,0.601111,268.033356,13.270493,0.0,0.013263,2.020625,2.020625,0.000455
