3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-54.154205,20210530-050121,20210530,050121,-0.87123,0.0,57.0,0.0,9.0,27.0,269.078522,2.466254,83.0,32.869495,3.051308,3.051308,83.977921,1.0,0.0,0.211527,0.0,-99900.0,4.553004,0.0,0.0,3.051308,2.540433,2.466254,25.065166,121.234329,-54.318016,-0.773943,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,54.161213,1.0,83.0,8.0,0.011538,270.177368,17.751343,0.0,0.017751,1.257027,1.257027,-5.5e-05
-46.091599,20210530-050722,20210530,050722,-0.169827,1.0,3.0,0.0,10.0,23.0,269.789093,1.609506,83.0,54.105507,3.164039,3.164039,72.773148,1.0,0.0,0.529067,0.0,-99900.0,1.804782,0.0,0.0,3.164039,1.860519,1.609506,25.071474,121.314369,-46.731102,0.161465,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,46.091911,1.0,83.0,9.0,0.041326,278.339813,19.383575,0.0,0.019179,2.959656,2.959656,-0.002811
-50.335854,20210530-051323,20210530,051323,2.521785,1.0,9.0,0.0,11.0,23.0,272.868286,2.28055,83.0,49.625641,2.7341,2.7341,84.859726,1.0,0.0,0.143028,0.0,-99900.0,11.766762,0.0,0.0,2.7341,2.296706,2.28055,25.09568,121.272179,-50.45554,2.309599,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,50.398983,1.0,83.0,10.0,0.0,274.081268,16.400696,0.0,0.016359,1.0902,1.0902,-0.001167
-53.510094,20210530-053729,20210530,053729,7.490615,0.0,3.0,0.0,1.0,23.0,277.968964,0.666541,59.0,10.366381,1.007463,1.007463,22.0462,1.0,0.0,0.135173,0.0,-99900.0,0.0,0.0,0.0,1.007463,0.737829,0.666541,25.140366,121.240562,-53.832104,7.783474,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,54.031837,1.0,59.0,0.0,0.0,262.186737,-99900.0,0.0,-99900.0,0.95427,0.95427,-99900.0
-46.419743,20210530-054331,20210530,054331,9.033153,0.0,9.0,1.0,2.0,35.0,281.012146,0.561925,59.0,12.708279,2.725116,2.725116,45.582458,1.0,0.0,1.023536,0.0,-99900.0,2.270538,0.0,0.0,2.725116,1.498725,0.561925,25.154238,121.310959,-47.060909,6.955117,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,47.290489,1.0,59.0,1.0,0.0,257.726288,20.04479,0.0,0.019587,1.643048,1.643048,0.004261
-41.359474,20210530-054933,20210530,054933,11.407648,0.0,15.0,1.0,3.0,16.0,285.419922,0.507523,59.0,30.652891,3.875763,3.875763,78.976929,1.0,0.0,1.325102,0.0,-99900.0,2.19395,0.0,0.0,3.875763,1.522649,1.440759,25.175592,121.361183,-42.570873,10.557059,41.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,42.903851,1.073171,59.0,2.0,0.014755,252.132065,17.633156,0.0,0.016783,3.55591,3.55591,0.00541
-36.133938,20210530-055534,20210530,055534,12.611302,0.0,21.0,0.0,4.0,10.0,289.239929,0.447667,59.0,15.075253,2.061739,2.061739,45.356842,1.0,0.0,0.610789,0.0,-99900.0,1.120523,0.0,0.0,2.061739,1.032221,0.447667,25.186417,121.413071,-37.656525,12.342801,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,38.271484,1.0,59.0,3.0,0.0,252.768829,16.554686,0.0,0.015812,1.795882,1.795882,0.004904
-29.058813,20210530-060135,20210530,060135,13.506909,0.0,27.0,0.0,5.0,7.0,294.929749,0.384389,59.0,25.601358,4.141737,4.141737,71.921257,1.0,0.0,1.611115,0.0,-99900.0,1.623002,0.0,0.0,4.141737,1.976933,1.437982,25.194471,121.483337,-32.07777,13.907165,41.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,32.044518,1.073171,59.0,4.0,0.020669,255.223343,16.932978,0.0,0.016373,4.188793,4.188793,0.004319
-22.711668,20210530-060736,20210530,060736,14.403639,0.0,33.0,0.0,6.0,6.0,302.382812,0.320376,59.0,37.522511,4.017615,4.017615,95.743622,1.0,0.0,1.876183,0.0,-99900.0,0.793253,0.254,0.254,4.017615,2.022245,0.936683,25.202536,121.546387,-26.29203,14.481174,42.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,26.893951,1.071429,59.0,5.0,0.128483,256.893494,17.15288,0.0,0.016706,4.540068,4.540068,0.00389
-16.593904,20210530-061337,20210530,061337,15.514241,0.0,39.0,1.0,7.0,15.0,313.074219,0.793607,59.0,50.653191,3.807083,3.807083,86.061455,1.0,0.0,1.280432,0.0,-99900.0,0.306138,0.0,0.0,3.807083,1.86562,2.593839,25.212523,121.607155,-18.066092,15.904293,44.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,22.716719,1.068182,59.0,6.0,0.089903,258.725342,17.113762,0.0,0.016783,5.376242,5.376242,0.003346
-11.157784,20210530-061938,20210530,061938,16.67112,0.0,45.0,0.0,8.0,6.0,326.206146,0.144765,59.0,55.618481,4.162456,4.162456,88.580933,1.0,0.0,1.953981,0.0,-99900.0,0.624805,0.254,0.254,4.162456,1.643064,3.003584,25.222927,121.661148,-9.235864,11.732886,43.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,20.060469,1.069767,59.0,7.0,0.313735,260.556519,17.328274,0.0,0.017093,5.626501,5.626501,0.002843
-6.522088,20210530-062539,20210530,062539,18.859741,0.0,51.0,0.0,9.0,9.0,340.923615,0.191289,59.0,55.426819,4.220197,4.220197,81.088707,1.0,0.0,1.907506,0.0,-99900.0,1.9254,0.508,0.508,4.220197,1.825113,2.224798,25.242609,121.707199,-8.818711,17.037725,46.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,19.955637,1.021739,59.0,8.0,0.451467,258.618683,16.782743,0.0,0.016453,6.959217,6.959217,0.003312
-1.079076,20210530-063140,20210530,063140,20.338137,0.0,57.0,0.0,10.0,16.0,356.962921,0.196383,59.0,46.509422,4.008989,4.008989,68.509583,1.0,0.0,2.046059,0.0,-99900.0,0.571328,0.254,0.254,4.008989,1.752702,1.867809,25.255905,121.761284,-4.400217,19.138443,46.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,20.366743,1.021739,59.0,9.0,0.243709,255.906631,15.822817,0.0,0.015347,6.070087,6.070087,0.003853
5.338329,20210530-063741,20210530,063741,20.7757,1.0,3.0,0.0,11.0,19.0,14.410407,0.202741,59.0,44.413231,3.746432,3.746432,87.510155,1.0,0.0,1.550701,0.0,-99900.0,1.295568,0.0,0.0,3.746432,1.714299,0.714971,25.25984,121.82505,1.568768,20.138954,46.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,21.450581,1.021739,59.0,10.0,0.033971,255.77713,15.629893,0.0,0.015151,4.581307,4.581307,0.00384
11.226709,20210530-064343,20210530,064343,20.81337,1.0,9.0,0.0,12.0,21.0,28.34231,0.233534,59.0,37.746033,3.397785,3.397785,97.899338,1.0,0.0,1.487972,0.0,-99900.0,1.411465,0.0,0.0,3.397785,1.506128,0.570387,25.26018,121.883553,6.911396,21.803715,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,23.648157,1.0,59.0,11.0,0.0,258.27179,15.678364,0.0,0.015351,3.38246,3.38246,0.003187
