3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-47.118202,20210530-070145,20210530,070145,-36.998291,0.0,3.0,0.0,1.0,36.0,231.860489,0.765628,16.0,17.052622,2.716012,2.716012,41.204613,1.0,0.0,1.024,0.0,-99900.0,0.0,0.0,0.0,2.716012,1.703118,2.716012,24.740269,121.304802,-48.331024,-36.418571,38.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,59.908253,1.105263,16.0,0.0,0.006829,263.546082,-99900.0,0.0,-99900.0,2.212633,2.212633,-99900.0
-45.288918,20210530-070746,20210530,070746,-35.518112,0.0,6.0,0.0,2.0,53.0,231.89476,1.122556,16.0,12.097054,1.497068,1.497068,39.978645,1.0,0.0,0.152894,0.0,-99900.0,3.63501,0.0,0.0,1.497068,1.185201,1.497068,24.75358,121.322922,-45.484379,-35.524628,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,57.555382,1.0,16.0,1.0,0.0,231.021698,6.518352,0.0,0.005067,0.49445,0.49445,0.0041
-45.708801,20210530-073151,20210530,073151,-33.291512,0.0,3.0,0.0,1.0,11.0,233.932983,1.993145,63.0,476.54425,4.957574,4.957574,833.571289,1.0,0.0,0.522277,0.0,-99900.0,0.0,0.254,0.254,4.957574,2.299745,2.55682,24.773605,121.318718,-46.027657,-33.271755,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,56.547493,1.0,63.0,0.0,0.174115,266.559937,-99900.0,0.0,-99900.0,3.545961,3.545961,-99900.0
-41.806664,20210530-073751,20210530,073751,-32.191345,0.0,9.0,0.0,2.0,3.0,232.403839,1.932656,63.0,151.136353,6.971591,6.971591,250.203552,1.0,0.0,1.590362,0.0,-99900.0,1.970282,0.762,0.762,6.971591,2.958721,3.865809,24.783499,121.357399,-44.517212,-32.688984,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,52.764381,1.0,63.0,1.0,1.429533,254.254761,11.261798,0.0,0.010839,6.176666,6.176666,0.003056
-36.837143,20210530-074352,20210530,074352,-31.667616,0.0,15.0,0.0,3.0,2.0,229.315796,1.731482,63.0,92.54628,6.401886,6.401886,147.886292,1.0,0.0,2.240719,0.0,-99900.0,1.205039,1.016,1.016,6.401886,3.029107,3.556454,24.788208,121.406677,-39.221436,-30.959843,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,48.577908,1.0,63.0,2.0,1.45743,259.629456,12.509687,0.0,0.012305,6.310517,6.310517,0.002252
-32.141312,20210530-074954,20210530,074954,-32.194885,0.0,21.0,0.0,4.0,4.0,224.952606,0.512607,63.0,166.771439,4.717614,4.717614,205.792892,1.0,0.0,1.828456,0.0,-99900.0,1.363975,0.762,0.762,4.717614,2.69674,2.575101,24.783466,121.453255,-29.085953,-33.297871,44.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,45.49258,1.113636,63.0,3.0,0.82653,265.232727,12.696041,0.0,0.012652,7.725919,7.725919,0.001055
-26.039627,20210530-075555,20210530,075555,-32.028275,0.0,27.0,1.0,5.0,13.0,219.112137,0.509505,63.0,71.387871,5.620837,5.620837,104.317154,1.0,0.0,2.67133,0.0,-99900.0,1.549163,0.0,0.0,5.620837,1.794974,1.82915,24.784964,121.513763,-28.930239,-33.148849,46.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,41.277992,1.021739,63.0,4.0,0.0,267.055908,13.589163,0.0,0.013571,4.406779,4.406779,0.000698
-25.016819,20210530-080157,20210530,080157,-30.447102,0.0,33.0,0.0,6.0,4.0,219.408524,2.373343,63.0,116.817307,4.367253,4.367253,128.56221,1.0,0.0,0.379001,0.0,-99900.0,4.110579,0.762,0.762,4.367253,2.984854,3.499414,24.799185,121.523888,-26.994137,-31.904533,46.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,39.406437,1.021739,63.0,5.0,0.891332,264.787323,12.345559,0.0,0.012295,4.997094,4.997094,0.001122
-20.078012,20210530-080758,20210530,080758,-29.182457,0.0,39.0,0.0,7.0,4.0,214.528946,0.456458,63.0,151.828598,4.843814,4.843814,171.747284,1.0,0.0,1.250415,0.0,-99900.0,0.994805,1.016,1.016,4.843814,2.106207,1.629328,24.810556,121.572861,-26.322117,-30.46307,47.0,0.0,50.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,35.422344,1.06383,63.0,6.0,1.681738,262.838562,11.966055,0.0,0.011873,10.271892,10.271892,0.001492
-15.55741,20210530-081400,20210530,081400,-29.596851,0.0,45.0,0.0,8.0,3.0,207.728745,0.262718,63.0,193.374908,6.60503,6.60503,234.967743,1.0,0.0,1.301263,0.0,-99900.0,0.980042,1.016,1.016,6.60503,2.406118,3.487879,24.806829,121.617699,-15.704978,-19.879972,41.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,33.436607,1.170732,63.0,7.0,2.000924,261.692017,11.469215,0.0,0.011349,9.663756,9.663756,0.001657
-10.466096,20210530-082000,20210530,082000,-29.774635,0.0,51.0,0.0,9.0,3.0,199.367477,0.365194,63.0,175.28746,5.621356,5.621356,257.618439,1.0,0.0,2.732548,0.0,-99900.0,1.269317,0.508,0.508,5.621356,2.141991,0.365194,24.805231,121.668198,-13.453769,-30.685211,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,31.560547,1.0,63.0,8.0,0.526244,261.875366,11.562531,0.0,0.011446,7.659184,7.659184,0.001634
-5.807346,20210530-082602,20210530,082602,-31.929373,0.0,57.0,1.0,10.0,10.0,190.308731,0.421237,63.0,146.469345,4.794019,4.794019,220.325302,1.0,0.0,1.06844,0.0,-99900.0,2.794174,0.254,0.254,4.794019,1.708136,0.421237,24.785852,121.714409,-8.423516,-36.751522,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,32.453197,1.0,63.0,9.0,0.219411,269.193817,11.809245,0.0,0.011808,6.132862,6.132862,0.000166
-4.381151,20210530-083203,20210530,083203,-37.884945,1.0,3.0,0.0,11.0,19.0,186.597,0.439464,63.0,90.403877,2.386473,2.386473,100.924301,1.0,0.0,0.578916,0.0,-99900.0,6.65077,0.0,0.0,2.386473,1.311406,0.985672,24.732292,121.728561,-7.982159,-38.209705,47.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,38.137428,1.021277,63.0,10.0,0.0,286.798706,12.483375,0.0,0.011951,3.773965,3.773965,-0.003608
