3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-81.944664,20210530-080758,20210530,080758,17.938766,0.0,27.0,1.0,5.0,17.0,282.348206,1.210675,71.0,61.904919,4.725756,4.725756,132.458435,1.0,0.0,0.755354,0.0,-99900.0,4.94683,0.254,0.254,4.725756,3.140958,4.012778,25.234329,120.957855,-82.906494,18.818258,41.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,83.885201,1.02439,71.0,4.0,0.147625,240.86824,9.297774,0.0,0.008122,4.323429,4.323429,0.004526
-75.59288,20210530-081400,20210530,081400,19.275826,0.0,33.0,0.0,6.0,10.0,284.305481,1.095026,71.0,50.899246,4.442524,4.442524,88.483246,1.0,0.0,1.190568,0.0,-99900.0,3.425045,0.254,0.254,4.442524,2.325421,1.644213,25.246353,121.02092,-76.671608,19.220644,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,78.011803,1.0,71.0,5.0,0.287936,235.982788,9.595943,0.0,0.007954,4.0941,4.0941,0.005368
-75.08094,20210530-082000,20210530,082000,22.12801,0.0,39.0,0.0,7.0,17.0,286.42157,1.118768,71.0,55.024094,2.570595,2.570595,87.152138,1.0,0.0,0.695654,0.0,-99900.0,2.524838,0.0,0.0,2.570595,1.453932,2.570595,25.272003,121.025932,-77.026253,22.658039,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,78.273857,1.023256,71.0,6.0,0.0,228.52919,9.814369,0.0,0.007354,3.257522,3.257522,0.006499
-70.592133,20210530-082602,20210530,082602,23.524708,0.0,45.0,0.0,8.0,11.0,288.430725,1.023099,71.0,74.208855,3.974052,3.974052,171.697708,1.0,0.0,1.187795,0.0,-99900.0,2.061806,0.254,0.254,3.974052,1.703578,3.208647,25.284565,121.070503,-71.491318,23.337692,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,74.408745,1.02381,71.0,7.0,0.20631,232.140091,11.049066,0.0,0.008723,4.328835,4.328835,0.006781
-65.599815,20210530-083203,20210530,083203,26.134176,0.0,51.0,1.0,9.0,6.0,291.721893,0.956574,71.0,78.771645,4.707772,4.707772,150.292328,1.0,0.0,1.664689,0.0,-99900.0,1.850236,0.508,0.508,4.707772,2.180671,4.131104,25.308031,121.120049,-66.97245,25.204039,42.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,70.61396,1.071429,71.0,8.0,0.718693,239.693542,13.590128,0.0,0.011733,5.667971,5.667971,0.006858
-59.744499,20210530-083804,20210530,083804,28.384233,0.0,57.0,0.0,10.0,5.0,295.412231,0.884715,71.0,90.330925,4.565621,4.565621,150.022736,1.0,0.0,1.297797,0.0,-99900.0,1.635386,0.762,0.762,4.565621,2.464773,3.841073,25.328266,121.178192,-61.312359,28.253098,44.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,66.14431,1.045455,71.0,9.0,0.854921,242.977905,12.91877,0.0,0.011508,6.392334,6.392334,0.005869
-53.631031,20210530-084405,20210530,084405,29.524492,1.0,3.0,1.0,11.0,6.0,298.833435,0.822367,71.0,71.964378,5.561463,5.561463,110.520073,1.0,0.0,2.460048,0.0,-99900.0,2.189758,0.508,0.508,5.561463,2.312822,2.787616,25.338522,121.23893,-56.923969,29.019648,45.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,61.220776,1.022222,71.0,10.0,0.796856,245.698059,13.962249,0.0,0.012725,6.716903,6.716903,0.005746
-48.891373,20210530-085007,20210530,085007,30.65036,1.0,9.0,0.0,12.0,20.0,302.084045,0.731303,71.0,54.287582,2.56962,2.56962,68.915482,1.0,0.0,0.653126,0.0,-99900.0,0.963471,0.0,0.0,2.56962,1.415181,2.001552,25.348646,121.286018,-49.988956,30.248692,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,57.704514,1.0,71.0,11.0,0.0,251.483322,15.652799,0.0,0.014842,3.985318,3.985318,0.004971
-42.416157,20210530-085608,20210530,085608,31.915586,1.0,15.0,0.0,13.0,13.0,306.959381,0.672802,71.0,49.290806,3.891631,3.891631,118.372406,1.0,0.0,0.804149,0.0,-99900.0,1.236144,0.254,0.254,3.891631,2.268266,3.891631,25.360025,121.350365,-44.789188,31.553938,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,53.082344,1.0,71.0,12.0,0.282733,253.968521,16.22193,0.0,0.015591,4.136969,4.136969,0.00448
-37.478611,20210530-090209,20210530,090209,32.565636,1.0,21.0,0.0,14.0,37.0,310.987915,0.601909,71.0,16.113276,1.272485,1.272485,34.200089,1.0,0.0,0.273004,0.0,-99900.0,1.188585,0.0,0.0,1.272485,0.918051,0.933597,25.365871,121.399437,-38.414528,32.355976,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,49.650448,1.0,71.0,13.0,0.0,257.464081,15.987703,0.0,0.015607,1.262306,1.262306,0.00347
