3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-114.927917,20210530-040113,20210530,040113,77.192207,0.0,15.0,0.0,3.0,11.0,303.887726,2.46411,68.0,111.702751,5.545754,5.545754,198.785889,1.0,0.0,0.907632,0.0,-99900.0,0.925983,0.254,0.254,5.545754,3.127054,3.41312,25.767208,120.62764,-115.5923,77.059799,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,138.44516,1.023256,68.0,2.0,0.340684,240.725479,12.307252,0.0,0.010735,5.327655,5.327655,0.006018
-111.369568,20210530-040714,20210530,040714,83.264191,0.0,21.0,1.0,4.0,14.0,306.783325,2.476151,68.0,212.965042,4.315267,4.315267,371.317719,1.0,0.0,0.585331,0.0,-99900.0,3.912297,0.254,0.254,4.315267,2.793654,4.315267,25.821815,120.662819,-111.48716,83.639412,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,139.054321,1.0,68.0,3.0,0.262625,228.844467,13.872142,0.0,0.010445,4.325838,4.325838,0.009129
-108.172829,20210530-041315,20210530,041315,81.25412,0.0,27.0,0.0,5.0,36.0,306.912201,4.256613,68.0,186.601929,5.43596,5.43596,651.581482,1.0,0.0,0.198497,0.0,-99900.0,5.336692,0.0,0.0,5.43596,4.360546,4.256613,25.803738,120.69474,-108.181015,81.245789,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,135.290771,1.0,68.0,4.0,0.0,235.906494,12.158612,0.0,0.010069,1.153316,1.153316,0.006815
-106.418282,20210530-041916,20210530,041916,84.336647,0.0,33.0,0.0,6.0,15.0,308.397003,2.389432,68.0,174.523544,4.249834,4.249834,295.393646,1.0,0.0,0.384454,0.0,-99900.0,1.980556,0.254,0.254,4.249834,2.770639,2.389432,25.831459,120.71209,-106.803726,84.377739,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,135.784821,1.0,68.0,5.0,0.314655,235.227722,11.221629,0.0,0.009218,5.067122,5.067122,0.0064
-101.405571,20210530-042516,20210530,042516,85.958443,0.0,39.0,0.0,7.0,9.0,310.287048,2.316939,68.0,249.281509,5.191381,5.191381,414.618622,1.0,0.0,0.842554,0.0,-99900.0,1.826497,0.762,0.762,5.191381,2.823176,4.080322,25.846045,120.761955,-101.583046,86.383217,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,132.935867,1.022727,68.0,6.0,1.086539,238.050201,10.750992,0.0,0.009122,6.442281,6.442281,0.005689
-96.030281,20210530-043718,20210530,043718,83.870605,0.0,51.0,0.0,8.0,14.0,311.133301,2.175903,68.0,288.585663,4.979933,4.979933,476.735657,1.0,0.0,0.489854,0.0,-99900.0,6.312674,0.254,0.254,4.979933,2.715965,3.064322,25.827269,120.815575,-96.428604,83.94944,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,127.499382,1.0,68.0,7.0,0.3192,252.249374,9.157372,0.0,0.008721,6.066957,6.066957,0.002792
-91.723999,20210530-044319,20210530,044319,83.20829,0.0,57.0,0.0,9.0,5.0,312.213135,2.068941,68.0,300.980164,4.889556,4.889556,461.008179,1.0,0.0,0.623139,0.0,-99900.0,2.032265,0.762,0.762,4.889556,2.535614,3.776173,25.821312,120.858482,-91.838333,82.688782,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,123.842285,1.022727,68.0,8.0,1.039593,267.125702,9.009941,0.0,0.008999,6.20218,6.20218,0.000452
-88.451508,20210530-044920,20210530,044920,85.688904,1.0,3.0,0.0,10.0,15.0,314.091217,2.061353,68.0,243.516647,4.784595,4.784595,428.126221,1.0,0.0,0.54141,0.0,-99900.0,2.317637,0.254,0.254,4.784595,2.770537,2.061353,25.84362,120.890991,-88.733078,85.571266,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,123.15136,1.0,68.0,9.0,0.315933,264.55249,9.339087,0.0,0.009297,5.80177,5.80177,0.000887
-84.687469,20210530-045521,20210530,045521,87.361916,1.0,9.0,0.0,11.0,13.0,315.890686,2.020878,68.0,168.987411,4.765318,4.765318,293.385406,1.0,0.0,0.630633,0.0,-99900.0,1.413089,0.254,0.254,4.765318,2.493483,2.874913,25.858665,120.928429,-84.841995,87.149681,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,121.671989,1.0,68.0,10.0,0.296444,265.945526,9.748123,0.0,0.009724,5.423859,5.423859,0.000689
-80.368187,20210530-050121,20210530,050121,88.633614,1.0,15.0,0.0,12.0,10.0,317.800049,1.973742,68.0,88.490692,4.667247,4.667247,151.078354,1.0,0.0,0.802454,0.0,-99900.0,1.310741,0.508,0.508,4.667247,2.658804,1.973742,25.870102,120.97142,-80.943382,88.174889,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,119.645157,1.0,68.0,11.0,0.488452,261.020233,9.883201,0.0,0.009762,5.430079,5.430079,0.001543
