3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-106.806404,20210530-044920,20210530,044920,-65.808319,0.0,0.0,0.0,2.0,50.0,238.36116,2.992688,92.0,28.371101,4.957989,4.957989,78.824417,1.0,0.0,0.960877,0.0,-99900.0,0.0,0.0,0.0,4.957989,3.331537,2.992688,24.481176,120.714081,-107.01123,-65.55751,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,125.452553,1.0,92.0,1.0,0.0,256.4758,-99900.0,0.0,-99900.0,1.376473,1.376473,-99900.0
-101.880989,20210530-045521,20210530,045521,-65.938629,0.0,3.0,0.0,1.0,35.0,237.088837,2.030383,92.0,23.89916,2.781255,2.781255,48.766308,1.0,0.0,0.413341,0.0,-99900.0,1.367534,0.0,0.0,2.781255,2.180817,2.781255,24.480003,120.762871,-102.896278,-65.574394,41.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,121.357483,1.02439,92.0,0.0,0.013357,271.515503,13.64863,0.0,0.013644,2.577769,2.577769,-0.000361
-94.931343,20210530-050121,20210530,050121,-66.134857,0.0,9.0,0.0,2.0,7.0,235.136902,1.898954,92.0,120.998093,5.658058,5.658058,260.724731,1.0,0.0,0.701755,0.0,-99900.0,2.038934,0.508,0.508,5.658058,2.867615,3.462943,24.478239,120.831711,-96.615814,-65.248177,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,115.69693,1.0,92.0,1.0,0.733931,271.575073,16.475183,0.0,0.016469,6.352896,6.352896,-0.000453
-90.909645,20210530-050722,20210530,050722,-64.818527,0.0,15.0,0.0,3.0,7.0,234.511444,1.795886,92.0,204.727051,5.385796,5.385796,299.710907,1.0,0.0,0.875559,0.0,-99900.0,2.426949,0.762,0.762,5.385796,2.520532,2.573874,24.490078,120.871506,-91.916885,-64.362839,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,111.651268,1.022727,92.0,2.0,0.819616,267.093475,15.171241,0.0,0.015152,6.120728,6.120728,0.000769
-86.598557,20210530-051323,20210530,051323,-62.8255,0.0,21.0,0.0,4.0,2.0,234.040176,1.691503,92.0,185.778748,6.431375,6.431375,251.646561,1.0,0.0,1.454316,0.0,-99900.0,2.06999,1.016,1.016,6.431375,2.638689,3.136415,24.508001,120.914146,-88.15287,-61.821808,45.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,106.987633,1.022222,92.0,3.0,1.483423,262.146881,14.380712,0.0,0.014246,7.453348,7.453348,0.001965
-82.700249,20210530-051924,20210530,051924,-59.290771,0.0,27.0,0.0,5.0,2.0,234.362213,1.56966,92.0,186.201492,6.148204,6.148204,310.848297,1.0,0.0,2.150397,0.0,-99900.0,3.087316,1.27,1.27,6.148204,2.589057,3.900612,24.539789,120.95266,-84.074486,-58.13438,44.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,20.0,20.0,0.0,0.0,101.758179,1.068182,92.0,4.0,2.4096,255.757156,13.922259,0.0,0.013494,7.351691,7.351691,0.003425
-79.877647,20210530-052526,20210530,052526,-55.187672,0.0,33.0,0.0,6.0,20.0,235.359589,1.46414,92.0,112.091736,2.792093,2.792093,143.612854,1.0,0.0,0.348338,0.0,-99900.0,3.528565,0.0,0.0,2.792093,1.869088,2.132435,24.576689,120.980507,-80.184616,-55.197891,44.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,97.088196,1.045455,92.0,5.0,0.033688,243.193481,13.390372,0.0,0.011951,3.8706,3.8706,0.006039
-74.36602,20210530-053128,20210530,053128,-54.85463,0.0,39.0,0.0,7.0,7.0,233.5867,1.370027,92.0,179.871658,5.537945,5.537945,236.681519,1.0,0.0,1.16776,0.0,-99900.0,2.199631,0.508,0.508,5.537945,2.690311,2.631375,24.579683,121.03511,-76.087601,-53.265041,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,92.408531,1.0,92.0,6.0,0.688313,237.572006,13.097126,0.0,0.011055,6.458034,6.458034,0.007023
-70.372948,20210530-053729,20210530,053729,-52.735966,0.0,45.0,1.0,8.0,4.0,233.153198,1.280884,92.0,127.994743,6.696701,6.696701,166.36676,1.0,0.0,2.922847,0.0,-99900.0,0.416716,0.762,0.762,6.696701,2.749451,1.893662,24.598738,121.074623,-71.867104,-51.696087,46.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,87.939941,1.021739,92.0,7.0,1.245753,238.125641,13.235479,0.0,0.01124,7.910287,7.910287,0.006989
-69.433754,20210530-054331,20210530,054331,-48.675301,0.0,51.0,0.0,9.0,22.0,234.968597,1.213075,92.0,50.501369,2.357122,2.357122,75.180832,1.0,0.0,0.447396,0.0,-99900.0,3.483816,0.0,0.0,2.357122,1.46499,1.783026,24.635256,121.083832,-70.048111,-48.389515,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,84.795822,1.023256,92.0,8.0,0.0,234.731415,12.417081,0.0,0.010138,2.798998,2.798998,0.00717
