3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-0.593697,20210530-081400,20210530,081400,-3.263573,0.0,3.0,1.0,1.0,33.0,190.310684,0.806699,85.0,3.30187,1.076036,1.076036,13.181843,1.0,0.0,0.140233,0.0,-99900.0,0.0,0.0,0.0,1.076036,0.849192,0.806699,25.04365,121.766106,-0.730614,-3.25046,42.0,0.0,42.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,3.317135,1.0,85.0,0.0,0.0,263.194244,-99900.0,0.0,-99900.0,0.329529,0.329529,-99900.0
3.193471,20210530-082000,20210530,082000,-1.607345,0.0,9.0,0.0,2.0,24.0,116.716866,0.226319,85.0,9.024544,1.462626,1.462626,29.928478,1.0,0.0,0.484299,0.0,-99900.0,2.204895,0.0,0.0,1.462626,0.839436,0.801923,25.058544,121.803711,1.747921,-3.779595,40.0,0.0,43.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,3.575166,1.075,85.0,1.0,0.0,246.378983,11.481977,0.0,0.01052,0.995227,0.995227,0.004601
5.625184,20210530-082602,20210530,082602,0.657693,0.0,15.0,1.0,3.0,16.0,83.3311,0.034461,85.0,21.779669,2.165316,-2.165316,70.849167,-1.0,0.0,0.848579,0.0,-99900.0,1.501438,0.0,-0.0,2.165316,1.122615,1.078025,25.078915,121.827858,3.027367,-2.361311,40.0,0.0,45.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,1.0,-1.0,0.0,-0.0,5.663502,1.125,85.0,2.0,0.0,237.757919,10.181629,0.0,0.008612,1.960897,-1.960897,0.005432
11.017389,20210530-083203,20210530,083203,1.098637,0.0,21.0,0.0,4.0,20.0,84.305183,0.086101,85.0,45.129211,3.252724,3.252724,120.121773,1.0,0.0,0.712546,0.0,-99900.0,2.743032,0.0,0.0,3.252724,1.309352,0.748532,25.08288,121.881401,8.71539,-3.047709,41.0,0.0,46.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,11.072031,1.121951,85.0,3.0,0.0,247.609131,11.160895,0.0,0.010319,3.356878,3.356878,0.004251
17.055429,20210530-083804,20210530,083804,0.483732,0.0,27.0,0.0,5.0,22.0,88.375191,0.129739,85.0,68.412735,3.65761,3.65761,181.220169,1.0,0.0,0.855355,0.0,-99900.0,3.157498,0.0,0.0,3.65761,1.390262,1.65025,25.077351,121.941345,13.479034,-0.920868,43.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,17.062288,1.046512,85.0,4.0,0.016373,256.690826,12.271273,0.0,0.011942,3.683303,3.683303,0.002825
22.833755,20210530-084405,20210530,084405,0.795567,0.0,33.0,0.0,6.0,18.0,88.004318,0.176335,85.0,56.383755,3.988731,3.988731,145.164154,1.0,0.0,1.608639,0.0,-99900.0,1.629231,0.0,0.0,3.988731,1.793402,0.176335,25.080156,121.998726,17.698425,2.250603,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,22.84761,1.0,85.0,5.0,0.030466,260.653717,13.160404,0.0,0.012986,3.631463,3.631463,0.002137
28.263523,20210530-085007,20210530,085007,0.479002,0.0,39.0,1.0,7.0,21.0,89.028854,0.245895,85.0,40.44062,4.160662,4.160662,95.743538,1.0,0.0,1.455582,0.0,-99900.0,1.311493,0.0,0.0,4.160662,1.852747,0.943778,25.077309,122.052635,23.899548,1.07639,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,28.267582,1.0,85.0,6.0,0.06639,266.799316,14.495375,0.0,0.014473,3.731151,3.731151,0.000809
34.371826,20210530-085608,20210530,085608,-0.042655,0.0,45.0,1.0,8.0,23.0,90.070892,0.325738,85.0,44.049286,4.023184,4.023184,101.673683,1.0,0.0,1.437415,0.0,-99900.0,1.201301,0.0,0.0,4.023184,1.823196,0.325738,25.072617,122.113274,30.438986,-0.27366,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,34.371853,1.0,85.0,7.0,0.052852,271.437317,15.922887,0.0,0.015918,3.745504,3.745504,-0.000399
40.304779,20210530-090209,20210530,090209,-0.388476,0.0,51.0,0.0,9.0,33.0,90.55201,0.426525,85.0,35.067245,3.804129,3.804129,107.33783,1.0,0.0,1.893074,0.0,-99900.0,0.274732,0.0,0.0,3.804129,2.064469,0.426525,25.069508,122.17218,38.087784,-0.57132,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,40.306652,1.0,85.0,8.0,0.0,272.621307,16.136387,0.0,0.01612,3.006863,3.006863,-0.000738
44.409252,20210530-090809,20210530,090809,-0.668941,0.0,57.0,0.0,10.0,38.0,90.862778,0.48582,85.0,33.686749,2.755297,2.755297,102.430984,1.0,0.0,0.566976,0.0,-99900.0,1.698612,0.0,0.0,2.755297,1.143494,0.805509,25.066986,122.212921,42.337654,-0.764752,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,44.414291,1.0,85.0,9.0,0.0,272.883362,15.472644,0.0,0.015453,1.859844,1.859844,-0.000778
