3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-14.017808,20210530-072550,20210530,072550,-19.6926,0.0,0.0,0.0,2.0,57.0,215.444794,1.066122,53.0,2.122093,1.273423,1.273423,16.783075,1.0,0.0,0.095905,0.0,-99900.0,0.0,0.0,0.0,1.273423,1.106542,1.273423,24.895901,121.632919,-14.771999,-19.579998,34.0,0.0,36.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,24.172245,1.058824,53.0,1.0,0.0,266.086914,-99900.0,0.0,-99900.0,0.210032,0.210032,-99900.0
-6.089138,20210530-073151,20210530,073151,-18.094152,0.0,0.0,0.0,1.0,54.0,198.599762,1.151593,53.0,8.738568,1.744467,1.744467,56.799541,1.0,0.0,0.171946,0.0,-99900.0,2.696856,0.0,0.0,1.744467,1.281739,1.032201,24.910276,121.711586,-7.105129,-19.524439,36.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,19.091253,1.055556,53.0,0.0,0.0,258.601746,22.404936,0.0,0.021963,0.385541,0.385541,0.004428
1.729179,20210530-073751,20210530,073751,-14.554276,0.0,3.0,0.0,1.0,41.0,173.224091,0.350852,53.0,13.135624,2.171618,2.171618,63.216549,1.0,0.0,0.921325,0.0,-99900.0,1.947864,0.0,0.0,2.171618,1.14896,0.549478,24.94211,121.789162,3.006229,-10.501645,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,14.656637,1.0,53.0,0.0,0.0,251.931229,22.973421,0.0,0.02184,0.661415,0.661415,0.007125
4.45604,20210530-074352,20210530,074352,-20.049372,0.0,0.0,0.0,1.0,46.0,167.469101,0.62971,53.0,14.117506,3.097504,3.097504,63.292137,1.0,0.0,1.12379,0.0,-99900.0,9.57511,0.0,0.0,3.097504,1.594556,1.115949,24.892693,121.816216,2.459816,-19.122519,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,20.538588,1.0,53.0,0.0,0.0,267.769073,17.549917,0.0,0.017537,1.498056,1.498056,0.000683
9.290606,20210530-074954,20210530,074954,-21.464916,0.0,3.0,0.0,1.0,39.0,156.595337,0.541283,53.0,24.00997,3.489452,3.489452,97.797279,1.0,0.0,1.561065,0.0,-99900.0,2.248628,0.0,0.0,3.489452,2.010788,2.246596,24.879961,121.864174,6.68118,-21.402674,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,23.389271,1.025,53.0,0.0,0.0,275.506012,15.910355,0.0,0.015837,2.17126,2.17126,-0.001527
13.845508,20210530-075555,20210530,075555,-22.404669,0.0,21.0,0.0,1.0,21.0,148.284653,0.406256,53.0,31.450153,3.941613,3.941613,129.665375,1.0,0.0,1.384317,0.0,-99900.0,1.225497,0.0,0.0,3.941613,2.032903,3.941613,24.871511,121.909363,10.800076,-20.950188,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,26.337563,1.025,53.0,0.0,0.070228,278.818176,15.070525,0.0,0.014892,2.675367,2.675367,-0.00231
19.02359,20210530-080157,20210530,080157,-23.890896,0.0,3.0,1.0,1.0,16.0,141.470428,0.722674,53.0,39.409138,4.674144,4.674144,110.588242,1.0,0.0,1.75165,0.0,-99900.0,0.683902,0.254,0.254,4.674144,2.158003,3.702421,24.858145,121.960724,18.404673,-22.907463,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,30.539677,1.0,53.0,0.0,0.137665,287.933838,13.860626,0.0,0.013187,3.139201,3.139201,-0.004268
23.343424,20210530-080758,20210530,080758,-24.416483,0.0,3.0,1.0,1.0,23.0,136.286774,0.315609,53.0,57.906296,4.088174,4.088174,170.507538,1.0,0.0,0.898258,0.0,-99900.0,1.106688,0.0,0.0,4.088174,1.874255,0.547823,24.853418,122.003571,18.339128,-23.282524,42.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,33.779877,1.047619,53.0,0.0,0.027727,291.561066,13.286964,0.0,0.012357,3.613791,3.613791,-0.004883
29.385334,20210530-081400,20210530,081400,-25.223164,0.0,21.0,0.0,1.0,22.0,130.641129,0.386828,53.0,42.942024,3.725325,3.725325,125.99762,1.0,0.0,1.822505,0.0,-99900.0,1.839523,0.0,0.0,3.725325,2.107679,0.953484,24.846165,122.063499,25.149899,-24.551167,45.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,38.726036,1.022222,53.0,0.0,0.054115,281.88974,13.889308,0.0,0.013591,3.719177,3.719177,-0.002862
32.820549,20210530-082000,20210530,082000,-25.367615,0.0,39.0,0.0,1.0,21.0,127.700813,0.444732,53.0,25.892542,3.391135,3.391135,93.613411,1.0,0.0,0.801579,0.0,-99900.0,1.705662,0.0,0.0,3.391135,1.13867,0.740693,24.844866,122.097572,30.688314,-24.73531,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,41.481373,1.02381,53.0,0.0,0.0,279.594238,13.520975,0.0,0.013332,1.780962,1.780962,-0.002254
