3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
9.981271,20210530-061938,20210530,061938,-8.335007,0.0,3.0,0.0,1.0,18.0,129.86377,0.110046,47.0,176.412933,2.451051,2.451051,104.909431,1.0,0.0,1.285439,0.0,-99900.0,0.0,0.0,0.0,2.451051,0.885148,0.301096,24.998041,121.871078,11.200786,-3.050741,54.0,0.0,54.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,13.003773,1.0,47.0,0.0,0.0,263.092773,-99900.0,0.0,-99900.0,7.258807,7.258807,-99900.0
13.246321,20210530-062539,20210530,062539,-8.623617,0.0,9.0,0.0,2.0,11.0,123.064636,0.150201,47.0,158.230316,3.22556,-3.22556,123.405113,-1.0,0.0,0.671454,0.0,-99900.0,1.754526,0.254,-0.254,3.22556,1.189244,0.383639,24.995447,121.903481,12.627637,-8.884736,51.0,0.0,52.0,0.0,0.0,-99900.0,-99900.0,-99900.0,1.0,-1.0,0.0,-0.0,15.806068,1.019608,47.0,1.0,0.12424,275.051453,9.079758,0.0,0.009044,9.072173,-9.072173,-0.000799
16.320341,20210530-063140,20210530,063140,-10.265466,0.0,15.0,0.0,3.0,3.0,122.169533,0.174422,47.0,306.022522,5.444158,5.444158,382.271637,1.0,0.0,0.678251,0.0,-99900.0,1.366656,0.762,0.762,5.444158,1.607536,1.82657,24.98068,121.933983,14.210344,-10.497932,48.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,19.280388,1.020833,47.0,2.0,0.944353,286.937256,9.177987,0.0,0.00878,9.090809,9.090809,-0.002674
21.439833,20210530-063741,20210530,063741,-8.550932,0.0,21.0,0.0,4.0,3.0,111.743523,0.402905,47.0,153.828842,5.931269,5.931269,238.953323,1.0,0.0,1.593322,0.0,-99900.0,3.31413,1.016,1.016,5.931269,2.075535,1.915998,24.996101,121.98481,16.09749,-5.271962,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,23.082132,1.0,47.0,3.0,1.461927,273.498627,10.393253,0.0,0.010374,7.555171,7.555171,-0.000634
28.962761,20210530-064343,20210530,064343,-7.622635,0.0,27.0,0.0,5.0,4.0,104.744896,0.214094,47.0,170.571213,5.263039,5.263039,234.12677,1.0,0.0,0.98765,0.0,-99900.0,3.941496,0.508,0.508,5.263039,2.082154,2.448873,25.00445,122.059486,20.320423,-6.024911,48.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,29.949057,1.020833,47.0,4.0,0.750887,268.139435,12.786727,0.0,0.01278,7.359751,7.359751,0.000415
30.051342,20210530-064944,20210530,064944,-7.181234,0.0,33.0,0.0,6.0,9.0,103.439438,0.37408,47.0,51.23336,4.316729,4.316729,101.13134,1.0,0.0,1.65787,0.0,-99900.0,3.537029,0.254,0.254,4.316729,2.269314,1.567919,25.008419,122.070297,31.596794,-13.041455,45.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,30.897463,1.088889,47.0,5.0,0.27356,266.067871,12.100607,0.0,0.012072,5.07377,5.07377,0.00083
33.848888,20210530-065544,20210530,065544,-4.577284,0.0,39.0,0.0,7.0,6.0,97.700996,0.877626,47.0,60.160366,4.037488,4.037488,91.218338,1.0,0.0,1.305203,0.0,-99900.0,2.36956,0.508,0.508,4.037488,2.330679,1.434463,25.031837,122.108025,35.145149,0.649993,39.0,0.0,51.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,34.156971,1.307692,47.0,6.0,0.619848,258.66861,12.244526,0.0,0.012006,6.049596,6.049596,0.002406
37.311703,20210530-070145,20210530,070145,-6.35351,0.0,45.0,0.0,8.0,17.0,99.663513,0.376326,47.0,67.682945,4.520218,4.520218,104.954811,1.0,0.0,1.439329,0.0,-99900.0,2.784561,0.254,0.254,4.520218,1.82975,0.376326,25.015863,122.14238,33.959988,-5.181158,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,37.848782,1.0,47.0,7.0,0.227391,257.440613,11.618686,0.0,0.011341,5.758133,5.758133,0.002527
41.701584,20210530-070746,20210530,070746,-7.49318,0.0,51.0,0.0,9.0,16.0,100.186302,0.4524,47.0,48.116653,4.025426,4.025426,91.026581,1.0,0.0,1.236496,0.0,-99900.0,2.072966,0.0,0.0,4.025426,1.586944,0.748002,25.005613,122.185936,39.412647,-6.642746,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,42.369446,1.0,47.0,8.0,0.05642,264.864166,10.346676,0.0,0.010305,4.360113,4.360113,0.000926
46.44973,20210530-071347,20210530,071347,-7.830445,0.0,57.0,0.0,10.0,12.0,99.568657,0.524531,47.0,36.956848,4.488312,4.488312,72.552521,1.0,0.0,1.569549,0.0,-99900.0,1.227945,0.254,0.254,4.488312,2.093409,1.603013,25.002581,122.233063,44.461185,-7.159516,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,47.105129,1.023256,47.0,9.0,0.191623,271.711151,9.971326,0.0,0.009967,4.319553,4.319553,-0.000298
50.647568,20210530-071948,20210530,071948,-8.305829,1.0,3.0,0.0,11.0,16.0,99.312958,0.576795,47.0,39.203575,3.972248,3.972248,87.268822,1.0,0.0,1.23437,0.0,-99900.0,0.703632,0.254,0.254,3.972248,1.884153,2.363735,24.998306,122.274719,47.94952,-7.712922,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,51.324097,1.0,47.0,10.0,0.182987,276.495789,11.568794,0.0,0.011495,3.759256,3.759256,-0.001309
54.906719,20210530-072550,20210530,072550,-8.671628,1.0,9.0,0.0,12.0,32.0,98.974579,0.64547,47.0,35.249252,4.304768,4.304768,111.009689,1.0,0.0,1.142663,0.0,-99900.0,0.14591,0.0,0.0,4.304768,1.683378,1.469389,24.995016,122.316986,52.471722,-7.807533,41.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,55.587273,1.02439,47.0,11.0,0.0,280.076477,12.056632,0.0,0.011871,2.981472,2.981472,-0.002109
59.775166,20210530-073151,20210530,073151,-9.463263,1.0,15.0,0.0,13.0,37.0,98.99585,0.73259,47.0,19.798361,3.713699,3.713699,75.036903,1.0,0.0,1.045306,0.0,-99900.0,0.583915,0.0,0.0,3.713699,1.693181,0.73259,24.987898,122.365295,57.902962,-8.387824,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,60.519611,1.0,47.0,12.0,0.0,277.14035,12.445653,0.0,0.012349,1.821608,1.821608,-0.001547
64.125824,20210530-073751,20210530,073751,-10.713632,1.0,18.0,0.0,14.0,47.0,99.48468,0.829311,47.0,8.547351,1.779897,1.779897,41.890366,1.0,0.0,0.441087,0.0,-99900.0,0.69993,0.0,0.0,1.779897,1.226891,0.829311,24.976652,122.408447,63.430622,-10.548805,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,65.014633,1.0,47.0,13.0,0.0,277.780273,12.485844,0.0,0.012371,0.995666,0.995666,-0.00169
