3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-158.328812,20210530-090209,20210530,090209,-52.85075,0.0,0.0,0.0,1.0,54.0,251.541046,3.267234,75.0,63.970028,4.399086,4.399086,222.993347,1.0,0.0,0.284798,0.0,-99900.0,0.0,0.0,0.0,4.399086,3.411533,3.267234,24.597708,120.203011,-158.437897,-52.892574,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,166.916779,1.0,75.0,0.0,0.0,266.800659,-99900.0,0.0,-99900.0,2.761333,2.761333,-99900.0
-154.287994,20210530-090809,20210530,090809,-53.561344,0.0,15.0,0.0,1.0,13.0,250.855728,3.157872,75.0,124.998146,5.448606,5.448606,307.149536,1.0,0.0,0.525147,0.0,-99900.0,1.177133,0.254,0.254,5.448606,3.459599,3.157872,24.591318,120.243095,-154.389679,-53.532955,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,163.320557,1.0,75.0,0.0,0.342911,279.973724,11.396792,0.0,0.011225,5.314098,5.314098,-0.001974
-150.847656,20210530-091410,20210530,091410,-54.033558,0.0,39.0,0.0,1.0,5.0,250.292755,3.07638,75.0,109.998833,5.248591,5.248591,165.970093,1.0,0.0,0.817137,0.0,-99900.0,0.657251,0.762,0.762,5.248591,3.494628,4.143489,24.58707,120.277214,-151.290863,-54.085056,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,160.233078,1.022727,75.0,0.0,1.16283,278.983887,10.504529,0.0,0.010376,6.461457,6.461457,-0.00164
-144.565018,20210530-092012,20210530,092012,-56.219807,0.0,27.0,1.0,1.0,3.0,248.749725,2.908693,75.0,229.778854,6.501245,6.501245,323.171265,1.0,0.0,0.745595,0.0,-99900.0,2.986602,1.016,1.016,6.501245,3.251145,2.908693,24.56741,120.339584,-144.261703,-56.480698,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,155.111923,1.0,75.0,0.0,1.797351,283.30954,12.734813,0.0,0.012393,8.025275,8.025275,-0.002932
-139.039505,20210530-092611,20210530,092611,-57.368412,1.0,15.0,0.0,1.0,8.0,247.578979,2.781986,75.0,285.164032,6.067945,6.067945,384.802063,1.0,0.0,0.656754,0.0,-99900.0,1.080791,0.762,0.762,6.067945,3.163568,2.781986,24.557079,120.394386,-139.110214,-57.391071,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,150.409836,1.0,75.0,0.0,0.839707,283.610626,13.778007,0.0,0.013391,7.078923,7.078923,-0.003242
-133.138947,20210530-093212,20210530,093212,-58.849907,0.0,21.0,0.0,1.0,2.0,246.153946,2.649393,75.0,321.11026,5.916608,5.916608,391.755554,1.0,0.0,1.285911,0.0,-99900.0,1.110811,1.016,1.016,5.916608,3.09867,3.649426,24.543756,120.452927,-133.372345,-58.748825,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,145.565414,1.0,75.0,0.0,1.675814,283.766571,14.516353,0.0,0.014099,8.307513,8.307513,-0.003454
-127.028526,20210530-093814,20210530,093814,-60.161877,0.0,21.0,0.0,1.0,2.0,244.657608,2.505728,75.0,271.73175,5.683744,5.683744,418.006317,1.0,0.0,0.720295,0.0,-99900.0,1.008338,0.762,0.762,5.683744,3.044868,3.488436,24.531958,120.513519,-126.974129,-60.08709,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,140.554962,1.022727,75.0,0.0,0.911977,283.998596,15.907824,0.0,0.015435,6.617013,6.617013,-0.003848
-120.615135,20210530-094415,20210530,094415,-61.291199,0.0,45.0,1.0,1.0,3.0,243.062637,2.375602,75.0,360.746277,5.400533,5.400533,517.402405,1.0,0.0,0.545498,0.0,-99900.0,0.880432,0.762,0.762,5.400533,2.940945,3.312136,24.521801,120.57711,-120.894638,-61.388203,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,135.294571,1.0,75.0,0.0,0.827854,283.308044,17.056862,0.0,0.016599,7.446302,7.446302,-0.003926
-113.19767,20210530-095015,20210530,095015,-62.512589,0.0,45.0,1.0,1.0,3.0,241.090912,2.228758,75.0,404.944427,4.970348,4.970348,539.255676,1.0,0.0,0.4493,0.0,-99900.0,1.454622,1.016,1.016,4.970348,2.72384,3.103239,24.510817,120.650642,-113.90448,-62.507561,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,129.311783,1.0,75.0,0.0,1.465004,281.537079,17.635733,0.0,0.017279,7.08203,7.08203,-0.003527
-115.758301,20210530-095617,20210530,095617,-55.201084,0.0,15.0,1.0,1.0,15.0,244.505432,2.193761,58.0,55.425602,5.073852,5.073852,97.21981,1.0,0.0,1.393411,0.0,-99900.0,4.238538,0.254,0.254,5.073852,3.017858,3.075659,24.576571,120.624969,-116.134026,-55.131184,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,128.246414,1.02381,58.0,0.0,0.238609,277.763824,24.656914,0.0,0.024431,4.747627,4.747627,-0.003331
