3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-100.453323,20210530-070746,20210530,070746,-65.575157,0.0,3.0,0.0,1.0,22.0,236.864105,1.992269,37.0,52.107029,5.921815,5.921815,105.358849,1.0,0.0,2.159511,0.0,-99900.0,0.0,0.0,0.0,5.921815,2.793875,2.79289,24.483273,120.777,-101.596626,-64.713585,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,119.962372,1.02381,37.0,0.0,0.077441,266.882263,-99900.0,0.0,-99900.0,4.559138,4.559138,-99900.0
-95.350334,20210530-071347,20210530,071347,-66.509666,0.0,9.0,0.0,2.0,15.0,235.103394,1.892359,37.0,74.078812,4.533563,4.533563,157.889786,1.0,0.0,0.911603,0.0,-99900.0,1.516729,0.254,0.254,4.533563,3.205123,2.696887,24.474869,120.827576,-97.012192,-64.157036,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,116.25499,1.0,37.0,1.0,0.146097,280.377563,14.37083,0.0,0.014136,4.226035,4.226035,-0.002589
-93.794464,20210530-071948,20210530,071948,-64.890923,0.0,15.0,0.0,3.0,8.0,235.323196,1.853996,37.0,175.40889,5.520695,5.520695,353.815094,1.0,0.0,1.036178,0.0,-99900.0,4.3705,0.508,0.508,5.520695,2.537221,3.384604,24.489426,120.842934,-95.032349,-64.207253,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,114.053642,1.0,37.0,2.0,0.386718,264.133118,9.271368,0.0,0.009223,5.319654,5.319654,0.000948
-90.836395,20210530-072550,20210530,072550,-62.913246,0.0,21.0,1.0,4.0,9.0,235.293839,1.770418,37.0,158.130203,5.229105,5.229105,277.811584,1.0,0.0,0.805096,0.0,-99900.0,1.678334,0.254,0.254,5.229105,2.479925,2.53573,24.507212,120.872169,-91.751572,-62.672974,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,110.495827,1.0,37.0,3.0,0.24624,252.463623,8.825626,0.0,0.008415,5.15657,5.15657,0.002659
-88.323196,20210530-073151,20210530,073151,-62.08709,0.0,27.0,0.0,5.0,4.0,234.894867,1.695659,37.0,150.237946,4.257676,4.257676,235.926437,1.0,0.0,0.986121,0.0,-99900.0,0.541577,0.508,0.508,4.257676,2.434722,4.257676,24.514641,120.897041,-88.644691,-61.436382,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,107.961998,1.0,37.0,4.0,0.798929,249.821533,8.484613,0.0,0.007964,5.315821,5.315821,0.002927
-83.556534,20210530-073751,20210530,073751,-62.129066,0.0,33.0,0.0,6.0,9.0,233.367386,1.630687,37.0,122.663216,4.754678,4.754678,195.993546,1.0,0.0,0.859127,0.0,-99900.0,2.192966,0.254,0.254,4.754678,2.508546,3.066126,24.514263,120.94426,-84.867188,-61.774914,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,104.123558,1.0,37.0,5.0,0.334352,253.335907,8.962229,0.0,0.008586,5.610056,5.610056,0.00257
-81.19342,20210530-074352,20210530,074352,-65.847649,0.0,39.0,0.0,7.0,6.0,230.958344,3.988954,37.0,97.290436,6.394273,6.394273,169.811584,1.0,0.0,0.81574,0.0,-99900.0,4.704345,0.762,0.762,6.394273,4.185764,3.988954,24.480822,120.967781,-81.178856,-65.742905,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,104.538437,1.0,37.0,6.0,1.306203,263.179626,8.290029,0.0,0.008231,2.824767,2.824767,0.000984
-76.128754,20210530-074954,20210530,074954,-66.383911,0.0,45.0,1.0,8.0,6.0,228.912033,3.833443,37.0,79.316628,6.176755,6.176755,125.109535,1.0,0.0,0.987784,0.0,-99900.0,2.267973,0.762,0.762,6.176755,4.017036,3.833443,24.475998,121.01796,-76.13295,-66.345589,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,101.006981,1.0,37.0,7.0,1.246764,277.610748,9.742633,0.0,0.009657,2.578341,2.578341,-0.00129
-70.954338,20210530-075555,20210530,075555,-63.3423,0.0,51.0,0.0,9.0,24.0,228.2444,3.567602,37.0,98.012718,4.722769,4.722769,316.460754,1.0,0.0,0.251447,0.0,-99900.0,3.892609,0.0,0.0,4.722769,3.628418,3.567602,24.503353,121.06913,-70.916344,-63.152046,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,95.114487,1.0,37.0,8.0,0.053511,277.71817,11.050858,0.0,0.010951,1.026977,1.026977,-0.001484
-68.499153,20210530-080157,20210530,080157,-66.393715,0.0,54.0,0.0,10.0,52.0,225.894516,3.584932,37.0,62.193268,4.61539,4.61539,233.534332,1.0,0.0,0.258831,0.0,-99900.0,2.932239,0.0,0.0,4.61539,3.653642,3.584932,24.47591,121.093529,-68.512177,-66.323212,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,95.395279,1.0,37.0,9.0,0.0,280.261749,11.412457,0.0,0.01123,0.862484,0.862484,-0.002033
