3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-67.9217,20210530-080758,20210530,080758,12.95911,0.0,3.0,0.0,1.0,9.0,280.802094,1.422914,12.0,56.5163,4.887242,4.887242,173.396912,1.0,0.0,1.143883,0.0,-99900.0,0.0,0.508,0.508,4.887242,2.405027,3.995989,25.189547,121.097298,-69.011345,13.001946,40.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,69.146912,1.1,12.0,0.0,0.430145,263.62973,-99900.0,0.0,-99900.0,3.298009,3.298009,-99900.0
-61.736874,20210530-081400,20210530,081400,12.916734,0.0,9.0,0.0,2.0,17.0,281.817291,0.83907,12.0,47.176456,4.40295,4.40295,133.805405,1.0,0.0,1.562031,0.0,-99900.0,1.014562,0.254,0.254,4.40295,1.866216,2.843351,25.189165,121.158737,-63.491745,13.312372,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,63.073639,1.0,12.0,1.0,0.124602,270.392578,17.085577,0.0,0.017085,4.239721,4.239721,-0.000117
-55.901928,20210530-082000,20210530,082000,12.058621,0.0,15.0,0.0,3.0,27.0,282.172974,0.737165,12.0,40.998444,4.188516,4.188516,168.769226,1.0,0.0,1.282783,0.0,-99900.0,0.874919,0.0,0.0,4.188516,2.34408,1.486648,25.181448,121.216721,-57.271099,13.265698,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,57.187725,1.0,12.0,2.0,0.0,274.280762,16.694921,0.0,0.016648,3.042664,3.042664,-0.001246
-49.313171,20210530-082602,20210530,082602,13.846142,0.0,21.0,0.0,4.0,27.0,285.683838,0.634889,12.0,18.033684,4.46096,4.46096,59.842747,1.0,0.0,2.100884,0.0,-99900.0,2.308113,0.0,0.0,4.46096,2.018635,1.730847,25.197523,121.282135,-50.660961,13.26782,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,51.220158,1.0,12.0,3.0,0.0,268.321594,17.078672,0.0,0.017071,2.494975,2.494975,0.0005
-43.3694,20210530-083203,20210530,083203,14.168495,0.0,27.0,1.0,5.0,34.0,288.092041,0.560566,12.0,14.526515,2.516607,2.516607,38.912331,1.0,0.0,1.092512,0.0,-99900.0,0.260868,0.0,0.0,2.516607,1.398541,2.516607,25.200422,121.341171,-45.51651,13.515701,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,45.625114,1.025,12.0,4.0,0.0,266.883453,17.059792,0.0,0.017035,1.847671,1.847671,0.000927
-44.002369,20210530-083804,20210530,083804,11.36539,0.0,57.0,0.0,1.0,21.0,284.482605,0.551595,42.0,26.524878,2.492097,2.492097,43.42971,1.0,0.0,0.928032,0.0,-99900.0,4.159683,0.0,0.0,2.492097,1.400017,0.870339,25.175213,121.33493,-45.457737,11.445848,44.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,45.446457,1.045455,42.0,0.0,0.0,257.862061,14.57321,0.0,0.014247,3.111777,3.111777,0.003064
-39.010941,20210530-084405,20210530,084405,12.0158,0.0,3.0,0.0,1.0,21.0,287.119568,0.484361,42.0,53.185162,4.199799,4.199799,134.060303,1.0,0.0,1.779145,0.0,-99900.0,0.480426,0.0,0.0,4.199799,2.422567,0.761191,25.181061,121.384499,-40.438007,12.212572,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,40.819515,1.0,42.0,0.0,0.064012,259.783905,14.603152,0.0,0.014372,3.283529,3.283529,0.00259
-32.792046,20210530-085007,20210530,085007,12.662086,0.0,15.0,0.0,1.0,36.0,291.113373,1.566193,42.0,30.839455,2.426595,2.426595,99.474396,1.0,0.0,0.29875,0.0,-99900.0,1.057287,0.0,0.0,2.426595,1.710846,1.948728,25.186874,121.446266,-33.131199,12.621551,41.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,35.151768,1.02439,42.0,0.0,0.0,262.421448,15.637088,0.0,0.0155,1.117065,1.117065,0.002062
-26.145174,20210530-085608,20210530,085608,13.624683,0.0,3.0,1.0,1.0,52.0,297.524902,1.323246,42.0,27.700809,3.999287,3.999287,112.35743,1.0,0.0,0.629391,0.0,-99900.0,1.07358,0.0,0.0,3.999287,2.265607,3.999287,25.19553,121.512283,-27.140356,13.217386,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,29.482235,1.0,42.0,0.0,0.0,263.403137,16.678034,0.0,0.016568,2.250998,2.250998,0.001916
-20.30085,20210530-090209,20210530,090209,16.701265,0.0,45.0,1.0,1.0,22.0,309.443848,1.119636,42.0,33.224525,4.264324,4.264324,93.671555,1.0,0.0,1.270358,0.0,-99900.0,2.388806,0.254,0.254,4.264324,2.151805,2.426898,25.223198,121.570312,-20.012575,16.144712,43.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,26.287958,1.046512,42.0,0.0,0.096533,260.911743,17.804842,0.0,0.017581,2.877966,2.877966,0.002812
