3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-23.936983,20210530-082000,20210530,082000,14.961927,0.0,0.0,0.0,2.0,62.0,302.007782,1.580473,28.0,3.556989,2.008623,2.008623,25.000496,1.0,0.0,0.231254,0.0,-99900.0,0.0,0.0,0.0,2.008623,1.661719,2.008623,25.207556,121.53421,-23.965586,14.989449,35.0,0.0,36.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,28.228327,1.028571,28.0,1.0,0.0,266.539734,-99900.0,0.0,-99900.0,0.32939,0.32939,-99900.0
-18.378429,20210530-082602,20210530,082602,15.59733,0.0,3.0,1.0,1.0,35.0,310.320587,1.727824,28.0,10.119482,2.561519,2.561519,46.835468,1.0,0.0,0.406532,0.0,-99900.0,0.234265,0.0,0.0,2.561519,1.861088,2.561519,25.21327,121.589424,-18.510723,15.62504,39.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,24.104841,1.025641,28.0,0.0,0.0,263.47879,15.454993,0.0,0.015355,0.864591,0.864591,0.001755
-13.906666,20210530-083203,20210530,083203,16.260954,0.0,9.0,0.0,2.0,26.0,319.462433,0.742433,28.0,23.758043,4.027812,4.027812,87.424782,1.0,0.0,0.873388,0.0,-99900.0,1.07181,0.0,0.0,4.027812,1.862453,1.520011,25.219238,121.633842,-15.548021,16.378712,41.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,21.396587,1.04878,28.0,1.0,0.0,262.621124,13.989665,0.0,0.013874,2.99339,2.99339,0.001797
-9.421909,20210530-083804,20210530,083804,16.461979,0.0,15.0,1.0,3.0,26.0,330.215668,0.201651,28.0,23.119263,3.157831,3.157831,70.695641,1.0,0.0,0.973449,0.0,-99900.0,0.688897,0.0,0.0,3.157831,1.377064,0.691268,25.221046,121.678398,-12.123223,16.037121,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,18.967581,1.023256,28.0,2.0,0.0,263.861633,13.367185,0.0,0.013291,3.140464,3.140464,0.001429
-4.468411,20210530-084405,20210530,084405,17.264812,0.0,21.0,1.0,4.0,24.0,345.48938,0.186279,28.0,26.258476,3.788267,3.788267,108.192833,1.0,0.0,1.374022,0.0,-99900.0,0.32633,0.0,0.0,3.788267,1.891938,0.302873,25.228266,121.727608,-7.928144,16.976919,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,17.833689,1.023256,28.0,3.0,0.0,263.483856,13.346071,0.0,0.01326,3.332462,3.332462,0.001515
0.961987,20210530-085007,20210530,085007,16.896402,0.0,27.0,0.0,5.0,28.0,3.258575,0.165738,28.0,17.145027,2.04758,2.04758,46.532463,1.0,0.0,0.944866,0.0,-99900.0,1.112483,0.0,0.0,2.04758,1.043395,1.495732,25.224953,121.781563,-2.922756,16.620651,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,16.923765,1.0,28.0,4.0,0.0,265.020203,13.551551,0.0,0.0135,1.790515,1.790515,0.001176
5.419099,20210530-085608,20210530,085608,18.323826,0.0,33.0,0.0,6.0,30.0,16.475048,0.579749,28.0,41.844139,3.896939,3.896939,174.190536,1.0,0.0,1.133351,0.0,-99900.0,1.085835,0.0,0.0,3.896939,1.831319,1.075668,25.237789,121.825844,6.613689,16.528549,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,19.108355,1.0,28.0,5.0,0.0,264.462677,13.393947,0.0,0.013331,1.790103,1.790103,0.001292
8.027559,20210530-090209,20210530,090209,18.397396,0.0,39.0,1.0,7.0,32.0,23.573618,0.200014,28.0,25.678783,3.47467,3.47467,90.955116,1.0,0.0,0.75413,0.0,-99900.0,2.238952,0.0,0.0,3.47467,1.482174,3.275275,25.238451,121.851761,2.556026,19.794928,38.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,20.072515,1.131579,28.0,6.0,0.052369,264.312408,12.68725,0.0,0.012625,3.024265,3.024265,0.001257
12.01344,20210530-090809,20210530,090809,16.623449,0.0,45.0,0.0,8.0,32.0,35.854816,0.348877,28.0,50.427116,3.911748,3.911748,156.581924,1.0,0.0,0.969491,0.0,-99900.0,2.295706,0.0,0.0,3.911748,1.840107,2.999684,25.222498,121.891357,10.360272,17.665442,41.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,20.510042,1.04878,28.0,7.0,0.077229,267.834076,11.808677,0.0,0.0118,3.716921,3.716921,0.000446
17.451109,20210530-091410,20210530,091410,16.296753,0.0,51.0,0.0,9.0,23.0,46.958946,0.533964,28.0,51.757477,4.127729,4.127729,131.234055,1.0,0.0,0.760454,0.0,-99900.0,1.274805,0.254,0.254,4.127729,1.982255,0.779337,25.219561,121.945374,15.168296,16.120926,43.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,23.877298,1.046512,28.0,8.0,0.09121,272.197266,11.516182,0.0,0.011508,3.787284,3.787284,-0.000442
