3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-82.853569,20210530-052526,20210530,052526,-12.868239,0.0,3.0,1.0,1.0,30.0,261.171997,1.190154,76.0,22.741261,1.753399,1.753399,52.587914,1.0,0.0,0.188859,0.0,-99900.0,0.0,0.0,0.0,1.753399,1.272285,1.190154,24.957277,120.949753,-82.985962,-12.837608,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,83.846916,1.0,76.0,0.0,0.0,262.587219,-99900.0,0.0,-99900.0,1.578057,1.578057,-99900.0
-78.315445,20210530-053128,20210530,053128,-12.155615,0.0,9.0,0.0,2.0,24.0,261.177551,1.119937,76.0,20.506502,2.095333,2.095333,40.133408,1.0,0.0,0.461806,0.0,-99900.0,0.767833,0.0,0.0,2.095333,1.350648,1.119937,24.963684,120.994766,-79.333382,-12.745676,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,79.253189,1.0,76.0,1.0,0.0,261.075684,12.689894,0.0,0.012536,2.089051,2.089051,0.001969
-74.431618,20210530-053729,20210530,053729,-11.859691,0.0,15.0,0.0,3.0,19.0,260.947021,1.055359,76.0,19.897287,1.499404,1.499404,43.982101,1.0,0.0,0.104873,0.0,-99900.0,0.764115,0.0,0.0,1.499404,1.245139,1.499404,24.966347,121.033302,-75.847107,-12.916418,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,75.370537,1.0,76.0,2.0,0.0,263.170166,11.732255,0.0,0.011649,1.80935,1.80935,0.001395
-67.609329,20210530-054331,20210530,054331,-8.912557,0.0,21.0,1.0,4.0,21.0,262.49054,0.914513,76.0,43.271519,2.975901,2.975901,87.223602,1.0,0.0,0.865532,0.0,-99900.0,3.570928,0.0,0.0,2.975901,1.515516,1.387062,24.992849,121.100945,-68.579216,-9.266746,42.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,68.194244,1.047619,76.0,3.0,0.0,256.224854,14.128275,0.0,0.013722,2.974783,2.974783,0.003364
-62.856342,20210530-054933,20210530,054933,-8.262871,0.0,27.0,1.0,5.0,17.0,262.511261,0.83403,76.0,59.827583,4.59052,4.59052,141.701401,1.0,0.0,1.208561,0.0,-99900.0,0.607213,0.0,0.0,4.59052,1.851901,0.83403,24.998692,121.148102,-64.073563,-8.05561,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,63.397121,1.0,76.0,4.0,0.0,256.198792,14.434374,0.0,0.014018,3.958884,3.958884,0.003443
-58.308178,20210530-055534,20210530,055534,-7.914371,0.0,33.0,1.0,6.0,8.0,262.270508,0.756653,76.0,43.973969,3.230258,3.230258,107.950134,1.0,0.0,0.757384,0.0,-99900.0,1.03082,0.0,0.0,3.230258,1.464125,0.756653,25.001827,121.193237,-59.369205,-8.492879,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,58.842846,1.0,76.0,5.0,0.0,257.377441,14.244049,0.0,0.0139,2.880307,2.880307,0.003113
-53.21965,20210530-060135,20210530,060135,-7.883276,0.0,39.0,1.0,7.0,8.0,261.574432,0.688583,76.0,59.831993,3.772795,3.772795,138.005554,1.0,0.0,0.826095,0.0,-99900.0,1.094882,0.0,0.0,3.772795,1.580218,0.688583,25.002106,121.243744,-55.047253,-9.015477,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,53.800343,1.0,76.0,6.0,0.01138,259.267151,14.368214,0.0,0.014117,3.588974,3.588974,0.002676
-47.674477,20210530-060736,20210530,060736,-7.108175,0.0,45.0,0.0,8.0,12.0,261.52002,0.607473,76.0,61.740547,5.042545,5.042545,142.102921,1.0,0.0,1.646514,0.0,-99900.0,0.487872,0.0,0.0,5.042545,2.073282,2.182763,25.009077,121.298775,-50.093418,-7.069508,42.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,48.201469,1.047619,76.0,7.0,0.063839,261.47641,14.510905,0.0,0.014351,4.740279,4.740279,0.002151
-42.176224,20210530-061337,20210530,061337,-6.712513,0.0,51.0,0.0,9.0,5.0,260.957214,0.538374,76.0,124.36705,5.428757,5.428757,187.886856,1.0,0.0,1.533746,0.0,-99900.0,0.495881,0.508,0.508,5.428757,2.023991,1.881476,25.012634,121.353348,-45.504818,-6.594467,46.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,42.707047,1.021739,76.0,8.0,0.71331,265.338989,14.112918,0.0,0.014066,7.583422,7.583422,0.001147
-36.08997,20210530-061938,20210530,061938,-6.570129,0.0,57.0,0.0,10.0,3.0,259.682617,0.474282,76.0,96.700729,5.983442,5.983442,140.587555,1.0,0.0,2.592247,0.0,-99900.0,1.044282,0.762,0.762,5.983442,2.673371,0.75342,25.013914,121.413757,-41.06559,-6.194163,46.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,36.683136,1.043478,76.0,9.0,1.311066,266.086853,14.896049,0.0,0.014861,8.84704,8.84704,0.001017
