3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-13.309804,20210530-043718,20210530,043718,98.368454,0.0,33.0,0.0,1.0,15.0,352.294373,1.507167,87.0,140.059235,4.586458,4.586458,273.035278,1.0,0.0,0.690664,0.0,-99900.0,5.189195,0.254,0.254,4.586458,2.37673,1.507167,25.957649,121.639366,-14.378851,98.303436,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,99.264816,1.0,87.0,0.0,0.24672,275.580688,13.208899,0.0,0.013146,5.115892,5.115892,-0.001285
-6.924724,20210530-044319,20210530,044319,98.630531,0.0,15.0,1.0,1.0,30.0,355.983948,1.510289,87.0,109.669228,2.780842,2.780842,175.318237,1.0,0.0,0.481756,0.0,-99900.0,1.792757,0.0,0.0,2.780842,1.699475,2.780842,25.960005,121.702995,-7.067633,99.242485,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,98.873322,1.0,87.0,0.0,0.019297,270.99649,14.296984,0.0,0.014295,3.242576,3.242576,-0.000249
3.413732,20210530-044920,20210530,044920,99.725578,0.0,21.0,0.0,1.0,11.0,1.960537,1.523964,87.0,44.214195,3.754921,3.754921,62.217934,1.0,0.0,1.002178,0.0,-99900.0,5.311847,0.508,0.508,3.754921,2.446692,3.754921,25.969854,121.806023,2.423879,100.095436,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,99.783989,1.0,87.0,0.0,0.373687,268.194031,16.598337,0.0,0.01659,4.637639,4.637639,0.000523
7.007482,20210530-045521,20210530,045521,100.338615,0.0,27.0,0.0,1.0,2.0,3.994946,1.541711,87.0,355.853119,5.997161,5.997161,511.867065,1.0,0.0,1.035405,0.0,-99900.0,2.432548,1.016,1.016,5.997161,2.327622,3.707142,25.975367,121.841835,5.841668,100.770897,45.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,100.583015,1.022222,87.0,0.0,1.779669,265.484161,17.637587,0.0,0.017583,7.363355,7.363355,0.001389
12.255039,20210530-050121,20210530,050121,100.616066,0.0,33.0,0.0,1.0,4.0,6.944405,1.553963,87.0,380.675842,6.0641,6.0641,540.509705,1.0,0.0,1.167543,0.0,-99900.0,1.104893,1.016,1.016,6.0641,2.16028,3.773422,25.977861,121.894135,11.118928,100.889763,46.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,101.35965,1.021739,87.0,0.0,1.966839,264.200714,18.1085,0.0,0.018016,8.263224,8.263224,0.00183
19.746117,20210530-050722,20210530,050722,101.189339,0.0,21.0,1.0,1.0,8.0,11.041926,1.553978,87.0,126.14006,4.894977,4.894977,187.631744,1.0,0.0,1.679858,0.0,-99900.0,0.991215,0.508,0.508,4.894977,3.02594,2.268693,25.983017,121.968796,19.962847,99.518837,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,103.097969,1.0,87.0,0.0,0.785599,264.782623,18.005989,0.0,0.017931,6.730638,6.730638,0.001637
22.658129,20210530-051323,20210530,051323,101.310799,0.0,15.0,0.0,1.0,13.0,12.606694,1.606652,87.0,263.358459,3.940693,3.940693,420.661285,1.0,0.0,0.318394,0.0,-99900.0,3.592052,0.254,0.254,3.940693,1.882533,1.606652,25.98411,121.997818,21.878323,101.560509,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,103.813622,1.0,87.0,0.0,0.206968,264.892059,16.07534,0.0,0.016012,4.99881,4.99881,0.001431
27.085606,20210530-051924,20210530,051924,105.735008,0.0,3.0,0.0,1.0,27.0,14.368175,1.716705,34.0,150.695831,4.373378,4.373378,265.905823,1.0,0.0,0.645711,0.0,-99900.0,0.0,0.0,0.0,4.373378,2.031125,2.477223,26.023897,122.041985,27.098032,105.347885,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,109.149078,1.0,34.0,0.0,0.037839,263.332672,-99900.0,0.0,-99900.0,3.860533,3.860533,-99900.0
30.907595,20210530-052526,20210530,052526,109.626373,0.0,9.0,0.0,2.0,26.0,15.745006,1.825537,34.0,59.1105,3.470999,3.470999,128.278961,1.0,0.0,0.535584,0.0,-99900.0,3.410773,0.0,0.0,3.470999,2.311553,1.825537,26.058893,122.080132,29.938522,109.459511,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,113.900047,1.0,34.0,1.0,0.0,224.48468,15.067383,0.0,0.010558,3.392389,3.392389,0.01075
36.064499,20210530-053128,20210530,053128,110.858055,0.0,12.0,0.0,3.0,42.0,18.020773,1.900762,34.0,43.937763,2.695544,2.695544,144.168549,1.0,0.0,0.193619,0.0,-99900.0,2.975894,0.0,0.0,2.695544,2.005036,1.900762,26.069971,122.131561,36.08128,110.940346,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,116.576828,1.0,34.0,2.0,0.0,240.292419,14.278483,0.0,0.012402,1.757614,1.757614,0.007076
