3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-159.96373,20210530-082602,20210530,082602,-89.583099,0.0,3.0,1.0,1.0,13.0,240.750519,3.782119,30.0,69.516365,5.042486,5.042486,165.465576,1.0,0.0,0.394744,0.0,-99900.0,0.0,0.254,0.254,5.042486,3.936986,3.782119,24.267366,120.188919,-160.055664,-89.546005,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,183.33992,1.0,30.0,0.0,0.18191,264.476776,-99900.0,0.0,-99900.0,4.565343,4.565343,-99900.0
-152.810074,20210530-083203,20210530,083203,-89.939903,0.0,9.0,0.0,2.0,18.0,239.520355,3.588846,30.0,147.442642,4.807868,4.807868,399.683136,1.0,0.0,0.245751,0.0,-99900.0,1.9975,0.254,0.254,4.807868,3.766642,3.588846,24.264158,120.259727,-152.870773,-89.979897,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,177.313568,1.0,30.0,1.0,0.139523,272.855377,19.84083,0.0,0.019816,4.456881,4.456881,-0.000988
-146.923431,20210530-083804,20210530,083804,-90.113525,0.0,15.0,0.0,3.0,7.0,238.477966,3.434129,30.0,218.312378,5.760735,5.760735,377.436096,1.0,0.0,0.532129,0.0,-99900.0,1.280172,0.508,0.508,5.760735,3.727972,3.434129,24.262596,120.317993,-147.154312,-89.936836,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,172.35701,1.0,30.0,2.0,0.598429,272.329285,18.076355,0.0,0.018061,6.176814,6.176814,-0.000735
-140.874573,20210530-084405,20210530,084405,-90.208611,0.0,21.0,0.0,4.0,5.0,237.366943,3.265957,30.0,118.633812,5.587702,5.587702,174.043304,1.0,0.0,0.984049,0.0,-99900.0,0.501079,0.762,0.762,5.587702,3.885607,3.265957,24.261742,120.377861,-140.841415,-89.720985,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,167.281906,1.0,30.0,3.0,0.838504,271.859314,17.503475,0.0,0.017494,6.856495,6.856495,-0.000568
-138.104248,20210530-085007,20210530,085007,-91.034187,0.0,27.0,0.0,5.0,3.0,236.608612,3.223084,30.0,344.713684,5.416809,5.416809,485.299347,1.0,0.0,0.418074,0.0,-99900.0,3.616138,1.016,1.016,5.416809,3.501481,4.361078,24.254316,120.405319,-138.282043,-91.06929,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,165.408615,1.0,30.0,4.0,1.661821,273.261749,15.432091,0.0,0.015407,7.459029,7.459029,-0.000878
-132.374527,20210530-085608,20210530,085608,-91.298637,0.0,33.0,0.0,6.0,6.0,235.406281,3.081721,30.0,162.588821,5.254664,5.254664,239.394989,1.0,0.0,0.938471,0.0,-99900.0,0.175787,0.762,0.762,5.254664,3.90524,3.081721,24.251938,120.462036,-132.780365,-90.782944,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,160.805649,1.0,30.0,5.0,0.9617,273.637177,14.90811,0.0,0.014878,7.324735,7.324735,-0.000946
-130.324921,20210530-090209,20210530,090209,-92.043953,0.0,39.0,0.0,7.0,14.0,234.768066,3.054066,30.0,359.86676,5.176486,5.176486,598.897827,1.0,0.0,0.356247,0.0,-99900.0,3.345849,0.254,0.254,5.176486,3.40444,3.054066,24.245235,120.482353,-130.830154,-91.952469,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,159.551468,1.0,30.0,6.0,0.334797,275.35965,12.617646,0.0,0.012562,5.841898,5.841898,-0.001179
-130.458252,20210530-090809,20210530,090809,-90.613937,0.0,45.0,0.0,8.0,3.0,235.217148,3.017303,30.0,190.035446,5.27958,5.27958,269.315369,1.0,0.0,0.502728,0.0,-99900.0,5.011499,1.016,1.016,5.27958,3.261132,3.017303,24.258095,120.480965,-130.055161,-90.878738,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,158.840302,1.0,30.0,7.0,1.448052,273.956268,9.496001,0.0,0.009473,7.07199,7.07199,-0.000655
-128.336273,20210530-091410,20210530,091410,-89.286057,0.0,51.0,1.0,9.0,4.0,235.173203,2.954685,30.0,109.101318,5.111139,5.111139,162.881516,1.0,0.0,0.698422,0.0,-99900.0,2.032708,0.762,0.762,5.111139,3.441979,4.03146,24.270037,120.5019,-128.680069,-89.096169,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,156.340012,1.022727,30.0,8.0,1.227083,266.660248,6.954232,0.0,0.006942,6.392076,6.392076,0.000405
-123.254349,20210530-092012,20210530,092012,-90.289726,0.0,57.0,0.0,10.0,19.0,233.775726,2.856729,30.0,58.967701,4.957526,4.957526,113.891083,1.0,0.0,0.860841,0.0,-99900.0,2.814577,0.254,0.254,4.957526,3.410672,2.856729,24.261011,120.552238,-123.510582,-90.493248,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,152.787003,1.0,30.0,9.0,0.20805,262.610992,6.885317,0.0,0.006828,5.055447,5.055447,0.000885
-118.84922,20210530-092611,20210530,092611,-87.93309,1.0,3.0,0.0,11.0,39.0,233.503632,2.714108,30.0,64.843269,4.735048,4.735048,160.790695,1.0,0.0,0.705982,0.0,-99900.0,2.823811,0.0,0.0,4.735048,3.132615,3.729062,24.282204,120.595734,-119.087601,-87.989265,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,147.842361,1.0,30.0,10.0,0.060091,255.568832,7.439689,0.0,0.007205,3.995382,3.995382,0.001854
