3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-100.442131,20210530-063140,20210530,063140,-44.133904,0.0,3.0,0.0,1.0,36.0,246.279755,1.745543,78.0,61.080257,3.232315,3.232315,210.159103,1.0,0.0,0.723083,0.0,-99900.0,0.0,0.0,0.0,3.232315,1.944722,3.232315,24.676098,120.776337,-100.781525,-44.168808,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,109.71064,1.0,78.0,0.0,0.0,264.520813,-99900.0,0.0,-99900.0,2.368438,2.368438,-99900.0
-97.221298,20210530-063741,20210530,063741,-41.927689,0.0,9.0,0.0,2.0,28.0,246.671646,1.653612,78.0,41.538021,3.11307,3.11307,117.506973,1.0,0.0,0.47701,0.0,-99900.0,2.613798,0.0,0.0,3.11307,2.054331,3.11307,24.69594,120.808189,-97.354439,-41.910744,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,105.876869,1.025,78.0,1.0,0.015435,235.589539,10.814367,0.0,0.008922,2.402456,2.402456,0.006111
-94.377533,20210530-064343,20210530,064343,-41.127285,0.0,15.0,0.0,3.0,31.0,246.453934,1.594758,78.0,44.928875,3.854051,3.854051,75.186852,1.0,0.0,1.222281,0.0,-99900.0,1.463728,0.0,0.0,3.854051,2.137079,3.005693,24.703136,120.836349,-94.844452,-41.067474,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,102.949364,1.0,78.0,2.0,0.08348,243.633636,9.361736,0.0,0.008388,3.745273,3.745273,0.004158
-90.400818,20210530-064944,20210530,064944,-40.752621,0.0,21.0,1.0,4.0,7.0,245.734451,1.52659,78.0,94.657776,4.661339,4.661339,282.343964,1.0,0.0,1.743322,0.0,-99900.0,1.472565,0.508,0.508,4.661339,2.134797,4.661339,24.706507,120.875763,-91.729126,-40.434658,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,99.161911,1.0,78.0,3.0,0.363117,251.635864,9.611465,0.0,0.009122,4.551482,4.551482,0.003028
-86.612793,20210530-065544,20210530,065544,-38.58046,0.0,27.0,0.0,5.0,30.0,245.990356,1.408834,78.0,62.566078,2.092069,2.092069,104.945076,1.0,0.0,0.283156,0.0,-99900.0,1.1937,0.0,0.0,2.092069,1.482471,2.092069,24.726042,120.913254,-86.423553,-38.805889,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,94.816811,1.0,78.0,4.0,0.0,250.394547,10.135495,0.0,0.009548,2.372033,2.372033,0.003401
-83.398582,20210530-070145,20210530,070145,-35.988415,0.0,33.0,0.0,6.0,26.0,246.658951,1.344053,78.0,62.873093,4.233084,4.233084,99.215401,1.0,0.0,0.983564,0.0,-99900.0,1.384013,0.0,0.0,4.233084,2.008804,1.344053,24.749352,120.945038,-84.225174,-36.069714,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,90.832207,1.0,78.0,5.0,0.073278,247.092514,10.397908,0.0,0.009578,4.786412,4.786412,0.004047
-78.195892,20210530-070746,20210530,070746,-35.496246,0.0,39.0,0.0,7.0,15.0,245.585068,1.244023,78.0,99.556656,5.069475,5.069475,183.760468,1.0,0.0,1.043305,0.0,-99900.0,1.996022,0.0,0.0,5.069475,2.193504,1.244023,24.753778,120.996613,-79.269135,-35.104015,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,85.875381,1.0,78.0,6.0,0.048778,249.331039,11.156614,0.0,0.010439,5.547551,5.547551,0.003938
-72.544121,20210530-071347,20210530,071347,-35.420059,0.0,45.0,0.0,8.0,1.0,243.976074,1.131665,78.0,122.964745,6.135582,6.135582,209.659302,1.0,0.0,1.814448,0.0,-99900.0,2.314636,0.762,0.762,6.135582,2.355601,3.806343,24.754463,121.052658,-73.418159,-34.126263,43.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,80.729362,1.093023,78.0,7.0,1.367135,252.530212,12.370723,0.0,0.0118,6.472122,6.472122,0.003714
-67.403496,20210530-071948,20210530,071948,-36.860916,0.0,51.0,0.0,9.0,3.0,241.327377,1.605213,78.0,138.124451,5.672081,5.672081,259.782074,1.0,0.0,2.191293,0.0,-99900.0,2.917633,0.508,0.508,5.672081,2.87171,1.605213,24.741505,121.103668,-68.673988,-35.778732,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,76.824203,1.0,78.0,8.0,0.499208,259.73056,13.067664,0.0,0.012858,4.908918,4.908918,0.00233
-62.27972,20210530-072550,20210530,072550,-34.958332,0.0,57.0,0.0,10.0,6.0,240.694275,0.953645,78.0,367.167633,6.734627,6.734627,639.989319,1.0,0.0,0.983349,0.0,-99900.0,1.158453,0.254,0.254,6.734627,1.78526,2.534109,24.758615,121.154427,-62.816441,-33.931953,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,71.420227,1.0,78.0,9.0,0.27175,264.924408,13.923576,0.0,0.013869,6.355872,6.355872,0.001232
