3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
18.986471,20210530-061938,20210530,061938,132.717865,0.0,0.0,0.0,1.0,43.0,8.141411,3.238427,40.0,52.350403,4.229395,4.229395,221.819611,1.0,0.0,0.150442,0.0,-99900.0,10.964638,0.0,0.0,4.229395,3.881743,4.229395,26.26656,121.961449,18.064039,131.830399,35.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,134.069077,1.114286,40.0,0.0,0.0,337.184601,30.989214,0.0,0.012016,0.935615,0.935615,-0.028565
24.408787,20210530-062539,20210530,062539,131.364426,0.0,0.0,0.0,1.0,49.0,10.526045,2.288931,40.0,80.732513,4.217345,4.217345,323.763245,1.0,0.0,0.270815,0.0,-99900.0,9.023764,0.0,0.0,4.217345,3.515169,4.217345,26.254389,122.015541,21.407413,130.523071,36.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,133.612885,1.083333,40.0,0.0,0.0,320.080963,21.066389,0.0,0.013518,2.169949,2.169949,-0.016157
29.740433,20210530-063140,20210530,063140,131.408936,0.0,3.0,0.0,1.0,34.0,12.752304,2.349156,40.0,119.137558,4.217588,4.217588,467.253601,1.0,0.0,0.257175,0.0,-99900.0,5.894469,0.0,0.0,4.217588,3.20331,4.217588,26.254789,122.068741,28.972956,131.424545,37.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,134.73233,1.081081,40.0,0.0,0.0,305.539795,17.258923,0.0,0.014044,2.514148,2.514148,-0.010032
35.777016,20210530-063741,20210530,063741,129.214249,0.0,3.0,0.0,1.0,36.0,15.476382,2.382797,40.0,99.865173,5.209949,5.209949,416.862915,1.0,0.0,0.425726,0.0,-99900.0,1.72356,0.0,0.0,5.209949,3.470077,4.140851,26.235052,122.128937,34.259472,131.470459,36.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,134.07579,1.111111,40.0,0.0,0.0,298.631073,16.730192,0.0,0.014684,2.745781,2.745781,-0.008017
40.971878,20210530-064343,20210530,064343,128.173264,1.0,3.0,0.0,1.0,33.0,17.726963,2.370243,40.0,88.987801,4.088087,4.088087,349.513123,1.0,0.0,0.557995,0.0,-99900.0,1.864939,0.0,0.0,4.088087,2.858543,4.088087,26.225691,122.180748,40.446102,129.201096,37.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,134.562546,1.108108,40.0,0.0,0.081871,294.340912,16.265564,0.0,0.01482,2.599451,2.599451,-0.006704
47.822201,20210530-064944,20210530,064944,126.88076,0.0,18.0,0.0,1.0,54.0,20.651712,3.311381,40.0,43.113476,4.296359,4.296359,209.355804,1.0,0.0,0.213784,0.0,-99900.0,1.876934,0.0,0.0,4.296359,3.632801,4.296359,26.214066,122.249069,47.192009,126.766281,35.0,0.0,36.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,135.593842,1.028571,40.0,0.0,0.0,281.578033,16.139906,0.0,0.015811,0.745145,0.745145,-0.003239
55.021564,20210530-065544,20210530,065544,132.320602,0.0,0.0,0.0,1.0,55.0,22.57847,3.577136,40.0,48.26873,4.61047,4.61047,202.434647,1.0,0.0,0.298298,0.0,-99900.0,6.775758,0.0,0.0,4.61047,3.787433,4.61047,26.262989,122.320999,54.726566,132.261276,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,143.304276,1.0,40.0,0.0,0.0,272.658722,16.830914,0.0,0.016813,0.953684,0.953684,-0.000781
62.402924,20210530-070145,20210530,070145,130.672058,0.0,0.0,0.0,1.0,59.0,25.52692,2.636403,40.0,55.945465,4.627121,4.627121,250.031403,1.0,0.0,0.331276,0.0,-99900.0,1.894479,0.0,0.0,4.627121,3.889947,4.627121,26.248163,122.394608,57.906898,133.227005,36.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,144.807846,1.027778,40.0,0.0,0.0,268.914673,18.039358,0.0,0.018036,2.195078,2.195078,0.000342
69.492134,20210530-070746,20210530,070746,128.705582,0.0,0.0,0.0,1.0,51.0,28.365919,2.646307,40.0,58.923874,4.719753,4.719753,246.978607,1.0,0.0,0.368267,0.0,-99900.0,2.168332,0.0,0.0,4.719753,3.714359,3.690352,26.230478,122.465286,69.587608,127.924286,35.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,146.267853,1.114286,40.0,0.0,0.0,267.525024,19.023415,0.0,0.019006,2.19625,2.19625,0.000821
73.720619,20210530-071347,20210530,071347,130.519363,0.0,0.0,0.0,1.0,54.0,29.458786,3.811672,40.0,50.83952,4.86163,4.86163,226.274994,1.0,0.0,0.271148,0.0,-99900.0,3.038479,0.0,0.0,4.86163,3.898174,3.811672,26.24679,122.507523,73.730103,130.505707,36.0,0.0,36.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,149.900085,1.0,40.0,0.0,0.0,266.233795,18.740955,0.0,0.0187,0.816152,0.816152,0.001231
