3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-98.023949,20210530-044319,20210530,044319,56.954227,0.0,3.0,0.0,1.0,9.0,300.157745,1.832018,25.0,88.563446,5.486407,5.486407,174.862778,1.0,0.0,1.002258,0.0,-99900.0,0.0,0.254,0.254,5.486407,2.598695,1.832018,25.585203,120.796692,-98.519669,56.871262,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,113.368774,1.0,25.0,0.0,0.313347,255.724045,-99900.0,0.0,-99900.0,5.426662,5.426662,-99900.0
-92.856209,20210530-044920,20210530,044920,59.016479,0.0,9.0,1.0,2.0,6.0,302.438873,1.751361,25.0,85.675842,5.328619,5.328619,158.703217,1.0,0.0,1.326022,0.0,-99900.0,1.030078,0.508,0.508,5.328619,2.787463,3.264411,25.60375,120.848038,-93.526421,58.4492,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,110.023727,1.023256,25.0,1.0,0.565148,248.244904,15.412804,0.0,0.014315,5.300991,5.300991,0.005713
-87.061554,20210530-045521,20210530,045521,61.955193,0.0,15.0,1.0,3.0,8.0,305.436737,1.687171,25.0,109.91449,5.190014,5.190014,187.630127,1.0,0.0,0.99541,0.0,-99900.0,1.0776,0.508,0.508,5.190014,3.196385,3.15278,25.630178,120.905602,-88.601227,60.840755,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,106.855789,1.023256,25.0,2.0,0.619517,245.477875,16.688692,0.0,0.015183,5.741151,5.741151,0.006927
-80.675926,20210530-050121,20210530,050121,62.088596,0.0,21.0,1.0,4.0,21.0,307.582184,1.60726,25.0,68.540939,4.90458,4.90458,212.137177,1.0,0.0,0.954954,0.0,-99900.0,2.532987,0.254,0.254,4.90458,2.999802,3.916211,25.631378,120.969147,-83.762871,61.503437,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,101.801758,1.0,25.0,3.0,0.181507,252.401337,16.821964,0.0,0.016035,4.378819,4.378819,0.005086
-76.907585,20210530-050722,20210530,050722,65.077019,0.0,27.0,0.0,5.0,2.0,310.237061,1.548148,25.0,144.830063,6.068137,6.068137,190.539017,1.0,0.0,2.133379,0.0,-99900.0,2.325726,1.016,1.016,6.068137,2.629097,3.832623,25.658253,121.006561,-77.687675,64.908463,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,100.746193,1.0,25.0,4.0,2.021003,250.452118,16.007803,0.0,0.015085,8.77075,8.77075,0.005356
-70.586555,20210530-051323,20210530,051323,66.255859,0.0,33.0,0.0,6.0,12.0,313.187469,1.469676,25.0,144.325348,4.548786,4.548786,203.367615,1.0,0.0,1.580706,0.0,-99900.0,1.155742,0.254,0.254,4.548786,2.444854,2.145833,25.668854,121.069443,-71.861923,66.051155,46.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,96.810646,1.021739,25.0,5.0,0.290635,251.290497,16.006353,0.0,0.015161,6.51714,6.51714,0.005134
-65.247955,20210530-051924,20210530,051924,66.913681,0.0,39.0,0.0,7.0,11.0,315.722198,1.397514,25.0,142.234573,3.408143,3.408143,195.271637,1.0,0.0,0.479265,0.0,-99900.0,1.203203,0.254,0.254,3.408143,1.978612,2.031275,25.67477,121.122566,-66.523193,66.69075,45.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,93.459808,1.022222,25.0,6.0,0.312723,253.849976,15.766987,0.0,0.015145,5.11329,5.11329,0.004386
-60.800858,20210530-052526,20210530,052526,67.208984,0.0,45.0,0.0,8.0,19.0,317.865906,1.322522,25.0,74.641739,1.963841,1.963841,104.999634,1.0,0.0,0.157458,0.0,-99900.0,1.655867,0.0,0.0,1.963841,1.433915,1.322522,25.677425,121.166824,-60.520561,67.388527,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,90.629974,1.0,25.0,7.0,0.0,257.159302,14.928463,0.0,0.014555,3.54805,3.54805,0.003318
-54.067348,20210530-053128,20210530,053128,67.8908,0.0,51.0,0.0,9.0,20.0,321.466736,1.270712,25.0,88.928017,4.66473,4.66473,220.139023,1.0,0.0,1.738555,0.0,-99900.0,1.55386,0.0,0.0,4.66473,2.256114,1.824661,25.683558,121.233833,-56.514423,67.486877,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,86.789619,1.023256,25.0,8.0,0.023132,259.069458,15.034354,0.0,0.014762,4.522228,4.522228,0.002851
-48.003178,20210530-053729,20210530,053729,66.9674,0.0,57.0,0.0,10.0,24.0,324.366577,1.171196,25.0,37.261776,3.7895,3.7895,87.972786,1.0,0.0,1.463676,0.0,-99900.0,2.086377,0.0,0.0,3.7895,2.089717,1.731711,25.675253,121.294205,-49.926422,66.309586,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,82.395012,1.0,25.0,9.0,0.0,265.779358,15.733935,0.0,0.015691,3.316676,3.316676,0.001158
